source,destination,distance
69.0,123.0,596.249109014
16.0,121.0,233.754144348
55.0,184.0,613.208773584
93.0,101.0,261.705941851
153.0,176.0,507.890736281
47.0,197.0,261.81863952
154.0,155.0,485.498712666
109.0,177.0,716.034217059
103.0,140.0,444.173389568
35.0,180.0,680.823031338
82.0,137.0,432.629171462
135.0,145.0,587.663168831
83.0,160.0,809.830229122
113.0,182.0,125.063983624
68.0,180.0,303.600065876
31.0,64.0,656.323091168
1.0,149.0,445.048311984
55.0,94.0,740.622710967
4.0,35.0,523.442451469
25.0,31.0,697.923348227
48.0,136.0,518.078179429
11.0,28.0,914.302466364
18.0,77.0,606.297781622
163.0,169.0,474.975788857
58.0,81.0,698.531316406
96.0,132.0,283.213700234
44.0,92.0,126.775391934
7.0,104.0,449.697676223
118.0,129.0,512.267508242
30.0,155.0,350.60091272
68.0,106.0,479.877067591
128.0,143.0,241.900806117
78.0,135.0,593.263010814
10.0,175.0,218.160491382
176.0,187.0,55.0726792521
34.0,57.0,452.04977602
185.0,195.0,644.162246643
58.0,179.0,69.3108938047
43.0,173.0,235.847408296
6.0,51.0,1000.42490973
157.0,189.0,826.852465679
90.0,192.0,354.911256514
91.0,185.0,740.010810732
39.0,185.0,571.742949235
33.0,96.0,419.386456624
87.0,173.0,547.169078074
110.0,118.0,727.305300407
57.0,106.0,338.351887833
5.0,138.0,321.137042398
43.0,75.0,588.374880497
52.0,171.0,1086.28265198
15.0,33.0,595.697910018
53.0,158.0,304.253184043
167.0,170.0,259.200694444
136.0,198.0,810.141962868
9.0,88.0,512.940542363
137.0,147.0,596.275942832
86.0,94.0,767.11016158
18.0,150.0,205.302216257
19.0,147.0,543.661659491
132.0,146.0,376.940313578
66.0,138.0,468.363107001
14.0,154.0,473.110980638
15.0,199.0,516.991295865
75.0,88.0,927.18175133
38.0,44.0,258.435678651
8.0,111.0,373.080420285
62.0,166.0,94.5409963984
122.0,149.0,62.096698785
32.0,117.0,604.156436695
145.0,170.0,687.64016753
95.0,186.0,419.237402912
27.0,138.0,779.00256739
37.0,125.0,599.390523782
75.0,134.0,1078.87070588
108.0,126.0,417.662543209
98.0,125.0,736.271688984
61.0,103.0,231.40008643
84.0,184.0,333.642023732
47.0,52.0,560.863619786
40.0,190.0,1172.81243172
3.0,50.0,347.437764211
41.0,139.0,138.452157802
155.0,159.0,206.242575624
50.0,75.0,597.817697965
13.0,85.0,421.004750567
164.0,199.0,232.215417232
97.0,172.0,342.947517851
23.0,156.0,233.259512132
70.0,153.0,450.538566607
10.0,42.0,328.054873459
2.0,153.0,359.022283431
79.0,101.0,748.400962052
12.0,98.0,805.059625121
50.0,173.0,241.944208445
126.0,128.0,287.001742155
36.0,104.0,522.85083915
31.0,151.0,157.876534038
25.0,74.0,15.8113883008
79.0,187.0,240.133296317
102.0,104.0,387.404181702
49.0,124.0,297.04208456
72.0,171.0,1027.53734725
186.0,191.0,546.725708194
44.0,177.0,702.846355899
7.0,63.0,702.193705469
120.0,183.0,1003.47894846
54.0,126.0,705.195008491
92.0,165.0,937.614526338
112.0,200.0,493.206853156
115.0,124.0,668.299334131
78.0,112.0,394.872131202
101.0,177.0,471.500795333
11.0,137.0,122.331516789
6.0,140.0,204.714435251
105.0,199.0,305.006557307
54.0,152.0,910.01373616
114.0,143.0,287.174163183
24.0,91.0,770.55953696
88.0,188.0,456.77346683
87.0,192.0,127.283148924
110.0,163.0,531.304997153
147.0,151.0,775.030967123
20.0,143.0,241.406296521
17.0,128.0,375.485019675
29.0,71.0,313.32092174
67.0,172.0,927.892773978
143.0,195.0,457.552182816
76.0,166.0,725.017241174
39.0,50.0,364.308934834
123.0,133.0,923.259985053
124.0,186.0,384.575090197
56.0,74.0,832.65839334
19.0,62.0,321.361167536
42.0,101.0,702.938119609
80.0,176.0,731.648139477
66.0,127.0,359.672072866
89.0,134.0,860.162775293
52.0,62.0,891.157112972
15.0,170.0,811.122678761
85.0,178.0,265.047165614
32.0,34.0,240.740524216
4.0,72.0,740.568025235
42.0,135.0,195.041021326
118.0,186.0,543.111406619
28.0,86.0,168.582324103
98.0,174.0,822.110698142
151.0,152.0,199.642179912
8.0,154.0,507.006903306
47.0,91.0,395.433938857
17.0,92.0,467.222644999
71.0,161.0,813.049813972
41.0,86.0,523.717481091
64.0,145.0,154.738489071
179.0,192.0,572.356532242
127.0,158.0,897.161078068
112.0,173.0,258.559470915
60.0,69.0,766.893082509
23.0,51.0,282.846247986
46.0,144.0,391.342560936
70.0,106.0,582.20013741
93.0,139.0,575.17736395
40.0,41.0,1075.72487189
3.0,191.0,202.089089265
26.0,196.0,252.2934799
73.0,167.0,701.156901128
36.0,61.0,807.77472107
74.0,200.0,472.411896548
22.0,120.0,645.982197897
83.0,122.0,898.837026385
121.0,179.0,386.694970228
106.0,185.0,471.475344
16.0,65.0,141.056726178
46.0,100.0,814.086604729
102.0,133.0,306.771902234
139.0,141.0,707.277880327
12.0,149.0,1036.56355329
35.0,76.0,118.105884697
21.0,161.0,957.940499196
59.0,82.0,208.777393412
26.0,74.0,581.165208869
93.0,124.0,675.079254606
45.0,91.0,652.276781742
68.0,140.0,412.981839794
115.0,171.0,736.991858842
116.0,144.0,727.571302348
48.0,80.0,824.875748219
11.0,36.0,887.320122616
34.0,159.0,607.197661392
72.0,86.0,538.689149696
149.0,190.0,749.282990598
81.0,152.0,180.113852882
7.0,176.0,299.081928575
77.0,172.0,902.975636438
10.0,103.0,630.328485791
87.0,119.0,635.710625993
125.0,160.0,217.816436478
162.0,170.0,589.677878167
111.0,125.0,469.323981914
158.0,198.0,395.880032333
90.0,184.0,459.518225972
143.0,182.0,623.610455332
39.0,65.0,247.822517137
100.0,113.0,829.629435351
63.0,79.0,730.208874227
33.0,40.0,544.053306212
57.0,162.0,318.352006433
31.0,129.0,669.164404313
5.0,194.0,304.630924235
119.0,164.0,405.818925138
104.0,131.0,767.00065189
45.0,47.0,435.459527396
52.0,99.0,896.035713574
15.0,25.0,727.978021646
38.0,138.0,342.299576395
76.0,89.0,162.788205961
136.0,158.0,1003.19738835
137.0,171.0,723.110641603
49.0,52.0,529.098289546
86.0,134.0,244.008196584
65.0,153.0,603.60997341
14.0,82.0,360.817128197
75.0,96.0,767.979817443
113.0,181.0,490.805460442
166.0,185.0,314.567957682
98.0,195.0,957.405347802
8.0,39.0,468.30972657
47.0,142.0,318.675383423
32.0,189.0,869.678101369
182.0,200.0,451.0
94.0,175.0,1033.3053759700001
131.0,163.0,597.415265958
4.0,179.0,395.925498042
27.0,114.0,709.085326318
13.0,187.0,122.641754717
51.0,120.0,860.958767886
37.0,53.0,295.918907811
61.0,175.0,972.979958684
107.0,177.0,434.521575989
108.0,142.0,820.685688921
40.0,118.0,930.002150535
3.0,10.0,682.018328199
41.0,195.0,128.809937505
184.0,198.0,414.366987102
26.0,169.0,592.223775274
64.0,108.0,417.019184211
140.0,145.0,331.108743467
120.0,127.0,167.815374743
141.0,168.0,860.232526704
74.0,157.0,146.102703603
22.0,149.0,878.485628795
23.0,196.0,276.588141467
69.0,134.0,662.292986525
16.0,30.0,630.194414447
2.0,65.0,769.889602476
79.0,93.0,576.321091059
117.0,138.0,343.918595019
103.0,107.0,663.861431324
45.0,155.0,306.297241254
35.0,155.0,630.4323913
36.0,160.0,87.0
150.0,184.0,661.87083332
82.0,162.0,124.843902534
135.0,172.0,556.970376232
83.0,135.0,509.447740205
10.0,58.0,484.423368553
31.0,111.0,425.611325037
1.0,136.0,617.599384715
55.0,117.0,176.255496368
49.0,132.0,699.946426521
21.0,54.0,745.992627309
44.0,121.0,175.251248212
7.0,7.0,0.0
105.0,125.0,623.092288509
68.0,119.0,288.958474525
128.0,164.0,275.114521609
129.0,157.0,355.195720695
78.0,168.0,494.737304031
10.0,136.0,187.864312737
21.0,82.0,433.290895358
20.0,97.0,396.823638409
58.0,156.0,538.471911988
6.0,84.0,378.0
67.0,70.0,160.028122529
105.0,159.0,598.702764316
105.0,126.0,487.517179184
91.0,92.0,328.987841721
1.0,112.0,184.910789301
39.0,148.0,254.096438385
24.0,147.0,769.998701298
138.0,167.0,123.032516027
33.0,91.0,534.562437887
87.0,136.0,386.173536121
101.0,132.0,946.448625124
21.0,125.0,446.752728027
57.0,77.0,375.089322695
80.0,90.0,451.515226764
43.0,110.0,435.600734618
171.0,181.0,687.908424138
30.0,128.0,632.285536763
53.0,185.0,170.57842771
9.0,35.0,302.001655625
160.0,177.0,687.501272726
33.0,165.0,512.762128087
18.0,179.0,607.842907337
19.0,118.0,543.802353801
132.0,191.0,718.533228181
66.0,167.0,536.288168805
14.0,191.0,670.410322116
6.0,196.0,675.642657031
113.0,192.0,789.793010858
8.0,116.0,267.882436901
62.0,139.0,660.512679666
85.0,106.0,542.63431517
32.0,106.0,665.523102529
71.0,75.0,729.400438717
109.0,148.0,583.227228445
146.0,158.0,1073.98556787
169.0,199.0,504.063488065
27.0,161.0,996.840007223
28.0,158.0,842.911620515
142.0,146.0,791.403816013
37.0,88.0,353.793725213
75.0,157.0,481.269155463
61.0,66.0,510.820907951
84.0,165.0,1034.70817142
17.0,36.0,818.379496322
40.0,195.0,1088.97750206
41.0,174.0,273.58545283
155.0,178.0,706.586158936
13.0,48.0,860.307503164
164.0,172.0,572.084783926
37.0,186.0,334.293284408
97.0,135.0,348.633044905
23.0,123.0,455.636916854
46.0,200.0,215.85643377
84.0,123.0,471.0
70.0,178.0,771.181560983
2.0,178.0,338.427244766
168.0,182.0,192.127561792
26.0,60.0,794.603045552
12.0,127.0,494.54019048
50.0,134.0,508.7592751
73.0,127.0,194.195777503
36.0,117.0,619.717677657
156.0,192.0,324.819950126
59.0,188.0,467.60025663
22.0,32.0,686.370162522
178.0,196.0,519.061653371
31.0,178.0,818.108183555
197.0,198.0,261.344600097
34.0,107.0,886.481246277
25.0,109.0,478.138055377
79.0,166.0,578.356291571
49.0,87.0,744.081312761
72.0,176.0,76.1642960973
30.0,89.0,872.177160903
81.0,105.0,894.865911743
187.0,193.0,942.064222864
45.0,163.0,572.188780037
68.0,196.0,250.137961933
159.0,175.0,456.968270233
1.0,5.0,176.570099394
25.0,143.0,450.848089715
101.0,156.0,597.380950483
11.0,108.0,867.440487872
34.0,199.0,495.682357967
72.0,110.0,874.629635903
58.0,193.0,520.008653774
6.0,161.0,1310.62160825
172.0,185.0,651.498273213
10.0,38.0,181.96977771
30.0,43.0,503.436192581
54.0,189.0,917.427381322
77.0,116.0,249.018071633
24.0,64.0,761.642960973
63.0,161.0,478.016736109
101.0,126.0,872.588104434
138.0,200.0,624.196283231
161.0,185.0,630.713881249
110.0,132.0,409.140562643
111.0,181.0,120.933866224
43.0,61.0,455.505214021
134.0,148.0,425.793377121
29.0,98.0,945.491406624
67.0,179.0,409.695008512
90.0,112.0,215.406592285
53.0,108.0,655.454041104
76.0,131.0,839.598118149
124.0,151.0,906.912344166
56.0,175.0,532.595531337
19.0,37.0,223.376364014
5.0,26.0,95.0052630121
20.0,153.0,527.887298578
29.0,132.0,489.663149522
89.0,169.0,722.707409676
52.0,91.0,540.496068441
15.0,81.0,391.083111371
76.0,97.0,818.039118869
85.0,157.0,494.313665601
18.0,38.0,411.86648322
4.0,85.0,768.112621951
42.0,160.0,440.192003562
65.0,65.0,0.0
28.0,115.0,51.6139516023
21.0,160.0,407.332787779
51.0,146.0,943.574586347
165.0,166.0,352.614520404
166.0,193.0,461.394625023
98.0,139.0,822.104616214
99.0,190.0,747.981283188
80.0,89.0,554.690904919
47.0,70.0,399.111513239
17.0,119.0,224.116041371
71.0,188.0,197.395541996
94.0,103.0,219.672483484
41.0,121.0,377.005305002
4.0,139.0,526.243289743
64.0,182.0,391.322117954
118.0,121.0,423.018912107
13.0,195.0,116.004310265
112.0,130.0,603.162498834
60.0,162.0,802.860510923
23.0,46.0,734.401116557
29.0,48.0,761.772275683
178.0,193.0,955.471087998
107.0,121.0,523.321125123
17.0,145.0,322.493410785
93.0,166.0,441.454414408
40.0,78.0,864.467466132
3.0,66.0,438.275027808
64.0,84.0,521.176553579
73.0,138.0,634.331143804
22.0,93.0,847.488642992
83.0,97.0,851.248494859
46.0,87.0,599.793297728
69.0,94.0,340.649379861
16.0,102.0,527.356615584
55.0,159.0,424.040092444
2.0,9.0,523.321125123
102.0,158.0,543.224631253
103.0,179.0,228.03508502
35.0,83.0,265.843939182
21.0,140.0,345.081149876
59.0,73.0,495.630911062
82.0,106.0,469.595570678
45.0,118.0,824.509551188
83.0,191.0,358.832830159
68.0,169.0,627.17780573
31.0,39.0,378.565714243
116.0,189.0,697.983524161
33.0,131.0,697.140588404
48.0,181.0,423.151273187
11.0,59.0,245.489307303
58.0,114.0,372.645944564
21.0,110.0,713.711426278
149.0,153.0,579.249514458
81.0,179.0,756.76284264
44.0,65.0,397.125924613
7.0,79.0,28.231188427
68.0,79.0,305.109816296
129.0,197.0,590.371069752
77.0,135.0,712.814842719
24.0,45.0,222.281353244
10.0,64.0,637.188355198
100.0,128.0,542.232422491
125.0,155.0,751.002663111
20.0,25.0,367.310495358
43.0,136.0,550.21813856
81.0,93.0,784.88215676
18.0,178.0,854.251134035
29.0,156.0,906.878712949
5.0,109.0,537.554648385
90.0,165.0,503.170945107
91.0,132.0,162.806633771
39.0,92.0,539.522937418
9.0,153.0,285.926563999
100.0,173.0,381.367277044
87.0,176.0,705.715240022
57.0,133.0,449.257164662
170.0,172.0,540.208293161
42.0,60.0,602.515559965
119.0,195.0,103.097041665
104.0,168.0,601.295268566
80.0,135.0,666.841060523
52.0,136.0,597.964881912
62.0,97.0,556.722552085
100.0,188.0,682.422156733
137.0,142.0,544.937611108
85.0,192.0,543.994485266
86.0,123.0,183.207532596
56.0,58.0,625.870593653
19.0,174.0,422.435793938
15.0,132.0,212.200377002
65.0,188.0,421.113998817
28.0,32.0,641.196537732
14.0,119.0,591.481191586
113.0,136.0,700.045712793
8.0,12.0,794.730772023
122.0,182.0,989.11879974
32.0,146.0,804.593064847
145.0,149.0,465.339660893
94.0,176.0,745.780798895
95.0,153.0,774.981290097
27.0,105.0,728.72765832
28.0,198.0,651.181234373
13.0,150.0,1002.06037742
75.0,165.0,955.272212513
61.0,138.0,798.494834047
108.0,171.0,1022.31550903
40.0,155.0,498.952903589
4.0,112.0,328.975682992
50.0,108.0,461.963201998
88.0,135.0,220.429126932
74.0,102.0,146.931957041
22.0,142.0,590.310088005
23.0,163.0,419.204007614
121.0,193.0,745.10133539
69.0,161.0,779.318291842
16.0,51.0,439.167394054
2.0,122.0,975.779175838
79.0,120.0,200.82330542
117.0,181.0,632.339307651
154.0,161.0,878.689933936
109.0,186.0,201.762236308
177.0,192.0,376.649704633
126.0,189.0,506.257839445
36.0,141.0,218.48798594
189.0,199.0,745.963135818
150.0,157.0,725.208935411
82.0,191.0,309.614276157
113.0,191.0,364.156559738
14.0,41.0,654.006880698
31.0,138.0,239.267632579
92.0,100.0,739.449795456
4.0,58.0,346.174811331
25.0,37.0,301.761495224
79.0,158.0,665.169151419
48.0,194.0,396.828678399
18.0,84.0,824.498029106
72.0,200.0,290.353233149
8.0,61.0,437.923509303
44.0,150.0,852.906794439
7.0,34.0,467.080292883
54.0,91.0,910.402658168
92.0,138.0,659.437639205
129.0,176.0,214.59030733
169.0,192.0,342.05262753
122.0,199.0,682.49688644
10.0,149.0,812.118217995
11.0,180.0,463.493257772
20.0,78.0,573.781317228
8.0,194.0,389.281389229
6.0,105.0,210.287897892
7.0,192.0,568.803129387
67.0,109.0,842.881960894
30.0,99.0,90.7854613911
158.0,180.0,310.736222543
91.0,115.0,63.6945837572
114.0,176.0,325.3459697
24.0,184.0,627.969744494
110.0,188.0,751.399361192
147.0,178.0,429.773196
20.0,172.0,604.292975303
80.0,127.0,671.86308129
118.0,198.0,916.090061075
29.0,42.0,418.426815584
67.0,139.0,552.674406862
53.0,164.0,486.596341951
131.0,185.0,903.824097931
100.0,193.0,280.878977497
98.0,188.0,845.149099272
123.0,160.0,10.0
33.0,152.0,464.655786578
56.0,103.0,626.790236044
19.0,93.0,525.487392808
132.0,196.0,234.648673553
80.0,157.0,312.313944613
133.0,173.0,249.905982321
156.0,194.0,540.63388721
14.0,160.0,443.639493283
15.0,137.0,1021.54490846
8.0,89.0,649.425130404
85.0,85.0,0.0
32.0,79.0,219.456145961
71.0,102.0,293.462092952
18.0,110.0,117.686022959
146.0,187.0,538.342827574
13.0,133.0,555.925354702
4.0,45.0,519.138709788
118.0,135.0,444.235298012
28.0,187.0,508.253873571
142.0,183.0,266.362534903
98.0,179.0,794.028337026
61.0,61.0,0.0
8.0,183.0,536.045707006
84.0,130.0,503.337858699
47.0,126.0,191.56461051
17.0,63.0,1026.90992789
71.0,132.0,252.744930711
13.0,160.0,713.309189623
155.0,169.0,533.805207918
127.0,189.0,968.029441701
37.0,133.0,470.616616791
60.0,106.0,530.404562575
23.0,86.0,306.026142674
46.0,173.0,552.856220007
84.0,96.0,242.909448149
70.0,87.0,636.535937713
61.0,153.0,144.256715615
2.0,175.0,944.801037256
3.0,154.0,532.496009375
192.0,193.0,606.805570179
12.0,84.0,312.006410191
36.0,82.0,529.006616216
59.0,147.0,260.931025369
174.0,192.0,591.274048137
106.0,154.0,479.521636634
16.0,174.0,476.299275666
55.0,199.0,720.034721385
130.0,186.0,546.462258532
102.0,166.0,542.837913193
139.0,168.0,160.654909667
12.0,186.0,373.376485601
72.0,149.0,849.641100701
35.0,107.0,968.741967709
45.0,64.0,846.036051241
21.0,196.0,360.854541332
59.0,113.0,515.873046398
120.0,129.0,305.276923465
1.0,56.0,196.010203816
115.0,134.0,332.962460347
152.0,188.0,834.640641234
25.0,178.0,317.672787629
48.0,125.0,573.471010601
11.0,67.0,96.4624279189
34.0,160.0,933.621979176
72.0,115.0,426.523152947
148.0,168.0,731.858592899
6.0,186.0,325.677754844
7.0,151.0,658.681258273
140.0,194.0,452.580379601
77.0,79.0,564.783144224
24.0,101.0,581.220268057
13.0,76.0,191.85671737
63.0,140.0,891.507150841
10.0,24.0,735.527701722
111.0,144.0,518.538330309
97.0,128.0,569.443588075
134.0,169.0,155.621335298
90.0,157.0,459.044660137
143.0,149.0,508.057083407
76.0,152.0,994.899492411
39.0,100.0,464.668699183
88.0,152.0,466.357159267
63.0,98.0,321.076314916
124.0,140.0,88.0
56.0,148.0,175.385290147
57.0,189.0,507.65834968
5.0,37.0,264.969809601
171.0,197.0,552.000905796
119.0,139.0,116.456000275
156.0,183.0,399.824961702
29.0,191.0,587.455530232
52.0,64.0,399.452124791
15.0,124.0,819.029913984
50.0,54.0,506.047428607
113.0,118.0,790.843220873
76.0,126.0,545.893762558
136.0,187.0,589.661767457
137.0,198.0,402.011193874
86.0,163.0,322.490309932
18.0,195.0,790.225917064
4.0,114.0,668.211044506
65.0,100.0,328.635055951
28.0,104.0,572.315472445
51.0,185.0,178.709261092
89.0,110.0,925.799654353
8.0,196.0,250.203916836
47.0,173.0,278.442094519
94.0,136.0,1014.84235229
131.0,158.0,1037.31432073
4.0,144.0,572.923206023
64.0,171.0,962.081077664
27.0,81.0,951.590773389
51.0,87.0,485.721113397
127.0,192.0,754.485254992
37.0,40.0,787.37157683
60.0,159.0,541.569016839
61.0,178.0,607.112839594
175.0,190.0,852.028755383
107.0,156.0,317.521652805
144.0,162.0,257.390753525
17.0,180.0,791.991161567
40.0,83.0,1240.27255069
3.0,105.0,634.855889159
26.0,138.0,328.123452377
64.0,73.0,334.593783564
50.0,52.0,511.73528313
12.0,126.0,378.163985594
74.0,190.0,111.036030188
22.0,182.0,659.351954574
173.0,186.0,553.336244972
46.0,56.0,816.875143458
69.0,121.0,364.533949036
16.0,123.0,275.936586918
70.0,194.0,543.810628804
55.0,186.0,911.180552909
93.0,99.0,66.2193325246
46.0,95.0,440.868461108
153.0,182.0,434.108281423
103.0,142.0,490.608805465
35.0,182.0,395.384622867
36.0,197.0,582.827590287
117.0,132.0,562.857886149
2.0,36.0,854.443093483
82.0,135.0,373.412640386
135.0,147.0,479.00939448
83.0,162.0,393.174261619
68.0,182.0,606.61190229
31.0,66.0,475.618544634
55.0,88.0,591.790503472
25.0,29.0,374.06015559
48.0,138.0,64.0312423743
11.0,30.0,241.946275028
49.0,167.0,774.178919889
12.0,48.0,627.7403922
163.0,171.0,678.619923079
58.0,95.0,515.503637233
21.0,73.0,110.113577728
44.0,94.0,783.628738626
7.0,106.0,577.169819031
30.0,153.0,663.536735984
68.0,84.0,593.075037411
128.0,129.0,229.895628493
78.0,133.0,130.973279718
10.0,173.0,584.408247717
176.0,189.0,994.308805151
34.0,55.0,761.252257796
185.0,193.0,171.54008278
58.0,177.0,407.117919036
43.0,175.0,550.567888639
81.0,112.0,460.039128771
157.0,187.0,378.903681692
197.0,199.0,441.599365942
91.0,187.0,529.083169265
39.0,187.0,732.380365657
33.0,102.0,388.485520966
87.0,175.0,324.839960596
56.0,193.0,624.439748895
110.0,116.0,553.968410652
57.0,104.0,29.5465734054
5.0,136.0,654.860290444
43.0,77.0,482.457251992
135.0,186.0,249.008031999
52.0,181.0,436.6508903
15.0,35.0,877.706670819
53.0,156.0,247.951608182
136.0,200.0,264.612924854
100.0,153.0,702.205098244
137.0,145.0,473.570480499
49.0,61.0,50.219518118
86.0,92.0,387.49451609
18.0,148.0,96.4624279189
19.0,149.0,550.705910627
132.0,156.0,543.047880025
66.0,136.0,432.708909083
14.0,152.0,306.320094019
15.0,193.0,972.605264226
75.0,90.0,470.227604464
8.0,17.0,675.0318511
62.0,164.0,597.790933354
122.0,147.0,630.242017006
32.0,119.0,132.815661727
92.0,117.0,779.867937538
145.0,168.0,359.324365998
95.0,164.0,200.0
27.0,140.0,482.345311991
96.0,112.0,331.850870121
37.0,123.0,458.995642681
75.0,184.0,740.624736287
98.0,123.0,537.401153702
61.0,101.0,431.140348379
84.0,186.0,79.2085853933
47.0,54.0,535.762074059
198.0,198.0,0.0
40.0,160.0,715.712931279
3.0,52.0,607.183662494
41.0,137.0,826.280823933
31.0,47.0,291.358885226
50.0,73.0,293.465500528
13.0,83.0,99.0
141.0,158.0,825.295704581
164.0,193.0,817.543271026
97.0,162.0,685.706934484
23.0,158.0,499.44369052
70.0,159.0,460.405256269
2.0,151.0,1050.28234299
79.0,103.0,365.168454278
12.0,28.0,223.75879871
50.0,171.0,596.353083332
45.0,164.0,682.420691363
126.0,134.0,352.278299076
36.0,106.0,276.46337913
31.0,145.0,640.449841908
116.0,133.0,437.577421721
117.0,166.0,218.58636737
25.0,72.0,266.450745918
79.0,133.0,448.401605706
102.0,110.0,710.349209896
49.0,114.0,586.727364284
72.0,173.0,534.072092512
35.0,35.0,0.0
186.0,189.0,870.912739601
44.0,179.0,441.191568369
7.0,57.0,428.136660425
120.0,185.0,731.434891156
54.0,124.0,552.0
1.0,96.0,480.579858088
129.0,171.0,880.754789939
115.0,126.0,190.588562091
78.0,118.0,1026.51254254
101.0,191.0,517.189520389
11.0,139.0,628.714561626
21.0,75.0,846.036051241
81.0,195.0,882.949602186
67.0,112.0,489.460927961
105.0,197.0,744.221069307
105.0,119.0,340.895878532
54.0,158.0,310.412628609
114.0,141.0,503.150077015
24.0,93.0,365.990437034
63.0,196.0,439.602092807
87.0,194.0,270.651066874
21.0,118.0,481.465471244
110.0,161.0,248.068538916
147.0,153.0,89.5600357302
111.0,200.0,283.487213116
29.0,69.0,535.564188497
67.0,174.0,850.393438357
53.0,79.0,451.220566907
92.0,155.0,587.552550841
76.0,160.0,778.00578404
39.0,44.0,447.465082437
123.0,135.0,302.006622444
124.0,180.0,751.175745082
56.0,76.0,891.85200566
19.0,64.0,535.792870427
42.0,99.0,525.909688064
80.0,178.0,713.798290836
