,Company,conm,tic,tic,Sub
644114,PHH Mortgage Services Corporation,MASON RESOURCES CORPORATION,MSSNF,PHH,
646015,BBVA COMPASS FINANCIAL CORPORATION,BBX CAPITAL CORPORATION,BBX,BBVA,
647820,"CIT BANK, NATIONAL ASSOCIATION",MANHATTAN ASSOCIATES INC,MANH,CIT,
649604,"EXPERT GLOBAL SOLUTIONS, INC.",ECOBALT SOLUTIONS INC,ECSIF,ECSIF,
651383,"I.C. System, Inc.",I D SYSTEMS INC,IDSY,IDSY,
653127,"WESTERN UNION COMPANY, THE",WESTERN UNION CO,WU,WU,
654853,"HUNTINGTON NATIONAL BANK, THE",HUNTINGTON BANCSHARES,HBAN,HBAN,
656424,"Shellpoint Partners, LLC",SEADRILL PARTNERS LLC,SDLP,SDLP,
657877,MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,MONSTER WORLDWIDE INC,MWW,MGI,
659319,"ONEMAIN FINANCIAL HOLDINGS, LLC.",KKR FINANCIAL HOLDINGS LLC,9470B,C,1
660760,"Fidelity National Information Services, Inc. (FNIS)",FIDELITY NATIONAL INFO SVCS,FIS,FIS,
663610,SLM CORPORATION,VASO CORPORATION,VASO,SLM,
665023,TCF NATIONAL BANK,NATIONAL BANK CANADA,NTIOF,TCF,
666435,Alliance Data Card Services,ADVANCED MICRO DEVICES,AMD,ADS,
667806,"NELNET, INC.",NELNET INC,NNI,NNI,
671884,Comerica,COMERICA INC,CMA,CMA,
673222,"PENNYMAC LOAN SERVICES, LLC.",PENNYMAC FINANCIAL SERVICES,PFSI,PFSI,
680639,"Enova International, Inc.",ENOVA INTERNATIONAL INC,ENVA,ENVA,
691708,TENET HEALTHCARE CORPORATION,TENET HEALTHCARE CORP,THC,THC,
693787,TOYOTA MOTOR CREDIT CORPORATION,TOYOTA MOTOR CREDIT CORP,5672A,5672A,
699681,"ACE CASH EXPRESS, INC.",CAFEPRESS INC,PRSS,AACE,
705179,"GENERAL MOTORS FINANCIAL COMPANY, INC.",GENERAL MOTORS FINL CO INC,GM2,GM2,
706083,FIRST NATIONAL BANK OF OMAHA,FIRST NATIONAL BANK ALASKA,FBAK,FINN,1
710960,First Data Corporation,FIRST DATA CORP,FDC,FDC,
713171,NETSPEND CORPORATION,UNITED CORPORATIONS LTD,UCPLF,NTSP,1
716019,"COMMUNITY CHOICE FINANCIAL, INC.",COMMUNITY CHOICE FINANCIAL,6840B,6840B,
720099,CREDIT ACCEPTANCE CORPORATION,CREDIT ACCEPTANCE CORP,CACC,CACC,
729078,AllianceOne Recievables Management,,,AOI,1
729619,FORD MOTOR CREDIT CO.,FORD MOTOR CREDIT CO LLC,F1,F1,
731192,BANCO POPULAR DE PUERTO RICO,,,BPPR,
732727,"FIRST NIAGARA FINANCIAL GROUP, INC.",FIRST NIAGARA FINANCIAL GRP,FNFG,FNFG,
733232,"Conn's, Inc.",CONN'S INC,CONN,CONN,
733729,CORELOGIC INC,CORELOGIC INC,CLGX,CLGX,
739463,Performant Financial Corporation,PERFORMANT FINANCIAL CORP,PFMT,PFMT,
742922,Synovus Bank,OPUS BANK,OPB,SNV,
743338,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,,,FHN,1
743753,"Advance America, Cash Advance Centers, Inc.",ADVANCE AMER CASH ADVANCE CT,AEA,AEA,
744165,BANCO POPULAR NORTH AMERICA,BANCO LATINOAMERICANO DE COM,BLX,BPOP,
747337,TMX Finance LLC,CM FINANCE INC,CMFN,CMFN,
748476,"HUNTINGTON NATIONAL BANK, THE - FIRSTMERIT BANK, N.A. BRANCH",,,HBAN,1
750646,"WEBSTER BANK, NATIONAL ASSOCIATION",WPCS INTERNATIONAL INC,WPCS,WBS,
751343,"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",PEOPLE'S UNITED FINL INC,PBCT,PBCT,
751690,BOK FINANCIAL CORP,BOK FINANCIAL CORP,BOKF,BOKF,
753070,"CONSUMER PORTFOLIO SERVICES, INC.",CONSUMER PORTFOLIO SVCS INC,CPSS,CPSS,
754427,ZIONS BANCORPORATION,ZIONS BANCORPORATION,ZION,ZION,
757027,WORLD ACCEPTANCE CORPORATION,WORLD ACCEPTANCE CORP/DE,WRLD,WRLD,
758579,MORGAN STANLEY & CO. LLC,MORGAN STANLEY,MS,MS,
760071,ASTORIA BANK,GREAT FLORIDA BANK,GFLB,AF,
762333,"FIRST CITIZENS BANCSHARES, INC.",FIRST CITIZENS BANCSHRS INC,FIZN,FIZN,
763941,Blackhawk Network Holdings Inc.,BLACKHAWK NETWORK HLDGS INC,HAWK,HAWK,
764463,COMMERCE BANK,COMMERCEHUB INC,CHUBA,CBSH,1
764723,"ASSOCIATED BANK, NATIONAL ASSOCIATION",,,ASB,1
766993,HEARTLAND PAYMENT SYSTEMS INC,HEARTLAND PAYMENT SYSTEMS,HPY,HPY,
768901,"BANKUNITED, NATIONAL ASSOCIATION",BANK FIRST NATIONAL CORP,BFNC,BKU,
770501,"Altisource Portfolio Solutions, S.Ã  r.l.",ALTISOURCE PORTFOLIO SOLTNS,ASPS,ASPS,
772049,FirstBank of Puerto Rico,FIRST BANK OF DELAWARE,3FBOD,FBP,1
774189,VALLEY NATIONAL BANCORP,VALLEY NATIONAL BANCORP,VLY,VLY,
774396,MERCEDES BENZ FINANCIAL SERVICES,PEOPLES FINANCIAL SERVICES,PFIS,PFIS,
774602,FIRST NATIONAL BANK OF PENNSYLVANIA,FIRST NATIONAL BANK ALASKA,FBAK,FNB,
776019,FIRST ADVANTAGE CORPORATION,FIRST ADVANTAGE BANCORP,FABK,FABK,
777596,"FIDELITY CAPITAL HOLDINGS, INC",GAIN CAPITAL HOLDINGS INC,GCAP,FDCAX,1
779318,REGIONAL MANAGEMENT CORPORATION,REGIONAL MANAGEMENT CORP,RM,RM,
781646,E*TRADE BANK,VERSABANK,VRRKF,ETFC,
783310,"EZCORP, INC.",EZCORP INC  -CL A,EZPW,EZPW,
783633,LENDING CLUB CORP,LENDINGCLUB CORP,LC,LC,
785481,Franklin Credit Management Corporation,FRANKLIN CR MGMT CORP,FCRM,FCRM,
787097,STONEGATE MORTGAGE CORPORATION,STONEGATE MORTGAGE CORP,SGM,SGM,
788664,"CarMax, Inc.",CARMAX INC,KMX,KMX,
788946,IBERIABANK,IBERIABANK CORP,IBKC,IBKC,
789778,"Fidelity National Financial, Inc",PRUDENTIAL FINANCIAL INC,PRU,FNFV,
790183,"CHARLES SCHWAB CORPORATION, THE",CLARUS CORPORATION,CLAR,SCHW,
790846,Turning Point Solutions LLC,TURNING POINT BRANDS INC,TPB,TPB,
790977,ASTA FUNDING INC.,ASTA FUNDING INC,ASFI,ASFI,
795194,GOLDMAN SACHS BANK USA,GOLDMAN SACHS BDC INC,GSBD,GSBD,1
795551,FIRST AMERICAN FINANCIAL CORPORATION,FIRST AMERICAN FINANCIAL CP,FAF,FAF,
796601,BANCO SANTANDER PUERTO RICO,BANCO SANTANDER RIO SA,BSAR,BSAR,
796716,TekCollect Inc.,TECOGEN INC,TGEN,ADR,1
797508,GRYPHON CORP.,GRYPHON GOLD CORP,GYPHQ,GYPHQ,
797951,CARDINAL FINANCIAL COMPANY,CARDINAL FINANCIAL CORP,CFNL,CFNL,
798391,"WASHINGTON FEDERAL, NATIONAL ASSOCIATION",WASHINGTON FEDERAL INC,WAFD,WAFD,
799896,"American Financial Resources, Inc.",AMERICAN FINANCIAL GROUP INC,AFG,AFG,
801821,"Prosper Marketplace, Inc.",PROSPER MARKETPLACE INC,9462B,9462B,
803427,BANK OF HAWAII CORPORATION,BANK OF HAWAII CORP,BOH,BOH,
803609,FIRSTBANK,FIRST BANK,FRBA,FRBA,
804063,AVANTE,ADVANT-E CORP,ADVC,ADVC,
804152,"First Investors Financial Services Group, Inc.",FIRST INVESTORS FINL SVCS GP,FIFS,FIFS,
804595,TRUSTMARK CORPORATION,TRUSTMARK CORP,TRMK,TRMK,
805201,EAST WEST BANK,EAST WEST BANCORP INC,EWBC,EWBC,
805541,INVESTORS BANK,INVESTORS BANCORP INC,ISBC,ISBC,1
807260,"Aldridge Pite, LLP",ALDRIDGE MINERALS INC,AGMIF,AGMIF,
807654,"FIRST HAWAIIAN, INC.",FIRST HAWAIIAN INC,FHB,FHB,
808120,"Community Health Investment Company, LLC.",COMMUNITY HEALTH SYSTEMS INC,CYH,CYH,
808657,"MB FINANCIAL, INC.",MB FINANCIAL INC/MD,MBFI,MBFI,
808808,DFC GLOBAL CORP,DFC GLOBAL CORP,DLLR,DLLR,
809482,QC HOLDINGS INC,QC HOLDINGS INC,QCCO,QCCO,
810352,EDUCATION MANAGEMENT CORPORATION,EDUCATION MANAGEMENT CORP,EDMC,EDMC,
810494,"IMPAC MORTGAGE HOLDINGS, INC.",IMPAC MORTGAGE HOLDINGS INC,IMH,IMH,
814250,Deutsche Bank,DEUTSCHE BANK AG,DB,DB,
814628,NVR INC.,NVR INC,NVR,NVR,
815620,OLD NATIONAL BANK,OLD NATIONAL BANCORP,ONB,ONB,
815681,1st Franklin Financial Corporation,FRANKLIN FINANCIAL CORP/VA,FRNK,FRNK,1
816217,The J. G. Wentworth Company,J.G. WENTWORTH CO,JGWE,JGWE,
816276,"Alliance Collection Agencies, Inc.",ALANCO TECHNOLOGIES INC,ALAN,ALAN,
816856,UBS BANK USA,OPUS BANK,OPB,UBSG,1
817982,"NORTHERN TRUST COMPANY, THE",NORTHERN TRUST CORP,NTRS,NTRS,
818791,FIRST REPUBLIC BANK,FIRST REPUBLIC BANK,FRC,FRC,
820500,UNITED GUARANTY CORPORATION,UNITED GUARANTY CORP-REDH,8856B,8856B,
822038,Velocity Portfolio Group,VELOCITY PORTFOLIO GROUP INC,VPGI,VPGI,
823409,"Global Payments Check Services, Inc.",GLOBAL PAYMENTS INC,GPN,GPN,1
823455,NCSPLUS INCORPORATED,CLARUS CORPORATION,CLAR,CLAR,
823501,"PROSPERITY BANCSHARES, INC.",PROSPERITY BANCSHARES INC,PB,PB,
823866,CITY NATIONAL BANK,CITY NATIONAL CORP,CYN,CYN,
826285,"Williams, Rush & Associates, LLC",WILLIAMS PARTNERS LP,WPZ,WPZ,
826527,NAM National Arbitration and Mediation,NATIONAL CINEMEDIA INC,NCMI,NCMI,
827773,NICHOLAS FINANCIAL INC.,NICHOLAS FINANCIAL INC,NICK,NICK,
830122,Convergys,CONVERGYS CORP,CVG,CVG,
830762,CHEMICAL FINANCIAL CORPORATION,CHEMICAL FINANCIAL CORP,CHFC,CHFC,
