MarketID,MarketSize,LocationID,AgeOfStore,Promotion,week,SalesInThousands
3,Large,216,4,3,2,74.75
3,Large,216,4,3,3,93.63
3,Large,216,4,3,4,80.82
3,Large,217,5,3,1,91.61
3,Large,217,5,3,2,79.02
3,Large,217,5,3,3,86.11
3,Large,217,5,3,4,82.88
3,Large,218,2,1,1,99.65
3,Large,218,2,1,2,88.64
3,Large,218,2,1,3,86.96
3,Large,218,2,1,4,89.25
3,Large,219,7,2,1,66.22
3,Large,219,7,2,2,82.86
3,Large,219,7,2,3,83.4
3,Large,219,7,2,4,75.61
3,Large,220,3,1,1,87.08
3,Large,220,3,1,2,89.32
3,Large,220,3,1,3,99.12
3,Large,220,3,1,4,85.85
3,Large,221,23,2,1,79.53
3,Large,221,23,2,2,74.03
3,Large,221,23,2,3,78.53
3,Large,221,23,2,4,76.71
3,Large,222,6,1,1,93.32
3,Large,222,6,1,2,85.71
3,Large,222,6,1,3,77.36
3,Large,222,6,1,4,91.29
4,Small,301,1,2,1,49.61
4,Small,301,1,2,2,43.69
4,Small,301,1,2,3,54.49
4,Small,301,1,2,4,61.25
4,Small,302,7,3,1,51.47
4,Small,302,7,3,2,53.47
4,Small,302,7,3,3,46.83
4,Small,302,7,3,4,56.7
4,Small,303,9,1,1,55.94
4,Small,303,9,1,2,61.36
4,Small,303,9,1,3,56.19
4,Small,303,9,1,4,62.06
4,Small,304,3,1,1,54.01
4,Small,304,3,1,2,63.48
4,Small,304,3,1,3,61.96
4,Small,304,3,1,4,55.3
4,Small,305,2,2,1,47.89
4,Small,305,2,2,2,52.37
4,Small,305,2,2,3,49.11
4,Small,305,2,2,4,52.88
4,Small,306,13,1,1,53.79
4,Small,306,13,1,2,66.96
4,Small,306,13,1,3,57.1
4,Small,306,13,1,4,65.12
4,Small,307,7,2,1,46.98
4,Small,307,7,2,2,53.41
4,Small,307,7,2,3,36.17
4,Small,307,7,2,4,55.98
4,Small,308,28,2,1,51.87
4,Small,308,28,2,2,58.01
4,Small,308,28,2,3,47.93
4,Small,308,28,2,4,51.33
4,Small,309,8,1,1,62.16
4,Small,309,8,1,2,54.06
4,Small,309,8,1,3,51.72
4,Small,309,8,1,4,59.64
5,Medium,401,5,3,1,52.23
5,Medium,401,5,3,2,51.68
5,Medium,401,5,3,3,46.22
5,Medium,401,5,3,4,46.03
5,Medium,402,25,2,1,40.4
5,Medium,402,25,2,2,50.28
5,Medium,402,25,2,3,52.72
5,Medium,402,25,2,4,38.3
5,Medium,403,19,2,1,51.79
5,Medium,403,19,2,2,42.56
5,Medium,403,19,2,3,44.64
5,Medium,403,19,2,4,45.11
5,Medium,404,8,2,1,42.15
5,Medium,404,8,2,2,42.59
5,Medium,404,8,2,3,49.56
5,Medium,404,8,2,4,39.25
5,Medium,405,4,2,1,48.18
5,Medium,405,4,2,2,48.25
5,Medium,405,4,2,3,46.42
5,Medium,405,4,2,4,43.77
5,Medium,406,3,2,1,45.3
5,Medium,406,3,2,2,48.84
5,Medium,406,3,2,3,45.08
5,Medium,406,3,2,4,44.67
5,Medium,407,6,3,1,45.56
5,Medium,407,6,3,2,55.19
5,Medium,407,6,3,3,37.84
5,Medium,407,6,3,4,50.07
5,Medium,408,9,2,1,47.33
5,Medium,408,9,2,2,45.42
5,Medium,408,9,2,3,44.31
5,Medium,408,9,2,4,40.26
5,Medium,409,14,2,1,43.27
5,Medium,409,14,2,2,48.33
5,Medium,409,14,2,3,44.14
5,Medium,409,14,2,4,51.5
5,Medium,410,11,1,1,49.95
5,Medium,410,11,1,2,55.11
5,Medium,410,11,1,3,55.28
5,Medium,410,11,1,4,54.7
5,Medium,411,23,3,1,50.11
5,Medium,411,23,3,2,55.59
5,Medium,411,23,3,3,54.37
5,Medium,411,23,3,4,51.91
5,Medium,412,6,1,1,59.34
5,Medium,412,6,1,2,62.63
5,Medium,412,6,1,3,49.08
5,Medium,412,6,1,4,58.04
5,Medium,413,1,2,1,46.26
5,Medium,413,1,2,2,47.71
5,Medium,413,1,2,3,54.09
5,Medium,413,1,2,4,46.89
5,Medium,414,1,3,1,57.37
5,Medium,414,1,3,2,55.53
5,Medium,414,1,3,3,51.16
5,Medium,414,1,3,4,57.06
5,Medium,415,12,3,1,50.59
5,Medium,415,12,3,2,48.64
5,Medium,415,12,3,3,50.55
5,Medium,415,12,3,4,49.08
6,Medium,501,6,3,1,24.75
6,Medium,501,6,3,2,41.47
6,Medium,501,6,3,3,35.1
6,Medium,501,6,3,4,34.33
6,Medium,502,19,2,1,31.94
6,Medium,502,19,2,2,29.64
6,Medium,502,19,2,3,33.64
6,Medium,502,19,2,4,36.05
6,Medium,503,2,2,1,36.7
6,Medium,503,2,2,2,41.53
6,Medium,503,2,2,3,27.71
6,Medium,503,2,2,4,37.2
6,Medium,504,4,1,1,42.16
6,Medium,504,4,1,2,36.8
6,Medium,504,4,1,3,46.98
6,Medium,504,4,1,4,47.35
6,Medium,505,1,2,1,32.21
6,Medium,505,1,2,2,38.41
6,Medium,505,1,2,3,37.9
6,Medium,505,1,2,4,44.84
6,Medium,506,12,2,1,37.45
6,Medium,506,12,2,2,35.46
6,Medium,506,12,2,3,31.85
6,Medium,506,12,2,4,19.26
6,Medium,507,5,2,1,38.65
6,Medium,507,5,2,2,17.34
6,Medium,507,5,2,3,33.14
6,Medium,507,5,2,4,23.44
6,Medium,508,5,3,1,37.17
6,Medium,508,5,3,2,30.52
6,Medium,508,5,3,3,32.51
6,Medium,508,5,3,4,29.12
6,Medium,509,8,1,1,40.46
6,Medium,509,8,1,2,41.25
6,Medium,509,8,1,3,32.05
6,Medium,509,8,1,4,47.5
6,Medium,510,7,2,1,32.77
6,Medium,510,7,2,2,30.26
6,Medium,510,7,2,3,27.55
6,Medium,510,7,2,4,27.37
6,Medium,511,24,3,1,47.48
6,Medium,511,24,3,2,39.41
6,Medium,511,24,3,3,43.29
6,Medium,511,24,3,4,42.59
6,Medium,512,4,1,1,35.3
6,Medium,512,4,1,2,35.86
6,Medium,512,4,1,3,49.3
6,Medium,512,4,1,4,30.81
6,Medium,513,7,1,1,44.98
6,Medium,513,7,1,2,41.71
6,Medium,513,7,1,3,41.1
6,Medium,513,7,1,4,40.97
6,Medium,514,6,1,1,41.1
6,Medium,514,6,1,2,41.56
6,Medium,514,6,1,3,36.39
6,Medium,514,6,1,4,39.67
6,Medium,515,8,3,1,34.46
6,Medium,515,8,3,2,40.13
6,Medium,515,8,3,3,32.18
6,Medium,515,8,3,4,43.73
7,Medium,601,7,3,1,49.01
7,Medium,601,7,3,2,46.29
7,Medium,601,7,3,3,37.14
7,Medium,601,7,3,4,42.82
7,Medium,602,4,3,1,47.22
7,Medium,602,4,3,2,35.24
7,Medium,602,4,3,3,47.22
7,Medium,602,4,3,4,43.15
7,Medium,603,4,2,1,40.71
7,Medium,603,4,2,2,38.26
7,Medium,603,4,2,3,41.44
7,Medium,603,4,2,4,25.7
7,Medium,604,11,3,1,40.29
7,Medium,604,11,3,2,48.35
7,Medium,604,11,3,3,43.26
7,Medium,604,11,3,4,44.2
7,Medium,605,8,3,1,46.14
7,Medium,605,8,3,2,41.12
7,Medium,605,8,3,3,45.03
7,Medium,605,8,3,4,38.85
7,Medium,606,8,3,1,41.96
7,Medium,606,8,3,2,42.27
7,Medium,606,8,3,3,38.51
7,Medium,606,8,3,4,43.51
7,Medium,607,3,2,1,49.39
7,Medium,607,3,2,2,40.25
7,Medium,607,3,2,3,42.46
7,Medium,607,3,2,4,31.62
7,Medium,608,18,1,1,53.38
7,Medium,608,18,1,2,55.31
7,Medium,608,18,1,3,56.1
7,Medium,608,18,1,4,43.24
7,Medium,609,9,1,1,48.18
7,Medium,609,9,1,2,43.11
7,Medium,609,9,1,3,43.78
7,Medium,609,9,1,4,56.9
7,Medium,610,4,1,1,53.53
7,Medium,610,4,1,2,47.92
7,Medium,610,4,1,3,56.18
7,Medium,610,4,1,4,46.66
7,Medium,611,11,3,1,40.43
7,Medium,611,11,3,2,51.15
7,Medium,611,11,3,3,42.5
7,Medium,611,11,3,4,52.76
7,Medium,612,1,3,1,47.63
7,Medium,612,1,3,2,52.21
7,Medium,612,1,3,3,40.17
7,Medium,612,1,3,4,48.36
7,Medium,613,18,1,1,42.76
7,Medium,613,18,1,2,50.52
7,Medium,613,18,1,3,56.86
7,Medium,613,18,1,4,47.51
7,Medium,614,8,2,1,38.56
7,Medium,614,8,2,2,37.29
7,Medium,614,8,2,3,35.6
7,Medium,614,8,2,4,33.35
7,Medium,615,1,2,1,48.5
7,Medium,615,1,2,2,36.8
7,Medium,615,1,2,3,48.32
7,Medium,615,1,2,4,41.54
8,Medium,701,1,3,1,53.56
8,Medium,701,1,3,2,49.72
8,Medium,701,1,3,3,48.77
8,Medium,701,1,3,4,46.84
8,Medium,702,13,1,1,51.82
8,Medium,702,13,1,2,45.02
8,Medium,702,13,1,3,49.44
8,Medium,702,13,1,4,51.32
8,Medium,703,4,1,1,52.85
8,Medium,703,4,1,2,40.84
8,Medium,703,4,1,3,64.45
8,Medium,703,4,1,4,44.43
8,Medium,704,27,1,1,56.64
8,Medium,704,27,1,2,46.06
8,Medium,704,27,1,3,55.46
8,Medium,704,27,1,4,51.41
8,Medium,705,22,3,1,49.67
8,Medium,705,22,3,2,49.98
8,Medium,705,22,3,3,49.5
8,Medium,705,22,3,4,47.35
8,Medium,706,17,3,1,50.26
8,Medium,706,17,3,2,52.05
8,Medium,706,17,3,3,51.14
8,Medium,706,17,3,4,46.3
8,Medium,707,5,1,1,56.99
8,Medium,707,5,1,2,45.57
8,Medium,707,5,1,3,45.92
8,Medium,707,5,1,4,50.52
8,Medium,708,15,2,1,32.61
8,Medium,708,15,2,2,57.27
8,Medium,708,15,2,3,37.32
8,Medium,708,15,2,4,41.22
8,Medium,709,1,2,1,39.73
8,Medium,709,1,2,2,50.3
8,Medium,709,1,2,3,40.16
8,Medium,709,1,2,4,41.37
8,Medium,710,24,3,1,54.79
8,Medium,710,24,3,2,52.39
8,Medium,710,24,3,3,42.15
8,Medium,710,24,3,4,49.63
8,Medium,711,1,1,1,54.95
8,Medium,711,1,1,2,55.78
8,Medium,711,1,1,3,46.49
8,Medium,711,1,1,4,56.84
8,Medium,712,9,3,1,48.06
8,Medium,712,9,3,2,51.09
8,Medium,712,9,3,3,44.19
8,Medium,712,9,3,4,49.52
9,Medium,801,3,1,1,65.11
9,Medium,801,3,1,2,54.38
9,Medium,801,3,1,3,57.14
9,Medium,801,3,1,4,49.91
9,Medium,802,9,2,1,48.76
9,Medium,802,9,2,2,44.14
9,Medium,802,9,2,3,58.1
9,Medium,802,9,2,4,44.16
9,Medium,803,10,3,1,44.66
9,Medium,803,10,3,2,53.78
9,Medium,803,10,3,3,43.91
9,Medium,803,10,3,4,52.41
9,Medium,804,1,1,1,50.54
9,Medium,804,1,1,2,58.43
9,Medium,804,1,1,3,59.77
9,Medium,804,1,1,4,60.44
9,Medium,805,6,3,1,50.94
9,Medium,805,6,3,2,49.38
9,Medium,805,6,3,3,63.98
9,Medium,805,6,3,4,45.84
9,Medium,806,5,3,1,51.01
9,Medium,806,5,3,2,56.16
9,Medium,806,5,3,3,45.77
9,Medium,806,5,3,4,46.47
9,Medium,807,1,2,1,46.02
9,Medium,807,1,2,2,51.09
9,Medium,807,1,2,3,51.68
9,Medium,807,1,2,4,55.91
9,Medium,808,20,3,1,55.9
9,Medium,808,20,3,2,59.8
9,Medium,808,20,3,3,60.97
9,Medium,808,20,3,4,64.14
9,Medium,809,9,3,1,39.98
9,Medium,809,9,3,2,54.58
9,Medium,809,9,3,3,52.64
9,Medium,809,9,3,4,45.43
9,Medium,810,13,1,1,49.3
9,Medium,810,13,1,2,61.8
9,Medium,810,13,1,3,58
9,Medium,810,13,1,4,55.2
10,Large,901,7,2,1,53.76
10,Large,901,7,2,2,39.36
10,Large,901,7,2,3,47.2
10,Large,901,7,2,4,53.66
10,Large,902,1,1,1,61.53
10,Large,902,1,1,2,59.17
10,Large,902,1,1,3,63.73
10,Large,902,1,1,4,61.77
10,Large,903,7,3,1,51.89
10,Large,903,7,3,2,51.17
10,Large,903,7,3,3,54.33
10,Large,903,7,3,4,50.05
10,Large,904,10,2,1,51.09
10,Large,904,10,2,2,54.82
10,Large,904,10,2,3,44.16
10,Large,904,10,2,4,53.95
10,Large,905,2,3,1,54.34
10,Large,905,2,3,2,60.24
10,Large,905,2,3,3,56.39
10,Large,905,2,3,4,58.33
10,Large,906,13,2,1,51.26
10,Large,906,13,2,2,51.73
10,Large,906,13,2,3,51.35
10,Large,906,13,2,4,41.85
10,Large,907,10,2,1,45.21
10,Large,907,10,2,2,55.02
10,Large,907,10,2,3,45.35
10,Large,907,10,2,4,47.06
10,Large,908,3,2,1,43.59
10,Large,908,3,2,2,46.03
10,Large,908,3,2,3,47.22
10,Large,908,3,2,4,51.41
10,Large,909,1,1,1,58.19
10,Large,909,1,1,2,62.72
10,Large,909,1,1,3,66.66
10,Large,909,1,1,4,64.66
10,Large,910,1,1,1,66.34
10,Large,910,1,1,2,60.59
10,Large,910,1,1,3,61.95
10,Large,910,1,1,4,67.84
10,Large,911,1,2,1,55.39
10,Large,911,1,2,2,49.16
10,Large,911,1,2,3,58.26
10,Large,911,1,2,4,48.12
10,Large,912,6,2,1,49.98
10,Large,912,6,2,2,44.84
10,Large,912,6,2,3,55.12
10,Large,912,6,2,4,47.36
10,Large,913,24,1,1,62.33
10,Large,913,24,1,2,53.68
10,Large,913,24,1,3,62.37
10,Large,913,24,1,4,63.58
10,Large,914,9,2,1,44.7
10,Large,914,9,2,2,43.44
10,Large,914,9,2,3,52.36
10,Large,914,9,2,4,45.9
10,Large,915,3,1,1,53.51
10,Large,915,3,1,2,49.76
10,Large,915,3,1,3,68.31
10,Large,915,3,1,4,66.1
10,Large,916,7,2,1,43.61
10,Large,916,7,2,2,46.2
10,Large,916,7,2,3,51.52
10,Large,916,7,2,4,49.71
10,Large,917,14,3,1,53.5
10,Large,917,14,3,2,56.34
10,Large,917,14,3,3,51.83
10,Large,917,14,3,4,50.2
10,Large,918,6,1,1,49.62
10,Large,918,6,1,2,62.54
10,Large,918,6,1,3,50.11
10,Large,918,6,1,4,61.63
10,Large,919,2,1,1,59.87
10,Large,919,2,1,2,62.99
10,Large,919,2,1,3,57.2
10,Large,919,2,1,4,64.34
10,Large,920,14,2,1,50.2
10,Large,920,14,2,2,45.75
10,Large,920,14,2,3,44.29
10,Large,920,14,2,4,49.41
