storeid,HealthyStore,StoreSize,StoreLayout,customerID,gender,WhoShoppingFor,Vegetarian,ShoppingStyle,CouponUser,week,CouponSequence,CarryOver,CouponValue,AmountSpent
2,Regular store,Large,No emphasis,0994-SOSAE,Female,Self and spouse,No,Weekly; similar items,From newspaper,4,"3,1,4,2",4,05 percent,111.29
2,Regular store,Large,No emphasis,7068-FXRGD,Male,Self and family,Yes,Biweekly; in bulk,From mailings,1,"4,3,2,1",0,25 percent,309.75
2,Regular store,Large,No emphasis,7068-FXRGD,Male,Self and family,Yes,Biweekly; in bulk,From mailings,2,"4,3,2,1",4,15 percent,5.82
2,Regular store,Large,No emphasis,7068-FXRGD,Male,Self and family,Yes,Biweekly; in bulk,From mailings,3,"4,3,2,1",3,05 percent,285.66
2,Regular store,Large,No emphasis,7068-FXRGD,Male,Self and family,Yes,Biweekly; in bulk,From mailings,4,"4,3,2,1",2,00 No value,0
2,Regular store,Large,No emphasis,6908-ZRZLB,Female,Self and spouse,No,Weekly; similar items,From both,1,"2,4,1,3",0,05 percent,122.1
2,Regular store,Large,No emphasis,6908-ZRZLB,Female,Self and spouse,No,Weekly; similar items,From both,2,"2,4,1,3",2,25 percent,131.56
2,Regular store,Large,No emphasis,6908-ZRZLB,Female,Self and spouse,No,Weekly; similar items,From both,3,"2,4,1,3",4,00 No value,102.69
2,Regular store,Large,No emphasis,6908-ZRZLB,Female,Self and spouse,No,Weekly; similar items,From both,4,"2,4,1,3",1,15 percent,130.75
2,Regular store,Large,No emphasis,9640-ZBCBE,Female,Self and spouse,No,Biweekly; in bulk,From mailings,1,"4,3,2,1",0,25 percent,8.43
2,Regular store,Large,No emphasis,9640-ZBCBE,Female,Self and spouse,No,Biweekly; in bulk,From mailings,2,"4,3,2,1",4,15 percent,215.57
2,Regular store,Large,No emphasis,9640-ZBCBE,Female,Self and spouse,No,Biweekly; in bulk,From mailings,3,"4,3,2,1",3,05 percent,0
2,Regular store,Large,No emphasis,9640-ZBCBE,Female,Self and spouse,No,Biweekly; in bulk,From mailings,4,"4,3,2,1",2,00 No value,191.06
2,Regular store,Large,No emphasis,3379-XQMEJ,Male,Self and spouse,Yes,Often; what's on sale,From mailings,1,"3,1,4,2",0,15 percent,105.32
2,Regular store,Large,No emphasis,3379-XQMEJ,Male,Self and spouse,Yes,Often; what's on sale,From mailings,2,"3,1,4,2",3,00 No value,90.2
2,Regular store,Large,No emphasis,3379-XQMEJ,Male,Self and spouse,Yes,Often; what's on sale,From mailings,3,"3,1,4,2",1,25 percent,117.16
2,Regular store,Large,No emphasis,3379-XQMEJ,Male,Self and spouse,Yes,Often; what's on sale,From mailings,4,"3,1,4,2",4,05 percent,80.52
2,Regular store,Large,No emphasis,2925-CRJGR,Male,Self and family,No,Weekly; similar items,From both,1,"1,2,3,4",0,00 No value,119.76
2,Regular store,Large,No emphasis,2925-CRJGR,Male,Self and family,No,Weekly; similar items,From both,2,"1,2,3,4",1,05 percent,136.1
2,Regular store,Large,No emphasis,2925-CRJGR,Male,Self and family,No,Weekly; similar items,From both,3,"1,2,3,4",2,15 percent,143.11
2,Regular store,Large,No emphasis,2925-CRJGR,Male,Self and family,No,Weekly; similar items,From both,4,"1,2,3,4",3,25 percent,136.77
3,Regular store,Large,Emphasizes deli,3459-MTNCN,Female,Self,No,Weekly; similar items,From both,1,"4,3,2,1",0,25 percent,95.74
3,Regular store,Large,Emphasizes deli,3459-MTNCN,Female,Self,No,Weekly; similar items,From both,2,"4,3,2,1",4,15 percent,79.28
3,Regular store,Large,Emphasizes deli,3459-MTNCN,Female,Self,No,Weekly; similar items,From both,3,"4,3,2,1",3,05 percent,79.26
3,Regular store,Large,Emphasizes deli,3459-MTNCN,Female,Self,No,Weekly; similar items,From both,4,"4,3,2,1",2,00 No value,74.54
3,Regular store,Large,Emphasizes deli,0861-NNSFJ,Male,Self and spouse,No,Biweekly; in bulk,From both,1,"2,4,1,3",0,05 percent,0
3,Regular store,Large,Emphasizes deli,0861-NNSFJ,Male,Self and spouse,No,Biweekly; in bulk,From both,2,"2,4,1,3",2,25 percent,187.67
3,Regular store,Large,Emphasizes deli,0861-NNSFJ,Male,Self and spouse,No,Biweekly; in bulk,From both,3,"2,4,1,3",4,00 No value,0
3,Regular store,Large,Emphasizes deli,0861-NNSFJ,Male,Self and spouse,No,Biweekly; in bulk,From both,4,"2,4,1,3",1,15 percent,192.52
3,Regular store,Large,Emphasizes deli,7353-YOWJM,Female,Self,No,Often; what's on sale,From both,1,"1,2,3,4",0,00 No value,101.85
3,Regular store,Large,Emphasizes deli,7353-YOWJM,Female,Self,No,Often; what's on sale,From both,2,"1,2,3,4",1,05 percent,106.04
3,Regular store,Large,Emphasizes deli,7353-YOWJM,Female,Self,No,Often; what's on sale,From both,3,"1,2,3,4",2,15 percent,109.34
3,Regular store,Large,Emphasizes deli,7353-YOWJM,Female,Self,No,Often; what's on sale,From both,4,"1,2,3,4",3,25 percent,119.52
3,Regular store,Large,Emphasizes deli,6510-AAHBU,Male,Self and family,No,Weekly; similar items,No,1,"4,3,2,1",0,25 percent,119.97
3,Regular store,Large,Emphasizes deli,6510-AAHBU,Male,Self and family,No,Weekly; similar items,No,2,"4,3,2,1",4,15 percent,113.08
3,Regular store,Large,Emphasizes deli,6510-AAHBU,Male,Self and family,No,Weekly; similar items,No,3,"4,3,2,1",3,05 percent,119.78
3,Regular store,Large,Emphasizes deli,6510-AAHBU,Male,Self and family,No,Weekly; similar items,No,4,"4,3,2,1",2,00 No value,106.94
3,Regular store,Large,Emphasizes deli,4291-BZBCZ,Male,Self,Yes,Often; what's on sale,From both,1,"4,3,2,1",0,25 percent,129.6
3,Regular store,Large,Emphasizes deli,4291-BZBCZ,Male,Self,Yes,Often; what's on sale,From both,2,"4,3,2,1",4,15 percent,105.99
3,Regular store,Large,Emphasizes deli,4291-BZBCZ,Male,Self,Yes,Often; what's on sale,From both,3,"4,3,2,1",3,05 percent,98.68
3,Regular store,Large,Emphasizes deli,4291-BZBCZ,Male,Self,Yes,Often; what's on sale,From both,4,"4,3,2,1",2,00 No value,87.52
4,Regular store,Large,No emphasis,2996-CLOUM,Female,Self,No,Weekly; similar items,No,1,"2,4,1,3",0,05 percent,77.21
4,Regular store,Large,No emphasis,2996-CLOUM,Female,Self,No,Weekly; similar items,No,2,"2,4,1,3",2,25 percent,81.74
4,Regular store,Large,No emphasis,2996-CLOUM,Female,Self,No,Weekly; similar items,No,3,"2,4,1,3",4,00 No value,71.88
4,Regular store,Large,No emphasis,2996-CLOUM,Female,Self,No,Weekly; similar items,No,4,"2,4,1,3",1,15 percent,73.02
4,Regular store,Large,No emphasis,9552-KBTSU,Female,Self and spouse,No,Weekly; similar items,From mailings,1,"4,3,2,1",0,25 percent,116.71
4,Regular store,Large,No emphasis,9552-KBTSU,Female,Self and spouse,No,Weekly; similar items,From mailings,2,"4,3,2,1",4,15 percent,107.53
4,Regular store,Large,No emphasis,9552-KBTSU,Female,Self and spouse,No,Weekly; similar items,From mailings,3,"4,3,2,1",3,05 percent,105.52
4,Regular store,Large,No emphasis,9552-KBTSU,Female,Self and spouse,No,Weekly; similar items,From mailings,4,"4,3,2,1",2,00 No value,99.06
4,Regular store,Large,No emphasis,8097-NALWW,Female,Self and family,No,Biweekly; in bulk,No,1,"1,2,3,4",0,00 No value,232.79
4,Regular store,Large,No emphasis,8097-NALWW,Female,Self and family,No,Biweekly; in bulk,No,2,"1,2,3,4",1,05 percent,14.89
4,Regular store,Large,No emphasis,8097-NALWW,Female,Self and family,No,Biweekly; in bulk,No,3,"1,2,3,4",2,15 percent,239.49
4,Regular store,Large,No emphasis,8097-NALWW,Female,Self and family,No,Biweekly; in bulk,No,4,"1,2,3,4",3,25 percent,6.4
4,Regular store,Large,No emphasis,3995-PSOEA,Female,Self,Yes,Often; what's on sale,From both,1,"3,1,4,2",0,15 percent,113.67
4,Regular store,Large,No emphasis,3995-PSOEA,Female,Self,Yes,Often; what's on sale,From both,2,"3,1,4,2",3,00 No value,85.82
4,Regular store,Large,No emphasis,3995-PSOEA,Female,Self,Yes,Often; what's on sale,From both,3,"3,1,4,2",1,25 percent,111.43
4,Regular store,Large,No emphasis,3995-PSOEA,Female,Self,Yes,Often; what's on sale,From both,4,"3,1,4,2",4,05 percent,90.23
4,Regular store,Large,No emphasis,6440-VEMDW,Female,Self,No,Weekly; similar items,From newspaper,1,"4,3,2,1",0,25 percent,75.07
4,Regular store,Large,No emphasis,6440-VEMDW,Female,Self,No,Weekly; similar items,From newspaper,2,"4,3,2,1",4,15 percent,69.85
4,Regular store,Large,No emphasis,6440-VEMDW,Female,Self,No,Weekly; similar items,From newspaper,3,"4,3,2,1",3,05 percent,67.71
4,Regular store,Large,No emphasis,6440-VEMDW,Female,Self,No,Weekly; similar items,From newspaper,4,"4,3,2,1",2,00 No value,65.63
4,Regular store,Large,No emphasis,6547-DRZQW,Male,Self,No,Weekly; similar items,From mailings,1,"4,3,2,1",0,25 percent,101.49
4,Regular store,Large,No emphasis,6547-DRZQW,Male,Self,No,Weekly; similar items,From mailings,2,"4,3,2,1",4,15 percent,91.44
4,Regular store,Large,No emphasis,6547-DRZQW,Male,Self,No,Weekly; similar items,From mailings,3,"4,3,2,1",3,05 percent,88.41
4,Regular store,Large,No emphasis,6547-DRZQW,Male,Self,No,Weekly; similar items,From mailings,4,"4,3,2,1",2,00 No value,79.73
4,Regular store,Large,No emphasis,8253-XMPFJ,Male,Self and family,No,Biweekly; in bulk,From newspaper,1,"1,2,3,4",0,00 No value,0
4,Regular store,Large,No emphasis,8253-XMPFJ,Male,Self and family,No,Biweekly; in bulk,From newspaper,2,"1,2,3,4",1,05 percent,250.79
4,Regular store,Large,No emphasis,8253-XMPFJ,Male,Self and family,No,Biweekly; in bulk,From newspaper,3,"1,2,3,4",2,15 percent,0
4,Regular store,Large,No emphasis,8253-XMPFJ,Male,Self and family,No,Biweekly; in bulk,From newspaper,4,"1,2,3,4",3,25 percent,262.25
5,Regular store,Medium,Emphasizes bakery,9246-SKQRN,Female,Self and family,No,Biweekly; in bulk,From both,1,"2,4,1,3",0,05 percent,345.97
5,Regular store,Medium,Emphasizes bakery,9246-SKQRN,Female,Self and family,No,Biweekly; in bulk,From both,2,"2,4,1,3",2,25 percent,6.49
5,Regular store,Medium,Emphasizes bakery,9246-SKQRN,Female,Self and family,No,Biweekly; in bulk,From both,3,"2,4,1,3",4,00 No value,314.42
5,Regular store,Medium,Emphasizes bakery,9246-SKQRN,Female,Self and family,No,Biweekly; in bulk,From both,4,"2,4,1,3",1,15 percent,39.64
5,Regular store,Medium,Emphasizes bakery,2947-ADDDS,Female,Self,No,Weekly; similar items,No,1,"4,3,2,1",0,25 percent,80.23
5,Regular store,Medium,Emphasizes bakery,2947-ADDDS,Female,Self,No,Weekly; similar items,No,2,"4,3,2,1",4,15 percent,77.43
5,Regular store,Medium,Emphasizes bakery,2947-ADDDS,Female,Self,No,Weekly; similar items,No,3,"4,3,2,1",3,05 percent,78.83
5,Regular store,Medium,Emphasizes bakery,2947-ADDDS,Female,Self,No,Weekly; similar items,No,4,"4,3,2,1",2,00 No value,75.24
5,Regular store,Medium,Emphasizes bakery,6646-DHEUI,Female,Self,Yes,Biweekly; in bulk,No,1,"3,1,4,2",0,15 percent,0
5,Regular store,Medium,Emphasizes bakery,6646-DHEUI,Female,Self,Yes,Biweekly; in bulk,No,2,"3,1,4,2",3,00 No value,119.66
5,Regular store,Medium,Emphasizes bakery,6646-DHEUI,Female,Self,Yes,Biweekly; in bulk,No,3,"3,1,4,2",1,25 percent,0
5,Regular store,Medium,Emphasizes bakery,6646-DHEUI,Female,Self,Yes,Biweekly; in bulk,No,4,"3,1,4,2",4,05 percent,123.3
5,Regular store,Medium,Emphasizes bakery,1842-RFHXC,Male,Self,Yes,Weekly; similar items,No,1,"3,1,4,2",0,15 percent,105.48
5,Regular store,Medium,Emphasizes bakery,1842-RFHXC,Male,Self,Yes,Weekly; similar items,No,2,"3,1,4,2",3,00 No value,104.98
5,Regular store,Medium,Emphasizes bakery,1842-RFHXC,Male,Self,Yes,Weekly; similar items,No,3,"3,1,4,2",1,25 percent,108.78
5,Regular store,Medium,Emphasizes bakery,1842-RFHXC,Male,Self,Yes,Weekly; similar items,No,4,"3,1,4,2",4,05 percent,107.93
5,Regular store,Medium,Emphasizes bakery,4391-WFRGL,Male,Self,No,Weekly; similar items,From mailings,1,"4,3,2,1",0,25 percent,124.88
5,Regular store,Medium,Emphasizes bakery,4391-WFRGL,Male,Self,No,Weekly; similar items,From mailings,2,"4,3,2,1",4,15 percent,103.52
5,Regular store,Medium,Emphasizes bakery,4391-WFRGL,Male,Self,No,Weekly; similar items,From mailings,3,"4,3,2,1",3,05 percent,94.48
5,Regular store,Medium,Emphasizes bakery,4391-WFRGL,Male,Self,No,Weekly; similar items,From mailings,4,"4,3,2,1",2,00 No value,98.66
6,Regular store,Small,No emphasis,4710-MHJUS,Female,Self and spouse,Yes,Weekly; similar items,From both,1,"2,4,1,3",0,05 percent,115.63
6,Regular store,Small,No emphasis,4710-MHJUS,Female,Self and spouse,Yes,Weekly; similar items,From both,2,"2,4,1,3",2,25 percent,117.2
6,Regular store,Small,No emphasis,4710-MHJUS,Female,Self and spouse,Yes,Weekly; similar items,From both,3,"2,4,1,3",4,00 No value,93
6,Regular store,Small,No emphasis,4710-MHJUS,Female,Self and spouse,Yes,Weekly; similar items,From both,4,"2,4,1,3",1,15 percent,114.31
6,Regular store,Small,No emphasis,9842-RPKUW,Female,Self and family,No,Weekly; similar items,From mailings,1,"3,1,4,2",0,15 percent,138.03
6,Regular store,Small,No emphasis,9842-RPKUW,Female,Self and family,No,Weekly; similar items,From mailings,2,"3,1,4,2",3,00 No value,105.28
6,Regular store,Small,No emphasis,9842-RPKUW,Female,Self and family,No,Weekly; similar items,From mailings,3,"3,1,4,2",1,25 percent,149.36
6,Regular store,Small,No emphasis,9842-RPKUW,Female,Self and family,No,Weekly; similar items,From mailings,4,"3,1,4,2",4,05 percent,116.95
6,Regular store,Small,No emphasis,3747-KMASI,Female,Self and spouse,No,Weekly; similar items,From both,1,"4,3,2,1",0,25 percent,108.33
6,Regular store,Small,No emphasis,3747-KMASI,Female,Self and spouse,No,Weekly; similar items,From both,2,"4,3,2,1",4,15 percent,108.27
6,Regular store,Small,No emphasis,3747-KMASI,Female,Self and spouse,No,Weekly; similar items,From both,3,"4,3,2,1",3,05 percent,95.74
6,Regular store,Small,No emphasis,3747-KMASI,Female,Self and spouse,No,Weekly; similar items,From both,4,"4,3,2,1",2,00 No value,90.56
6,Regular store,Small,No emphasis,5541-NMAHA,Male,Self and family,Yes,Weekly; similar items,From mailings,1,"2,4,1,3",0,05 percent,160.86
6,Regular store,Small,No emphasis,5541-NMAHA,Male,Self and family,Yes,Weekly; similar items,From mailings,2,"2,4,1,3",2,25 percent,171.97
6,Regular store,Small,No emphasis,5541-NMAHA,Male,Self and family,Yes,Weekly; similar items,From mailings,3,"2,4,1,3",4,00 No value,124.79
6,Regular store,Small,No emphasis,5541-NMAHA,Male,Self and family,Yes,Weekly; similar items,From mailings,4,"2,4,1,3",1,15 percent,173.18
6,Regular store,Small,No emphasis,6626-ZBSKT,Male,Self and family,No,Weekly; similar items,From both,1,"1,2,3,4",0,00 No value,164.42
6,Regular store,Small,No emphasis,6626-ZBSKT,Male,Self and family,No,Weekly; similar items,From both,2,"1,2,3,4",1,05 percent,178.94
6,Regular store,Small,No emphasis,6626-ZBSKT,Male,Self and family,No,Weekly; similar items,From both,3,"1,2,3,4",2,15 percent,161.33
6,Regular store,Small,No emphasis,6626-ZBSKT,Male,Self and family,No,Weekly; similar items,From both,4,"1,2,3,4",3,25 percent,187.04
7,Regular store,Small,Emphasizes deli,5226-DQMNK,Female,Self,No,Weekly; similar items,From mailings,1,"2,4,1,3",0,05 percent,89.6
7,Regular store,Small,Emphasizes deli,5226-DQMNK,Female,Self,No,Weekly; similar items,From mailings,2,"2,4,1,3",2,25 percent,96.09
7,Regular store,Small,Emphasizes deli,5226-DQMNK,Female,Self,No,Weekly; similar items,From mailings,3,"2,4,1,3",4,00 No value,65.71
7,Regular store,Small,Emphasizes deli,5226-DQMNK,Female,Self,No,Weekly; similar items,From mailings,4,"2,4,1,3",1,15 percent,99.42
7,Regular store,Small,Emphasizes deli,3841-YWCKF,Female,Self and family,No,Weekly; similar items,From mailings,1,"1,2,3,4",0,00 No value,147.28
7,Regular store,Small,Emphasizes deli,3841-YWCKF,Female,Self and family,No,Weekly; similar items,From mailings,2,"1,2,3,4",1,05 percent,166.55
7,Regular store,Small,Emphasizes deli,3841-YWCKF,Female,Self and family,No,Weekly; similar items,From mailings,3,"1,2,3,4",2,15 percent,169.16
7,Regular store,Small,Emphasizes deli,3841-YWCKF,Female,Self and family,No,Weekly; similar items,From mailings,4,"1,2,3,4",3,25 percent,172.27
7,Regular store,Small,Emphasizes deli,3935-OAKPI,Male,Self,No,Weekly; similar items,From newspaper,1,"4,3,2,1",0,25 percent,157.25
7,Regular store,Small,Emphasizes deli,3935-OAKPI,Male,Self,No,Weekly; similar items,From newspaper,2,"4,3,2,1",4,15 percent,131.16
7,Regular store,Small,Emphasizes deli,3935-OAKPI,Male,Self,No,Weekly; similar items,From newspaper,3,"4,3,2,1",3,05 percent,122.77
7,Regular store,Small,Emphasizes deli,3935-OAKPI,Male,Self,No,Weekly; similar items,From newspaper,4,"4,3,2,1",2,00 No value,122.78
7,Regular store,Small,Emphasizes deli,1627-XVOVC,Female,Self and spouse,No,Biweekly; in bulk,No,1,"1,2,3,4",0,00 No value,199.44
7,Regular store,Small,Emphasizes deli,1627-XVOVC,Female,Self and spouse,No,Biweekly; in bulk,No,2,"1,2,3,4",1,05 percent,0
7,Regular store,Small,Emphasizes deli,1627-XVOVC,Female,Self and spouse,No,Biweekly; in bulk,No,3,"1,2,3,4",2,15 percent,192.45
7,Regular store,Small,Emphasizes deli,1627-XVOVC,Female,Self and spouse,No,Biweekly; in bulk,No,4,"1,2,3,4",3,25 percent,7.1
8,Regular store,Large,No emphasis,4856-DPGRF,Female,Self and spouse,No,Biweekly; in bulk,From mailings,1,"3,1,4,2",0,15 percent,9.75
8,Regular store,Large,No emphasis,4856-DPGRF,Female,Self and spouse,No,Biweekly; in bulk,From mailings,2,"3,1,4,2",3,00 No value,187.6
8,Regular store,Large,No emphasis,4856-DPGRF,Female,Self and spouse,No,Biweekly; in bulk,From mailings,3,"3,1,4,2",1,25 percent,0
8,Regular store,Large,No emphasis,4856-DPGRF,Female,Self and spouse,No,Biweekly; in bulk,From mailings,4,"3,1,4,2",4,05 percent,196.67
8,Regular store,Large,No emphasis,8262-OBTFX,Male,Self,No,Often; what's on sale,From newspaper,1,"4,3,2,1",0,25 percent,120.7
8,Regular store,Large,No emphasis,8262-OBTFX,Male,Self,No,Often; what's on sale,From newspaper,2,"4,3,2,1",4,15 percent,123.52
8,Regular store,Large,No emphasis,8262-OBTFX,Male,Self,No,Often; what's on sale,From newspaper,3,"4,3,2,1",3,05 percent,111.87
8,Regular store,Large,No emphasis,8262-OBTFX,Male,Self,No,Often; what's on sale,From newspaper,4,"4,3,2,1",2,00 No value,99.69
8,Regular store,Large,No emphasis,7150-IMBEL,Male,Self and family,No,Weekly; similar items,From mailings,1,"2,4,1,3",0,05 percent,165.89
8,Regular store,Large,No emphasis,7150-IMBEL,Male,Self and family,No,Weekly; similar items,From mailings,2,"2,4,1,3",2,25 percent,229.11
8,Regular store,Large,No emphasis,7150-IMBEL,Male,Self and family,No,Weekly; similar items,From mailings,3,"2,4,1,3",4,00 No value,147.38
8,Regular store,Large,No emphasis,7150-IMBEL,Male,Self and family,No,Weekly; similar items,From mailings,4,"2,4,1,3",1,15 percent,242.68
8,Regular store,Large,No emphasis,7075-UZTVO,Male,Self and family,No,Weekly; similar items,No,1,"4,3,2,1",0,25 percent,133.61
8,Regular store,Large,No emphasis,7075-UZTVO,Male,Self and family,No,Weekly; similar items,No,2,"4,3,2,1",4,15 percent,141.98
8,Regular store,Large,No emphasis,7075-UZTVO,Male,Self and family,No,Weekly; similar items,No,3,"4,3,2,1",3,05 percent,142.99
8,Regular store,Large,No emphasis,7075-UZTVO,Male,Self and family,No,Weekly; similar items,No,4,"4,3,2,1",2,00 No value,141.13
8,Regular store,Large,No emphasis,3229-GVKDG,Male,Self,No,Biweekly; in bulk,From mailings,1,"3,1,4,2",0,15 percent,0
8,Regular store,Large,No emphasis,3229-GVKDG,Male,Self,No,Biweekly; in bulk,From mailings,2,"3,1,4,2",3,00 No value,162.1
8,Regular store,Large,No emphasis,3229-GVKDG,Male,Self,No,Biweekly; in bulk,From mailings,3,"3,1,4,2",1,25 percent,0
8,Regular store,Large,No emphasis,3229-GVKDG,Male,Self,No,Biweekly; in bulk,From mailings,4,"3,1,4,2",4,05 percent,173.84
8,Regular store,Large,No emphasis,5849-RTOXV,Female,Self and spouse,No,Weekly; similar items,From both,1,"2,4,1,3",0,05 percent,113.21
8,Regular store,Large,No emphasis,5849-RTOXV,Female,Self and spouse,No,Weekly; similar items,From both,2,"2,4,1,3",2,25 percent,103.67
8,Regular store,Large,No emphasis,5849-RTOXV,Female,Self and spouse,No,Weekly; similar items,From both,3,"2,4,1,3",4,00 No value,93.61
8,Regular store,Large,No emphasis,5849-RTOXV,Female,Self and spouse,No,Weekly; similar items,From both,4,"2,4,1,3",1,15 percent,115.81
8,Regular store,Large,No emphasis,6119-FLQYZ,Male,Self,Yes,Weekly; similar items,From both,1,"3,1,4,2",0,15 percent,129.62
8,Regular store,Large,No emphasis,6119-FLQYZ,Male,Self,Yes,Weekly; similar items,From both,2,"3,1,4,2",3,00 No value,102.37
8,Regular store,Large,No emphasis,6119-FLQYZ,Male,Self,Yes,Weekly; similar items,From both,3,"3,1,4,2",1,25 percent,128.37
8,Regular store,Large,No emphasis,6119-FLQYZ,Male,Self,Yes,Weekly; similar items,From both,4,"3,1,4,2",4,05 percent,111.47
8,Regular store,Large,No emphasis,6588-HKAAB,Male,Self,No,Weekly; similar items,From mailings,1,"2,4,1,3",0,05 percent,98.2
8,Regular store,Large,No emphasis,6588-HKAAB,Male,Self,No,Weekly; similar items,From mailings,2,"2,4,1,3",2,25 percent,105
8,Regular store,Large,No emphasis,6588-HKAAB,Male,Self,No,Weekly; similar items,From mailings,3,"2,4,1,3",4,00 No value,80.3
8,Regular store,Large,No emphasis,6588-HKAAB,Male,Self,No,Weekly; similar items,From mailings,4,"2,4,1,3",1,15 percent,97.53
8,Regular store,Large,No emphasis,7720-GKLCP,Male,Self,No,Weekly; similar items,From mailings,1,"2,4,1,3",0,05 percent,112.7
8,Regular store,Large,No emphasis,7720-GKLCP,Male,Self,No,Weekly; similar items,From mailings,2,"2,4,1,3",2,25 percent,124.58
8,Regular store,Large,No emphasis,7720-GKLCP,Male,Self,No,Weekly; similar items,From mailings,3,"2,4,1,3",4,00 No value,97.81
8,Regular store,Large,No emphasis,7720-GKLCP,Male,Self,No,Weekly; similar items,From mailings,4,"2,4,1,3",1,15 percent,120.32
8,Regular store,Large,No emphasis,1803-PHXFG,Male,Self and spouse,No,Often; what's on sale,From both,1,"2,4,1,3",0,05 percent,151.87
8,Regular store,Large,No emphasis,1803-PHXFG,Male,Self and spouse,No,Often; what's on sale,From both,2,"2,4,1,3",2,25 percent,167.47
8,Regular store,Large,No emphasis,1803-PHXFG,Male,Self and spouse,No,Often; what's on sale,From both,3,"2,4,1,3",4,00 No value,132.28
8,Regular store,Large,No emphasis,1803-PHXFG,Male,Self and spouse,No,Often; what's on sale,From both,4,"2,4,1,3",1,15 percent,170.43
9,Regular store,Large,Emphasizes produce,9439-GTZQH,Male,Self,No,Biweekly; in bulk,No,1,"3,1,4,2",0,15 percent,6.49
9,Regular store,Large,Emphasizes produce,9439-GTZQH,Male,Self,No,Biweekly; in bulk,No,2,"3,1,4,2",3,00 No value,162.25
9,Regular store,Large,Emphasizes produce,9439-GTZQH,Male,Self,No,Biweekly; in bulk,No,3,"3,1,4,2",1,25 percent,0
9,Regular store,Large,Emphasizes produce,9439-GTZQH,Male,Self,No,Biweekly; in bulk,No,4,"3,1,4,2",4,05 percent,168.14
