Full Name,Primary Company,Seed Valuation,A Valuation,B Valuation,Valuation Increase,,Series A Month,Series A Day,Series A Year,,,,CEO at A,CEO at B
Emily Weiss,Glossier,"$10,000,000.00 ","35,000,000.00","130,000,000.00",3.714285714,,,,,,,,1,1
Nirav Tolia,Nextdoor,NaN,"23,650,000.00","31,400,000.00",1.32769556,,,,,,,,1,1
Balaji S. Srinivasan,21 Inc,NaN,"25,050,000.00","275,000,000.00",10.97804391,,,,,,,,1,1
Danielle Morrill,Mattermark,NaN,"25,000,000.00","42,300,000.00",1.692,,,,,,,,1,1
Seth Sternberg,Honor,NaN,"66,000,000.00","160,000,000.00",2.424242424,,,,,,,,1,1
Jen Rubio,Away,"$7,200,000.00 ","40,000,000.00","120,000,000.00",3,,,,,,,,1,1
Curtis Lee,Luxe,"$18,000,000.00 ","70,000,000.00","160,000,000.00",2.285714286,,,,,,,,1,1
Greg Duffy,Dropcam,NaN,NaN,"56,490,000.00",#VALUE!,,,,,,,,1,1
Stefan Heck,"Nauto, Inc.",NaN,"36,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Karl Mehta,EdCast,NaN,"17,570,000.00","71,000,000.00",4.040978941,,,,,,,,1,1
Joshua Reeves,Gusto,"$32,590,000.00 ","127,530,000.00","560,000,000.00",4.391123657,,,,,,,,1,1
Bret Taylor,Quip,NaN,"94,730,000.00","377,310,000.00",3.983004328,,,,,,,,1,1
Melody McCloskey,StyleSeat,"$15,950,000.00 ","42,510,000.00","119,310,000.00",2.806633733,,,,,,,,1,1
Tyler Droll,Yik Yak,NaN,"44,240,000.00","400,520,000.00",9.053345389,,,,,,,,1,1
Baiju Prafulkumar Bhatt,Robinhood,NaN,"61,500,000.00","250,000,000.00",4.06504065,,,,,,,,1,1
Dennis Mortensen,x.ai,"$7,440,000.00 ","34,130,000.00","87,370,000.00",2.559917961,,,,,,,,1,1
Max Ventilla,AltSchool,"$6,600,000.00 ","92,980,000.00","325,000,000.00",3.49537535,,,,,,,,1,1
Zain Jaffer,Vungle,NaN,"20,950,000.00","101,190,000.00",4.830071599,,,,,,,,1,1
Ben Marcus,AirMap,"$12,960,000.00 ","48,470,000.00","115,260,000.00",2.377965752,,,,,,,,1,1
Mike Farley,Tile,"$51,310,000.00 ","54,310,000.00","166,670,000.00",3.068863929,,,,,,,,1,1
David Niu,TINYhr,"$17,500,000.00 ","70,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Jeremy Johnson,Andela,NaN,"33,830,000.00","112,000,000.00",3.310671002,,,,,,,,1,1
David Cancel,Drift,NaN,"45,130,000.00",NaN,#VALUE!,,,,,,,,1,1
Mikita Mikado,Quote Roller,NaN,"23,860,000.00","70,000,000.00",2.933780386,,,,,,,,1,1
Kamakshi Sivaramakrishnan,Drawbridge Inc.,NaN,"15,840,000.00","99,000,000.00",6.25,,,,,,,,1,1
Anthony Casalena,Squarespace,NaN,"133,410,000.00","560,910,000.00",4.204407466,,,,,,,,1,1
Davis Smith,Cotopaxi,"$11,460,000.00 ","18,840,000.00",NaN,#VALUE!,,,,,,,,1,1
Suhail Doshi,Mixpanel,NaN,"32,890,000.00","865,000,000.00",26.29978717,,,,,,,,1,1
Tariq Hilaly,"Lumity, Inc.","$15,250,000.00 ","41,160,000.00","87,220,000.00",2.119047619,,,,,,,,1,1
Michael Wystrach,Freshly,"$11,590,000.00 ","28,000,000.00","70,000,000.00",2.5,,,,,,,,1,1
Hovhannes Avoyan,PicsArt,NaN,"52,330,000.00","250,000,000.00",4.777374355,,,,,,,,1,1
Michael Katz,mParticle,"$26,500,000.00 ","40,550,000.00","64,290,000.00",1.585450062,,,,,,,,1,1
Aakrit Vaish,Haptik,NaN,"4,000,000.00",NaN,#VALUE!,,,,,,,,1,NaN
Dan Teran,Managed by Q,"$12,570,000.00 ","80,430,000.00","125,000,000.00",1.554146463,,,,,,,,1,1
Jay Chaudhry,Zscaler,NaN,NaN,"88,123,000.00",#VALUE!,,,,,,,,1,1
Alex Laats,Rekener Inc.,"$10,700,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
David Vivero,Amino,"$3,500,000.00 ","7,380,000.00","55,270,000.00",7.489159892,,,,,,,,1,1
Jim Barnett,Glint,NaN,"20,670,000.00","38,170,000.00",1.846637639,,,,,,,,1,1
Andrew Levy,Apteligent,NaN,"15,120,000.00","53,880,000.00",3.563492063,,,,,,,,1,0
Marcin Kleczynski,Malwarebytes,NaN,"150,000,000.00","625,000,000.00",4.166666667,,,,,,,,1,0
Ben Rubin,Houseparty,NaN,"12,930,000.00","54,000,000.00",4.176334107,,,,,,,,1,1
Michael Buckwald,Leap Motion,"$7,600,000.00 ","51,000,000.00","310,000,000.00",6.078431373,,,,,,,,1,1
Michael Wayne,Kin Community,NaN,"10,000,000.00","54,000,000.00",5.4,,,,,,,,1,1
Craig Walker,Dialpad,NaN,"14,440,000.00","54,000,000.00",3.739612188,,,,,,,,1,1
Meron Gribetz,Meta,NaN,"72,000,000.00","300,000,000.00",4.166666667,,,,,,,,1,1
Justin Yoshimura,500Friends,NaN,"19,140,000.00",NaN,#VALUE!,,,,,,,,1,1
Seth Birnbaum,EverQuote,NaN,"3,100,000.00","220,000,000.00",70.96774194,,,,,,,,1,1
Tim Junio,"Qadium, Inc.",NaN,"69,000,000.00","320,000,000.00",4.637681159,,,,,,,,1,0
Loic Le Meur,Leade.rs,"$2,400,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Michael Laskoff,Annum Health,"$8,500,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Andrew Filev,Wrike,NaN,"45,000,000.00","125,000,000.00",2.777777778,,,,,,,,1,1
Ori Eisen,Trusona,NaN,"21,050,000.00","50,000,000.00",2.375296912,,,,,,,,1,1
Hicham Oudghiri,Enigma,"$3,350,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Scott Walchek,Trōv,NaN,"9,700,000.00","12,850,000.00",1.324742268,,,,,,,,1,1
Hyungseok Dino Ha,Memebox Corporation,NaN,"31,192,000.00","100,000,000.00",3.205950244,,,,,,,,1,1
Dan Shapiro,Glowforge,NaN,"29,000,000.00","174,000,000.00",6,,,,,,,,1,1
Ron Palmeri,Layer,NaN,"63,700,000.00","45,000,000.00",0.706436421,,,,,,,,1,1
Nick Weaver,eero,"$14,000,000.00 ","40,000,000.00","125,000,000.00",3.125,,,,,,,,1,1
Stephen Russell,Prism Skylabs,NaN,"42,040,000.00","70,000,000.00",1.665080875,,,,,,,,1,1
Alex Blumberg,Gimlet Media,NaN,"30,000,000.00","74,000,000.00",2.466666667,,,,,,,,1,1
Henry Ward,eShares,"$6,300,000.00 ","23,910,000.00","75,000,000.00",3.136762861,,,,,,,,1,1
Sue Khim,Brilliant.org,NaN,"4,300,000.00","19,300,000.00",4.488372093,,,,,,,,1,1
Munjal Shah,Health Equity Labs,"$10,970,000.00 ",NaN,"44,000,000.00",#VALUE!,,,,,,,,1,1
Ali Diab,Collective Health,NaN,NaN,"107,000,000.00",#VALUE!,,,,,,,,1,1
Jess Lee,Polyvore,NaN,NaN,"14,130,000.00",#VALUE!,,,,,,,,1,1
Ross Bailey,Appear Here,"$5,500,000.00 ","16,000,000.00","32,000,000.00",2,,,,,,,,1,1
Ari Mir,Clutter,"$7,700,000.00 ","25,000,000.00","76,000,000.00",3.04,,,,,,,,1,1
James Crawford,"Orbital Insight, Inc.",NaN,"42,000,000.00","80,000,000.00",1.904761905,,,,,,,,1,1
Stephen Dash,Credible,NaN,"58,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Brit Morin,Brit + Co,NaN,"22,000,000.00","75,000,000.00",3.409090909,,,,,,,,1,1
Isaac Oates,Justworks,NaN,"35,000,000.00","70,000,000.00",2,,,,,,,,1,1
Jerry Hum,Touch of Modern,"$4,000,000.00 ","9,000,000.00","41,000,000.00",4.555555556,,,,,,,,1,1
Robin Chase,Zipcar,NaN,"4,270,000.00","5,500,000.00",1.288056206,,,,,,,,1,1
Michael Winn,DroneDeploy,"$13,000,000.00 ","33,000,000.00","83,000,000.00",2.515151515,,,,,,,,1,1
Sean Spector,"Dropoff, Inc.",NaN,"17,500,000.00","34,000,000.00",1.942857143,,,,,,,,1,1
Horace Luke,Gogoro,NaN,NaN,"130,000,000.00",#VALUE!,,,,,,,,1,1
Chris Herbert,TrackR,"$14,133,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Maureen Fan,Baobab Studios,NaN,"24,000,000.00","75,000,000.00",3.125,,,,,,,,1,1
Steph Korey,Away,"$7,200,000.00 ","40,000,000.00","120,000,000.00",3,,,,,,,,1,1
Trevor Traina,IfOnly,NaN,"30,000,000.00","84,000,000.00",2.8,,,,,,,,1,1
Louay Eldada,Quanergy Systems,"$16,000,000.00 ","110,000,000.00","1,140,000,000.00",10.36363636,,,,,,,,1,1
Jasen Wang,Makeblock,"$420,000,000.00 ",NaN,"200,000,000.00",#VALUE!,,,,,,,,1,1
Jeff Tangney,Doximity,NaN,"37,000,000.00","78,000,000.00",2.108108108,,,,,,,,1,1
Ross McCray,VideoAmp,"$9,500,000.00 ","43,000,000.00","85,000,000.00",1.976744186,,,,,,,,1,1
Amit Sharma,Narvar,"$8,000,000.00 ","33,000,000.00","147,000,000.00",4.454545455,,,,,,,,1,1
Rami Essaid,Distil Networks,"$6,000,000.00 ","24,000,000.00","140,000,000.00",5.833333333,,,,,,,,1,1
Joe Fernandez,Joymode,"$8,300,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Zoe Barry,ZappRx,NaN,"34,000,000.00","65,000,000.00",1.911764706,,,,,,,,1,1
Yan-David Erlich,Parsable,NaN,"20,440,000.00","76,660,000.00",3.750489237,,,,,,,,1,1
Andrew Leto,GlobalTranz,NaN,"40,111,000.00","125,000,000.00",3.116352123,,,,,,,,1,0
Michael Jaconi,Button,"$8,500,000.00 ","48,560,000.00","99,230,000.00",2.0434514,,,,,,,,1,1
Mike Sha,Wikinvest,NaN,"32,000,000.00","26,000,000.00",0.8125,,,,,,,,1,1
Ashvin Kumar,"Tophatter, Inc.","$5,730,000.00 ","40,000,000.00","12,000,000.00",0.3,,,,,,,,1,1
Momchil Kyurkchiev,Leanplum,NaN,"19,720,000.00","50,970,000.00",2.584685598,,,,,,,,1,1
Brian Brackeen,Kairos AR,NaN,"5,110,000.00","14,520,000.00",2.84148728,,,,,,,,1,1
Kevin Gibbon,Shyp,"$7,970,000.00 ","40,000,000.00","275,000,000.00",6.875,,,,,,,,1,1
Daniel Ruch,Rocketrip,NaN,"13,420,000.00","23,000,000.00",1.713859911,,,,,,,,1,1
Matt Riley,Swiftype,NaN,"30,000,000.00","70,000,000.00",2.333333333,,,,,,,,1,1
Lew Cirne,New Relic,NaN,"15,000,000.00","44,630,000.00",2.975333333,,,,,,,,1,1
Vasu Kulkarni,Krossover,"$2,130,000.00 ","14,000,000.00","17,760,000.00",1.268571429,,,,,,,,1,1
Will Ahmed,WHOOP,"$10,800,000.00 ","23,000,000.00","48,000,000.00",2.086956522,,,,,,,,1,1
Steve Polsky,Juvo,NaN,"49,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Anthemos Georgiades,Zumper,NaN,"87,000,000.00","108,000,000.00",1.24137931,,,,,,,,1,1
Dan Widmaier,Bolt Threads,NaN,"18,620,000.00","100,120,000.00",5.377013963,,,,,,,,1,1
Immad Akhund,Heyzap,NaN,"2,450,000.00","27,000,000.00",11.02040816,,,,,,,,1,1
Jesse Vollmar,FarmLogs,"$3,600,000.00 ","13,770,000.00","50,000,000.00",3.631082062,,,,,,,,1,1
Amir Husain,SparkCognition,"$2,500,000.00 ","93,120,000.00","302,050,000.00",3.243664089,,,,,,,,1,1
Travis Katz,Trip.com,NaN,"17,700,000.00","85,220,000.00",4.814689266,,,,,,,,1,1
John Lauer,Zipwhip,NaN,"8,700,000.00","30,360,000.00",3.489655172,,,,,,,,1,1
Moshe Yanai,INFINIDAT,NaN,NaN,"1,200,000,000.00",#VALUE!,,,,,,,,1,1
Nat Friedman,Xamarin,NaN,NaN,"110,600,000.00",#VALUE!,,,,,,,,1,1
Zachary Sims,Codecademy,NaN,"16,000,000.00","61,660,000.00",3.85375,,,,,,,,1,1
David Shim,Placed,NaN,"10,460,000.00",NaN,#VALUE!,,,,,,,,1,1
Zac Bookman,OpenGov,"$2,000,000.00 ","12,000,000.00","63,740,000.00",5.311666667,,,,,,,,1,1
Oren J. Falkowitz,Area 1 Security,"$9,460,000.00 ","26,240,000.00","70,240,000.00",2.676829268,,,,,,,,1,1
Sam Rosen,MakeSpace,"$8,000,000.00 ","27,210,000.00","50,040,000.00",1.839029768,,,,,,,,1,1
Jens Christensen,Jaunt,NaN,"25,000,000.00","95,000,000.00",3.8,,,,,,,,1,1
Rehan Jalil,Elastica,NaN,"20,300,000.00","113,940,000.00",5.612807882,,,,,,,,1,1
Jessica Mah,inDinero,NaN,"16,070,000.00","40,000,000.00",2.489110143,,,,,,,,1,1
Jon Bischke,Entelo,NaN,"7,000,000.00","16,750,000.00",2.392857143,,,,,,,,1,1
Michael Wolfe,Pipewise,NaN,"17,000,000.00",NaN,#VALUE!,,,,,,,,1,0
Tim Tuttle,MindMeld,"$14,200,000.00 ","54,000,000.00",NaN,#VALUE!,,"* Acq at $125,000,000",,,,,,1,1
Suren Markosian,Epic!,NaN,"15,000,000.00","47,000,000.00",3.133333333,,,,,,,,1,1
Omar Siddiqui,"Kiwi, Inc.",NaN,"22,000,000.00","82,000,000.00",3.727272727,,,,,,,,1,1
Jessica Richman,uBiome,NaN,"14,650,000.00","65,000,000.00",4.436860068,,,,,,,,1,1
Gregg Brockway,Chairish,"$12,000,000.00 ","22,500,000.00","36,000,000.00",1.6,,,,,,,,1,1
Bart Lorang,FullContact,NaN,"5,600,000.00","21,000,000.00",3.75,,,,,,,,1,0
Joshua Viner,Wag,"$10,000,000.00 ","33,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Aloke Bajpai,ixigo.com,NaN,"25,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Joe Greenstein,Flixster,NaN,"26,000,000.00","88,000,000.00",3.384615385,,,,,,,,1,1
Jim Marggraff,Eyefluence,NaN,"21,710,000.00","49,000,000.00",2.257024413,,,,,,,,1,1
Victor Ho,FiveStars,NaN,"$52.410,000","114,000,000.00",#VALUE!,,,,,,,,1,1
Clara Shih,Hearsay Systems,NaN,"9,200,000.00","38,090,000.00",4.140217391,,,,,,,,1,1
Robbie Cape,98point6,"$14,070,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Stephanie Horbaczewski,StyleHaul,NaN,"13,440,000.00","48,560,000.00",3.613095238,,,,,,,,1,1
Garrett Lord,Handshake,"$6,500,000.00 ","27,880,000.00","54,000,000.00",1.93687231,,,,,,,,1,1
Rohit Gupta,Palerra Inc.,NaN,"19,000,000.00","53,000,000.00",2.789473684,,,,,,,,1,1
Diaz Nesamoney,Jivox,NaN,"19,000,000.00","9,740,000.00",0.512631579,,,,,,,,1,1
Jon Sobel,Sight Machine,NaN,"11,570,000.00","16,770,000.00",1.449438202,,,,,,,,1,1
Mayank Bawa,Aster Data Systems,"$4,000,000.00 ","19,000,000.00","97,500,000.00",5.131578947,,,,,,,,1,1
Yoav Kutner,Oro Inc.,NaN,"40,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Hakan Bas,Lidyana.com,NaN,"11,000,000.00","27,000,000.00",2.454545455,,,,,,,,1,1
Eric Alterman,flowthings.io,NaN,"8,360,000.00",NaN,#VALUE!,,,,,,,,1,1
Carlos Watson,Ozy Media,"$15,500,000.00 ","40,000,000.00","135,000,000.00",3.375,,,,,,,,1,1
Ashish Hemrajani,BookMyShow,NaN,NaN,"167,000,000.00",#VALUE!,,,,,,,,1,1
Todd Olson,Pendo,NaN,"24,000,000.00","100,000,000.00",4.166666667,,,,,,,,1,1
David Rusenko,Weebly,NaN,"3,000,000.00","230,000,000.00",76.66666667,,,,,,,,1,1
Brian Ballard,Upskill (formerly APX Labs),NaN,"51,000,000.00","67,000,000.00",1.31372549,,,,,,,,1,1
Logan LaHive,Belly,NaN,"3,000,000.00","79,000,000.00",26.33333333,,,,,,,,1,0
Mike Bergelson,Everwise,"$10,000,000.00 ","23,500,000.00","67,000,000.00",2.85106383,,,,,,,,1,1
Michael Ellenbogen,Evolv Technology,NaN,"44,800,000.00","28,000,000.00",0.625,,,,,,,,1,1
Matt Barnard,Plenty Inc.,NaN,"52,000,000.00","500,000,000.00",9.615384615,,,,,,,,1,1
Assaf Biderman,Superpedestrian,NaN,"23,200,000.00",NaN,#VALUE!,,,,,,,,1,1
Sarah Nahm,Lever,NaN,"50,000,000.00","100,000,000.00",2,,,,,,,,1,1
Andrew Feldman,SeaMicro,"$22,000,000.00 ","37,000,000.00","93,730,000.00",2.533243243,,,,,,,,1,1
Niraj Shah,Wayfair,NaN,NaN,"2,010,000,000.00",#VALUE!,,,,,,,,1,1
Moshe Vaknin,YouAppi,"$4,000,000.00 ","10,000,000.00","50,000,000.00",5,,,,,,,,1,1
Aaron Hirschhorn,DogVacay,"$5,000,000.00 ","20,350,000.00","141,600,000.00",6.958230958,,,,,,,,1,1
Harry Glaser,Periscope Data,NaN,"37,000,000.00","100,000,000.00",2.702702703,,,,,,,,1,1
Eric Frenkiel,MemSQL,"$15,630,000.00 ","37,290,000.00","160,000,000.00",4.290694556,,,,,,,,1,1
Jim Fowler,"Owler, Inc.",NaN,NaN,"64,310,000.00",#VALUE!,,,,,,,,1,1
Yair Goldfinger,AppCard,NaN,"30,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Aron Gelbard,Bloom & Wild,"$2,380,000.00 ","15,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Christophe Bisciglia,WibiData,NaN,"33,000,000.00","67,000,000.00",2.03030303,,,,,,,,1,1
Mike Silagadze,Top Hat,NaN,"15,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Mingming Zhu,Rokid,NaN,NaN,"450,000,000.00",#VALUE!,,,,,,,,1,0
Ethan Anderson,MyTime,NaN,"16,000,000.00",Nan,#VALUE!,,,,,,,,1,1
Kevin MacDonald,Kit Check,NaN,"12,000,000.00","56,000,000.00",4.666666667,,,,,,,,1,1
Parker Conrad,Zenefits,NaN,"64,000,000.00","566,000,000.00",8.84375,,,,,,,,1,1
Josh Switkes,Peloton Technology,"$5,060,000.00 ","45,410,000.00","186,620,000.00",4.109667474,,,,,,,,1,1
Ronen Lazar,INTURN,"$1,000,000.00 ","52,000,000.00","110,000,000.00",2.115384615,,,,,,,,1,1
Ann Johnson,Interana,NaN,"37,000,000.00","88,370,000.00",2.388378378,,,,,,,,1,1
Steve McCanne,Jut Inc,NaN,"10,500,000.00","91,650,000.00",8.728571429,,,,,,,,1,0
Yinglian Xie,DataVisor,NaN,"15,740,000.00","51,740,000.00",3.287166455,,,,,,,,1,1
Anil Stocker,MarketInvoice,"$9,500,000.00 ","55,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Rajiv Khemani,Innovium Inc,NaN,"33,270,000.00","98,450,000.00",2.959122332,,,,,,,,1,1
Drew McElroy,Transfix,"$6,410,000.00 ","25,810,000.00","62,000,000.00",2.402169702,,,,,,,,1,1
Joseph Fasone,Pilot,"$16,000,000.00 ","74,550,000.00","92,630,000.00",1.242521797,,,,,,,,1,1
Allan Wille,Klipfolio,"$5,430,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Philippe Gelis,Kantox,NaN,"26,600,000.00",NaN,#VALUE!,,,,,,,,1,1
Mark Trefgarne,LiveRail,NaN,"11,490,000.00","56,000,000.00",4.873803307,,,,,,,,1,1
Nate Quigley,Chatbooks,"$11,200,000.00 ","24,000,000.00","56,500,000.00",2.354166667,,,,,,,,1,1
Noah Lang,stride health,NaN,"40,000,000.00","88,500,000.00",2.2125,,,,,,,,1,1
Royce Disini,Mobcrush,"$11,630,000.00 ","55,620,000.00","102,090,000.00",1.835490831,,,,,,,,1,1
Tim Hwang,FiscalNote,NaN,"20,000,000.00","72,000,000.00",3.6,,,,,,,,1,1
Frank Mycroft,Booster Fuels,"$12,000,000.00 ","29,150,000.00","100,000,000.00",3.430531732,,,,,,,,1,1
Girish Pancha,StreamSets,NaN,"25,500,000.00","80,000,000.00",3.137254902,,,,,,,,1,0
Steven Cox,TakeLessons,"$6,800,000.00 ",NaN,"25,000,000.00",#VALUE!,,,,,,,,1,1
Aaron Bell,AdRoll,NaN,"13,000,000.00","8,380,000.00",0.644615385,,,,,,,,1,0
Jeff Haynie,Pinpoint,NaN,"78,000,000.00","155,250,000.00",1.990384615,,* Bankrupt,,,,,,1,0
Paula Long,DataGravity,NaN,"34,000,000.00","121,000,000.00",3.558823529,,,,,,,,1,1
David Gandler,fuboTV,"$4,150,000.00 ","15,500,000.00","60,000,000.00",3.870967742,,,,,,,,1,1
Duncan Lennox,Qstream,NaN,"18,820,000.00","75,000,000.00",3.98512221,,,,,,,,1,1
Fadzarudin Anuar,FashionValet,"$1,000,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Vincent Mallet,Color Labs Inc.,NaN,"28,000,000.00","7,000,000.00",0.25,,*Series B here is exit,,,,,,1,1
John Kobs,Apartment List,"$12,000,000.00 ","87,480,000.00","137,000,000.00",1.566072245,,,,,,,,1,1
Ryan Carson,Treehouse Island,"$24,300,000.00 ","30,730,000.00","41,920,000.00",1.364139278,,,,,,,,1,1
Timothy Ericson,Zagster,"$4,370,000.00 ","22,500,000.00","33,000,000.00",1.466666667,,,,,,,,1,1
Sunny Gupta,Apptio,"$16,000,000.00 ","23,000,000.00","60,000,000.00",2.608695652,,Went public,,,,,,1,1
Naveen Gupta,BirdEye,NaN,"36,000,000.00","110,000,000.00",3.055555556,,,,,,,,1,1
Andy Ory,Acme Packet,"$9,830,000.00 ","12,000,000.00","86,000,000.00",7.166666667,,M&A for 2B,,,,,,1,1
Awais Nemat,PLUMgrid,"$12,000,000.00 ","23,000,000.00","42,310,000.00",1.839565217,,,,,,,,1,1
Brynne Kennedy,MOVE Guides,"$7,000,000.00 ","20,000,000.00","36,780,000.00",1.839,,,,,,,,1,1
Rajesh Ramanand,Signifyd,"$11,440,000.00 ","23,310,000.00","95,500,000.00",4.096954097,,,,,,,,1,1
Ryan Watts,Denali Therapeutics,NaN,"269,690,000.00","1,130,000,000.00",4.189995921,,,,,,,,1,1
Amir Haleem,Helium Systems,NaN,"40,680,000.00","81,000,000.00",1.991150442,,,,,,,,1,1
Blair Harrison,Frequency,NaN,"28,860,000.00",NaN,#VALUE!,,,,,,,,1,NaN
Bhavin Shah,Refresh.io,NaN,"8,000,000.00","34,000,000.00",4.25,,Acquire for 6M,,,,,,1,1
Zach Supalla,Particle,"$14,000,000.00 ","26,000,000.00","70,000,000.00",2.692307692,,,,,,,,1,1
Michael Tiffany,White Ops,NaN,"29,000,000.00","71,000,000.00",2.448275862,,,,,,,,1,1
