Full Name,Primary Company,Founding Time,Previous startups?,Consulting before start-up,Undergraduate College,Standardized University,Education (Type of degree/major),Standardized Major,Degree Type,Graduate Degree Time,Graduate Institution,Standardized Graduate Institution,Graduate Studies,Standardized Graduate Studies,Graduate Diploma,Ever served as TA/Teacher/Professor/Mentor?,# Years of employment (non-founder),Worked as product manager/director/head/VP?,Worked at Google?,Worked at Microsoft?,Worked in Sales?
Amy Chang,Accompany,2013,0,1,Stanford Univeristy,Stanford University,Electrical Engineering,Electrical Engineering,BE,,Standord University,Stanford University,Electrical Engineering,Electrical Engineering,MEng,1,12,1,1,0,0
Steve Shillingford,Anonyome Labs,2014,0,0,Brigham Young University,Brigham Young University,Psychology,Psychology,BS,2007,"University of California, Berkeley Walter A. Haas School of Business",University of California Berkeley,Business,Business,MBA,1,7,1,0,0,0
David Rogier,MasterClass,2014,0,0,Washington University in St. Louis,Washington University in St. Louis,"Political Economy, Economics",Economics,BA,2009,Standord University,Stanford University,Business,Business,MBA,0,12,1,0,0,0
Ryan Smith,Qualtrics,2002,0,0,Brigham Young University,Brigham Young University,Marriott School of Business,Business,BA,,,,,,,1,3,1,0,0,0
Nick Huzar,OfferUp,2011,0,0,Washington State University,Washington State University,Management Information Systems,Operations Research,BA,,,,,,,0,6,1,0,1,0
Emily Weiss,Glossier,2014,1,0,New York University,New York University,,,,,,,,,,1,4,1,0,0,0
Nirav Tolia,Nextdoor,,0,0,,,,,,,,,,,,1,9,1,0,0,0
Balaji S. Srinivasan,21 Inc,,0,0,,,,,,,,,,,,1,1,0,0,0,0
Danielle Morrill,Mattermark,2013,1,1,,,,,,,,,,,,0,5,1,0,0,0
Seth Sternberg,Honor,2014,1,0,Yale University,Yale University,"Political Science, International Relations",Political Science,BA,2004,Stanford University,Stanford University,Business,Business,MBA,0,4,1,1,0,0
Jen Rubio,Away,2015,0,1,,,,,,,,,,,,0,11,0,0,0,0
Curtis Lee,Luxe,2013,1,1,"University of California, Berkeley",University of California Berkeley,,,,,University of Pennsylvania,University of Pennsylvania,Business,Business,MBA,1,13,1,1,0,0
Greg Duffy,Dropcam,2008,1,0,,,,,,,,,,,,0,12,1,1,1,0
Stefan Heck,"Nauto, Inc.",1988,0,1,Stanford University,Stanford University,Symbolic Systems,Cognitive Science,BS,,University of California San Diego,University of California San Diego,Philosophy and Cognitive Science - origin of representations and deep learning,Cognitive Science,PhD,0,4,1,0,0,1
Karl Mehta,EdCast,2013,1,0,University of Bombay,University of Bombay,Electronics & Computers Engg,Electrical Engineering,BA,,,,,,,0,6,1,0,0,0
Joshua Reeves,Gusto,2011,2,1,Stanford University,Stanford University,Electrical Engineering,Electrical Engineering,BA,,Stanford University,Stanford University,Electrical Engineering,Electrical Engineering,MS,1,9,1,0,0,0
Bret Taylor,Quip,2012,0,0,Stanford University,Stanford University,Computer Science,Computer Science,BS,2002,Stanford University,Stanford University,Computer Science,Computer Science,MS,1,1,1,1,0,0
Melody McCloskey,StyleSeat,2011,0,0,"University of California, Davis",University of California Davis,International Relations and French,International Relations,BA,,,,,,,1,6,0,0,0,0
Tyler Droll,Yik Yak,2013,0,0,,,,,,,,,,,,1,7,1,0,0,0
Baiju Prafulkumar Bhatt,Robinhood,2012,0,0,Stanford University,Stanford University,Physics,Physics,BA,,Stanford University,Stanford University,Mathematics,Mathematics,MS,1,8,1,0,0,0
Dennis Mortensen,x.ai,2014,3,0,Skive Business College,Skive Business College,Computer Science,Computer Science,BA,2006,British Columbia Institute of Technology,British Columbia Institute of Technology,Web Analytics,Computer Science,Associate Instructor,0,10,1,0,0,0
Max Ventilla,AltSchool,2013,2,0,Yale University,Yale University,Physics and Mathematics,Physics,BS,2003,Yale University,Yale University,Business,Business,MBA,0,14,1,1,0,1
Zain Jaffer,Vungle,2011,6,0,"King's College London, U. of London",King's College London,Business Management,Business,BS,,London Business School,London Business School,Business,Business,MBA,0,14,1,0,0,0
Ben Marcus,AirMap,2015,1,0,Purdue University,Purdue University,Aviation Technology,Engineering,BS,2000,,,,,,1,1,0,0,0,1
Mike Farley,Tile,2012,0,0,State University of New York College at Plattsburgh,State University of New York College at Plattsburgh,Computer Science,Computer Science,BS,2001,The University of Queensland,The University of Queensland,,,,0,8,1,0,0,0
David Niu,TINYhr,2014,3,1,"University of California, Berkeley",University of California Berkeley,Political Economy of Industrial Societies,Political Science,BA,1999,University of Pennsylvania ,University of Pennsylvania ,Business,Business,MBA,0,1,0,0,0,0
Jeremy Johnson,Andela,2014,2,0,Princeton University,Princeton University,,,,,,,,,,0,5,0,0,0,0
David Cancel,Drift,2014,6,0,,,,,,,,,,,,1,10,1,0,0,0
Mikita Mikado,Quote Roller,2010,0,0,Belarussian State University of Informatics and Radioelectronics,Belarussian State University of Informatics and Radioelectronics,Computer Science,Computer Science,BA,2007,University of Hawaii at Manoa,University of Hawaii at Manoa,Computer Science,Computer Science,,0,0,0,0,0,0
Kamakshi Sivaramakrishnan,Drawbridge Inc.,2010,0,0,Boston University,Boston University,Electrical Engineering,Electrical Engineering,MS,2001,Stanford University,Stanford University,"Information Theory, Statistics, Probability Theory",Opreations Research,PhD,1,1,1,1,0,0
Anthony Casalena,Squarespace,2003,0,0,"University of Maryland, College Park",University of Maryland College Park,Computer Science,Computer Science,BS,,,,,,,1,9,1,0,0,0
Davis Smith,Cotopaxi,2013,3,0,Brigham Young University,Brigham Young University,International Studies - The Kennedy Center for International Studies,International Relations,BA,2009,University of Pennsylvania,University of Pennsylvania,Business,Business,MBA,0,13,1,0,0,0
Suhail Doshi,Mixpanel,2009,0,0,Arizona State University,Arizona State University,Computer Systems Engineering,Computer Science,BA,,,,,,,0,9,0,0,0,0
Tariq Hilaly,"Lumity, Inc.",2013,1,1,University of Missouri Saint Louis,University of Missouri Saint Louis,Finance,Business,BA,,Harvard Business School,Harvard University,Business,Business,MBA,0,8,0,0,1,0
Michael Wystrach,Freshly,2012,0,0,"University of Arizona, Eller College of Management",University of Arizona,Finance,Business,BS,,,,,,,0,2,0,0,0,0
Hovhannes Avoyan,PicsArt,2011,3,0,State Engineering University of Armenia,State Engineering University of Armenia,Computer Science,Computer Science,BS,2005,American University of Armenia,American University of Armenia,,,MA,0,4,0,0,0,0
Michael Katz,mParticle,2013,0,1,Syracuse University,Syracuse University,Economics and Finance,Economics,BS,,,,,,,0,9,0,0,0,0
Aakrit Vaish,Haptik,2013,1,1,University of Illinois at Urbana-Champaign,University of Illinois Urbana-Champaign,Industrial Engineering,Operations Research,BS,,,,,,,0,3,1,0,0,0
Dan Teran,Managed by Q,2013,1,0,The Johns Hopkins University,Johns Hopkins University,International Studies,International Relations,BA,,,,,,,0,3,0,0,0,0
Jay Chaudhry,Zscaler,2007,4,0,Indian Institute Of Technology,Indian Institute Of Technology,Electronics Engineering,Electrical Engineering,BE,,University of Cincinnati,University of Cincinnati,Business,Business,MBA,1,2,0,0,0,0
Alex Laats,Rekener Inc.,2015,3,0,Massachusetts Institute of Technology,Massachusetts Institute of Technology,"Physics, Mthematics",Physics,BS,1989,Harvard Law School,Harvard University,,,JD,1,8,0,0,0,0
David Vivero,Amino,2013,3,0,Harvard University,Harvard University,Economics,Economics,BA,2006,Harvard Business School,Harvard University,Business,Business,MBA,0,13,1,0,0,0
Jim Barnett,Glint,2013,1,0,Stanford University,Stanford University,Political Science,Political Science,BA,1982,Stanford Business School,Stanford University,Business,Business,MBA,1,14,1,0,0,0
Andrew Levy,Apteligent,2011,1,0,The Johns Hopkins University,Johns Hopkins University,Computer Science,Computer Science,BS,,,,,,,0,2,0,0,0,0
Marcin Kleczynski,Malwarebytes,2008,0,0,University of Illinois at Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,0,4,1,0,0,0
Ben Rubin,Houseparty,,0,0,,,,,,,,,,,,0,11,0,0,0,0
Michael Buckwald,Leap Motion,2010,1,0,George Washington University,George Washington University,,,,,,,,,,0,9,1,0,0,0
Michael Wayne,Kin Community,2007,1,0,The University of the South,University of the South,English Literature,English,BA,,,,,,,1,13,0,0,0,0
Craig Walker,Dialpad,2011,4,0,"University of California, Berkeley",University of California Berkeley,Social Studies,Sociology,BA,1992,Boalt Hall School of Law,University of California Berkeley,Law,Law,JD,1,12,0,1,0,0
Meron Gribetz,Meta,2012,1,0,Columbia College (NY),Columbia,,,,,,,,,,1,1,0,0,0,0
Justin Yoshimura,500Friends,2010,0,0,YCombinator,,,,,,,,,,,1,6,0,0,0,0
Seth Birnbaum,EverQuote,2010,2,0,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Biology & Mechanical Engineering,Mechanical Engineering,BS,,,,,,,0,13,0,0,0,0
Tim Junio,"Qadium, Inc.",2013,0,1,The Johns Hopkins University,Johns Hopkins University,,,BA,2013,Stanford University,Stanford University,,,PhD,1,9,0,0,0,0
Loic Le Meur,Leade.rs,2007,6,0,HEC,HEC,,,,,,,,,,0,5,0,0,0,0
Michael Laskoff,Annum Health,2015,2,1,The University of Chicago,University of Chicago,Political Science,Political Science,BA,1992,Harvard Business School,Harvard University,Business,Business,MBA,0,2,0,0,0,0
Andrew Filev,Wrike,2006,1,0,,,,,,,Saint Petersburg State University,Saint Petersburg State University,Computer  Science,Computer Science,MS,0,3,1,0,0,0
Ori Eisen,Trusona,2015,1,0,Bergen Community College,Bergen Community College,Marketing,Business,AA,1994,Montclair State University,Montclair State University,Marketing and MIS,Business,BA,0,12,0,0,0,0
Hicham Oudghiri,Enigma,,0,0,,,,,,,,,,,,0,3,0,0,0,0
Scott Walchek,Trōv,2012,3,0,"University of California, San Diego",University of California San Diego,"Pre-med, pre- law, pre-maturely exited",,Drop,,,,,,,0,8,1,0,0,0
Hyungseok Dino Ha,Memebox Corporation,2012,0,0,Kyung Hee University,Kyung Hee University,Environmental Engineering,Engineering,BS,2008,Parson School of Design,Parson School of Design,Fashion Marketing,Business,AAS,1,9,1,0,0,1
Dan Shapiro,Glowforge,2014,2,0,Harvey Mudd College,Harvey Mudd College,Engineering,Engineering,BS,,,,,,,0,11,0,0,0,0
Ron Palmeri,Layer,2013,2,0,Institut d'Etudes Politiques de Paris,Institut d'Etudes Politiques de Paris,,,,,,,,,,1,6,1,0,0,1
Nick Weaver,eero,2014,1,1,Stanford University,Stanford University,Management Science & Engineering,Operations Research,BS,,,,,,,1,3,1,0,0,1
Stephen Russell,Prism Skylabs,2011,2,0,Stanford University,Stanford University,Economics,Economics,BA,,,,,,,0,14,1,0,0,0
Alex Blumberg,Gimlet Media,2014,0,0,Oberlin College,Oberlin College,Political Science and Government,Political Science,BA,,,,,,,0,1,0,0,0,0
Henry Ward,eShares,2012,1,0,University of Michigan,University of Michigan,Mathematics and Computer Science,Computer Science,BA,2009,EDHEC Business School,EDHEC Business School,Marketing Finance,Business,MS,0,6,0,0,0,1
Sue Khim,Brilliant.org,2012,1,0,University of Chicago,University of Chicago,Mathematics,Mathematics,BA,,,,,,,1,6,1,0,0,0
Munjal Shah,Health Equity Labs,,0,0,,,,,,,,,,,,0,1,1,1,0,0
Ali Diab,Collective Health,2013,2,0,University of Oxford,University of Oxford,,,,,Stanford University,Stanford University,,,,0,5,1,0,1,0
Jess Lee,Polyvore,2008,0,0,Stanford University,Stanford University,Computer Science,Computer Science,BS,,,,,,,0,11,1,1,0,0
Ross Bailey,Appear Here,2013,0,1,Bury Lawn School,Bury Lawn School,,,,2010,School Of Communication Arts 2.0,School Of Communication Art,Business,Business,PhD,1,13,1,0,0,1
Ari Mir,Clutter,2013,3,0,University of Southern California - Marshall School of Business,University of Southern California,Business and Management Consulting,Business,BS,,,,,,,0,8,1,0,0,1
James Crawford,"Orbital Insight, Inc.",2013,0,0,Rice University,Rice University,,,,1985,The University of Texas at Austin,University of Texas Austin,Computer Science,Computer Science,PhD,0,8,0,0,0,0
Stephen Dash,Credible,2012,1,0,The University of Queensland,University of Queensland,Accounting and Finance,Business,BA,,,,,,,0,12,0,0,0,0
Brit Morin,Brit + Co,2011,0,0,The University of Texas at Austin,University of Texas Austin,,,BA,,,,,,,0,2,1,1,0,0
Isaac Oates,Justworks,2012,1,0,University of Illinois at Urbana-Champaign,University of Illinois Urbana-Champaign,Computer Science,Computer Science,BS,2005,Cornell University,Cornell University,Business,Business,MBA,1,6,0,0,0,0
Jerry Hum,Touch of Modern,2012,1,0,Cornell University,Cornell University,Architecture,Architecture,BA,,,,,,,1,5,1,0,0,0
Robin Chase,Zipcar,2000,2,1,Wellesley College,Wellesley College,"English, French, Philosophy",English,BA,1984,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Business,Business,MBA,0,7,1,0,0,0
Michael Winn,DroneDeploy,2013,1,0,Rhodes University,Rhodes University,"Economics, Maths, Infomation Systems",Economics,BS,,,,,,,0,8,1,1,0,0
Sean Spector,"Dropoff, Inc.",2014,1,0,University of Southern California,University of Southern California,Film/Cinema/Video Studies,Film,AA,1990,San Francisco State University,San Francisco State University,Film/Cinema/Video Studies,Film,BA,0,2,1,0,0,0
Horace Luke,Gogoro,2011,0,0,University of Washington,University of Washington,Industrial Design and Fine Art,Design,BA,,,,,,,1,10,1,0,1,0
Chris Herbert,TrackR,2015,0,0,"University of California, Santa Barbara",University of California Santa Barbara,Electrical and Electronics Engineering,Electrical Engineering,BS,,,,,,,1,5,1,0,0,1
Maureen Fan,Baobab Studios,2015,0,0,Stanford University,Stanford University,"Computer Science, Art, Human Computer Interaction",Computer Science,BS,,Harvard Business School,Harvard University,Business,Business,MBA,1,10,1,0,0,0
Steph Korey,Away,2015,0,1,Brown University,Brown University,International Relations,International Relations,BA,2014,Columbia University,Columbia University,Business,Business,MBA,0,6,1,0,0,0
Trevor Traina,IfOnly,2011,0,0,Princeton,Princeton University,,,BA,,UC Berkeley,University of California Berkeley,Business,Business,MBA,1,10,1,0,1,0
Louay Eldada,Quanergy Systems,2012,0,0,Columbia University in the City of New York,Columbia University,Electrical Engineering,Electrical Engineering,BS,2011,Stanford University,Stanford University,Business,Business,MBA,0,3,1,0,0,0
Jasen Wang,Makeblock,2011,0,0,Northwestern Polytechnic University (CN),Northwestern Polytechnic University,Aircraft Design,Engineering,MS,,,,,,,1,14,0,0,0,0
Jeff Tangney,Doximity,2010,0,1,University of Wisconsin Madison,University of Wisconsin Madison,"Economics,Math",Economics,BS,1997,Stanford University,Stanford University,Graduate School of Business,Business,,0,2,0,0,0,0
Ross McCray,VideoAmp,2014,0,0,"University of California, Los Angeles",University of California Los Angeles,Astrophysics,Physics,BS,,,,,,,0,3,0,0,0,0
Amit Sharma,Narvar,2013,0,1,"VJTI, University of Mumbai",University of Mumbai,Electronics Engineering,Electrical Engineering,BS,,Duke University,Duke University,Business,Business,MBA,0,7,0,0,0,0
Rami Essaid,Distil Networks,2011,0,0,North Carolina State University,North Carolina State University,Computer Engineering,Computer Science,BS,2003,Campbell University,Campbell University,Business Management,Business,,1,13,0,0,0,0
Joe Fernandez,Joymode,2015,1,0,University of Miami School of Business Administration,University of Miami,,Business,,,,,,,,1,4,0,0,0,0
Zoe Barry,ZappRx,2012,0,1,Columbia University,Columbia University,"Anthropolpgy, History",History,BA,,,,,,,0,8,1,0,0,0
Yan-David Erlich,Parsable,2013,3,0,Rice University,Rice University,"Computer Science, Electrical & Computer Engineering",Computer Science,BS,,Stanford University,Stanford University,Business,Business,MBA,1,12,1,1,1,0
Andrew Leto,GlobalTranz,2017,2,0,,,,,,,,,,,,0,5,1,0,0,0
Michael Jaconi,Button,2013,2,1,University of Southern California,University of Southern California,Political Science,Political Science,,2012,Harvard Business School,Harvard University,Business,Business,Executive Education,1,12,1,0,0,0
Mike Sha,Wikinvest,2011,1,1,Harvard University,Harvard University,Math / Decision Theory,Mathematics,BA,2001,Harvard University,Harvard University,Computer Science,Computer Science,MS,0,6,1,0,0,0
Ashvin Kumar,"Tophatter, Inc.",2011,1,0,Stanford University,Stanford University,Computer Science,Computer Science,BS,,,,,,,1,1,1,0,0,0
Momchil Kyurkchiev,Leanplum,2012,0,0,State University of New York College at Brockport,State University of New York College at Brockport,"Computer Science, Mathematics, Computational Science",Computer Science,BS,2009,Carnegie Mellon University,Carnegie Mellon University,Software Engineering & Management,Computer Science,MS,1,5,1,1,0,0
Brian Brackeen,Kairos AR,2014,0,0,Harvard University,Harvard University,Government with economics,Political Science,BA,1977,Harvard Business School,Harvard University,Business,Business,MBA,0,5,0,0,0,0
Kevin Gibbon,Shyp,2013,2,1,British Columbia Institute of Technology,British Columbia Institute of Technology,Computer Science,Computer Science,,,,,,,,1,14,0,0,0,0
Daniel Ruch,Rocketrip,2013,0,0,University of Wisconsin Madison,University of Wisconsin Madison,Psychology,Psychology,BA,,,,,,,1,12,1,0,0,1
Matt Riley,Swiftype,2012,0,0,The University of Texas at Austin,University of Texas Austin,Electrical Engineering,Electrical Engineering,BS,2006,The University of Texas at Austin,University of Texas Austin,Electrical Engineering,Electrical Engineering,MS,0,13,0,0,0,1
Lew Cirne,New Relic,2008,1,0,Dartmouth College,Dartmouth College,Computer Science,Computer Science,BA,,,,,,,0,8,1,0,0,0
Vasu Kulkarni,Krossover,2010,0,0,University of Pennsylvania,University of Pennsylvania,"Computer and Telecommunications Engineering, Entrepreneurship",Computer Science,BS,,,,,,,0,11,1,0,0,0
Will Ahmed,WHOOP,2012,0,1,Harvard University,Harvard University,Government and Economics,Economics,BA,,,,,,,0,13,1,0,0,0
Steve Polsky,Juvo,2014,1,0,University of Pennsylvania,University of Pennsylvania,Computer Science,Computer Science,BE,1981,University of Pennsylvania,University of Pennsylvania,Finance,Business,,0,2,1,0,0,1
Anthemos Georgiades,Zumper,2012,0,1,University of Oxford,University of Oxford,,,BA,2010,Harvard Business School,Harvard University,Business,Business,MBA,1,8,0,0,0,0
Dan Widmaier,Bolt Threads,2010,0,0,University of Washington,University of Washington,Biochemistry,Chemistry,BS,2004,"University of California, San Francisco",University of California San Francisco,Chemistry and Chemical Biology,Chemistry,PhD,1,4,1,0,0,0
Immad Akhund,Heyzap,2008,1,0,,,,,,2002,University of Cambridge,University of Cambridge,Computer Science,Computer Science,MA,1,13,0,0,0,0
Jesse Vollmar,FarmLogs,2007,0,0,Saginaw Valley State University,Saginaw Valley State University,Computer Information Systems,Computer Science,BS,,,,,,,1,1,1,0,0,0
Amir Husain,SparkCognition,2013,1,0,The University of Texas at Austin,University of Texas Austin,Computer Science,Computer Science,BS,,,,,,,0,2,0,0,0,0
Travis Katz,Trip.com,2016,0,1,Stanford University,Stanford University,Public Policy,Public Policy,BA,1999,University of Pennsylvania,University of Pennsylvania,Business,Business,MBA,0,4,1,0,0,0
Travis Katz,Zipwhip,,0,0,,,,,,,,,,,,1,5,1,0,0,0
Moshe Yanai,INFINIDAT,,0,0,,,,,,,,,,,,0,3,1,0,0,0
Nat Friedman,Xamarin,2011,1,0,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Computer Science,Computer Science,BS,,,,,,,0,11,1,0,0,0
Zachary Sims,Codecademy,2011,0,1,Columbia University in the City of New York,Columbia University,Political Science,Political Science,BA,,,,,,,0,14,1,0,0,1
David Shim,Placed,2011,2,0,University of Washington,University of Washington,Political Science,Political Science,BA,,,,,,,0,12,1,0,0,0
Zac Bookman,OpenGov,2017,0,0,San Jose State University,San Jose State University,Speech Communication,Business,BA,,,,,,,0,13,1,0,0,0
Oren J. Falkowitz,Area 1 Security,,0,0,,,,,,,,,,,,0,3,1,0,0,0
Sam Rosen,MakeSpace,2013,2,0,New York University,New York University,Economics,Economics,BS,,,,,,,1,2,1,0,0,1
Jens Christensen,Jaunt,2013,3,0,Columbia University in the City of New York,Columbia University,Computer Science,Computer Science,BA,1985,Stanford University,Stanford University,Computer Science,Computer Science,PhD,1,11,1,0,0,0
Rehan Jalil,Elastica,2012,1,0,NED University of Engineering and Technology,NED University of Engineering and Technology,Electrical Engineering,Electrical Engineering,BE,2011,Harvard Business School,Harvard University,,,Executive Education,0,14,1,0,0,0
Jessica Mah,inDinero,2010,0,0,"University of California, Berkeley",University of California Berkeley,Computer Science,Computer Science,BA,,,,,,,0,8,1,0,0,0
Jon Bischke,Entelo,2011,2,0,University of MinnesotaTwin Cities,University of MinnesotaTwin Cities,"Finance, Management Information Systems",Operations Research,BA,2003,UCLA Anderson School of Management,University of California Los Angeles,Business,Business,MBA,0,8,1,0,0,0
Michael Wolfe,Pipewise,2010,1,0,Stanford University,Stanford University,Computer Science,Computer Science,BS,1990,Stanford University,Stanford University,Computer Science,Computer Science,MS,1,11,1,0,0,1
Tim Tuttle,MindMeld,2010,2,0,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,BS,1995,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,PhD,1,5,0,0,0,1
Suren Markosian,Epic!,2013,4,0,Technische Universität Wien,Technische Universität Wien,Physics,Physics,,,,,,,,0,13,1,0,0,0
Omar Siddiqui,"Kiwi, Inc.",2011,0,1,Harvard University,Harvard University,Social Studies,Sociology,BA,2005,Harvard Business School,Harvard University,Business,Business,MBA,1,6,1,0,0,0
Jessica Richman,uBiome,2012,0,1,Stanford University,Stanford University,"Science, Technology & Society (Computer Science Focus)",Computer Science,BS,2010,University of Oxford,University of Oxford,Computational Social Science,Sociology,PhD,0,4,1,0,0,0
Gregg Brockway,Chairish,2012,0,0,Dartmouth College,Dartmouth College,"Government Modified Economics, Environmental Studies",Economics,BA,1993,Harvard Business School,Harvard University,Business,Business,MBA,1,9,1,0,0,1
Bart Lorang,FullContact,2010,1,0,University of Colorado at Boulder,University of Colorado Boulder,Computer Science,Computer Science,BS,2009,University of Denver,University of Denver,Business,Business,MBA,0,5,1,0,0,0
