NameCorp,AfterEmerging,Assets1Before,Assets2Before,Assets3Before,AssetsBefore,AssetsCurrDollar,AssetsEmerging,AssetsPetCurrDollar,AssetsPetition,BondISIN,BondPriceDisp,BondPriceFile,BondPriceMoveDuring,CaseNum,CaseNumRefile,CaseNumTransfer,CeoFiling,CeoNotes,CeoReplaced,Chapter,CikBefore,CikEmerging,CityChange,CityDisposed,CityFiled,CityRefile,ClaimsAgent,ClaimsAgentFirm,ClaimsSecDiscloState,ClaimsUnsec,CommCred,CommCredAtty,CommCredAttyCol,CommCredAttySubstit,CommEquity,CommEquityAtty,CommEquityAttyCol,CommEquityAttySubstit,CommRetirees,CommRetireesName,CommRetireesRequest,CommonName,CPIndexAtConf,CPIndexAtFiling,Cusip6,Cusip9,Date10k1Before,Date10k2Before,Date10k3Before,Date10kBefore,Date10kBeforeLink,Date10kDuring,Date10kDuringLink,Date10kEmerging,Date10kEmergLink,Date10kSalesEmerge,Date363Sale,DateCeoBegin,DateCeoEnd,DateCommCred,DateCommCredBy,DateConfirmed,DateConvDismiss,DateDipLoan1FinOrd,DateDiscloState,DateDisposed,DateEffective,DateEmerging,DateFeeRev,DateFiled,DateJudgeAppt,DateRefile,DateTransferred,DateTurnEngage,DaysDocsAfter,DaysFiledTo363,DaysEmergeToRefile,DaysIn,DENYOther,DipAtty,DipAttyColDoc,DipAttyColDkt,DipFinAdvPetition,DipLoan1Lender,DipLoan1Total,DipLoan2Lender,DipLoan2Total,DipLoanAdditional,DipLoanDoc,DipLoan,Disposition,DistFiled,DistribComments,DistribEquity,DistribSecDiscloState,DistribUnsec,DistribUnsecPct,DktNumConf,DktOnPacer,DocsOnPacer,DocsPublic,EbitBefore,EbitCurrDollars,EbitdaBefore,EbitdaEmerging,EbitEmerging,Emerge,Emerg10k,EmplBefore,EmplEmerging,EmplUnionBefore,EmplUnionEmerging,Examiner,ExaminerName,ExaminerRequest,FeeReviewer,FilingRate,FirmEnd,FreshStartAccounting,GdpDisp,GdpFiling,GdpRefiling,GdpYear1AftDisp,GdpYear1BefFile,GdpYear2AftDisp,GdpYear2BefFile,GvkeyBefore,GvkeyEmerging,HeadCAtFiling,HeadCityPctPop,HeadCityPop,HeadCourtCity,HeadCourtCityToDE,HeadStAtFiling,HqToForum,HqToHqCtCity,IncomeBEBefore,IncomeBEEmerging,IncPublic,InterCompanyClaims,InterCompanyPct,InterCompanyDistrib,JudgeApptDist,JudgeDisposition,JudgeFiling,Liab1Before,Liab2Before,Liab3Before,LiabBefore,LiabCurrDollar,LiabEmerging,LiabPetCurrDollar,LiabPetition,MonthDisp,MonthFiled,MonthRefile,MonthsIn,Multiple363Sales,NameEmerging,NetIncomeBefore,NetIncomeEmerging,NumberFiling,Prepackaged,PrimaryKey,Prime1YearAftDisp,Prime1YearBefFile,Prime2YearAftDisp,Prime2YearBefFile,PrimeDisp,PrimeFiling,PrimeRefiling,ProfFees10k,ProfFees10kNotes,Refile,Refile5,Refile5RepRange,RelatedFilings,Sale,Sale363,SaleConf,SaleIntended,Sales1Before,Sales2Before,Sales3Before,SalesBefore,SalesCurrDollar,SalesEmerging,Shop,SICDescription,SICDivision,SICIndustryGroup,SICMajGroup,SICPrimary,SubCon,TortCause,TransferCity,TransferDist,Transferred,Trustee,TrusteeFor,TrusteeName,TrusteeRequest,TrusteeRequestor,TurnFirm,TurnOffice,TurnPerson,TurnRepRange,TurnType,UsPopFiling,Voluntary,YearConfirmed,YearDisposed,YearEmerged,YearFiled,YearsEmergeToRefile
American Home Mortgage Investment Corp.,,18828.985,,,18828.985,22786,,,,,,,,07-11047,,,Michael J. Strauss,,NoReplace,11,0001256536,,,Wilmington,Wilmington,,yes,"Epiq Bankruptcy Solutions, LLC",,,yes,Hahn Hessen,Hahn & Hessen LLP / Blank Rome LLP,,no,,,,no,,,"American Home Mortgage Holdings, Inc.",212.193,207.9,02660R,107,12/31/2006,,,12/31/2006,12/31/2006#http://edgar.sec.gov/Archives/edgar/data/1256536/000119312507044477/0001193125-07-044477-index.htm#,,,,,,,7/1/1988,5/31/2008,8/14/2007,,2/23/2009,,9/4/2007,11/25/2008,2/23/2009,11/30/2010,,2/24/2009,8/6/2007,2/23/2006,,,8/1/2007,,,,567,DE,Young Conaway,"Young Conaway Stargatt & Taylor, LLP",,"Milestone Advisors, LLC / Phoenix Capital, Inc.","WLR Recovery Fund III, L.P.",50,"AH Mortgage Acquisition Co., Inc.",50,,yes,yes,confirmed,DE,Retry,,,,,7042,yes,yes,yes,1494.195,1808.184375,1512.44,,,no,no,7409,,1,,no,,yes,fee examiner,13,,,100.697,105.125,,102.572,102.594,103.302,100.377,124315,,Melville,5.19404E-05,15646,NY Central Islip,143,NY,133,14,263.527,,MD,,,,DE,Christopher S. Sontchi,Christopher S. Sontchi,17559,,,17559,21248.83931,,,,2,8,,18.9,,liquidated,263.527,,,free fall,624,3.25,8.25,3.25,6.25,3.25,8.25,,,No. No 10k for any years,,not emerged 5,yes,,no,no,no,yes,1026.444,,,1026.444,1242140419,,Yes,Real Estate Investment Trusts,"H: Finance, Insurance, And Real Estate",679 Miscellaneous Investing,67 Holding And Other Investment Offices,6798,,Not tort,,,no,no,,,yes,"Paula Rush, pro se",Zolfo Cooper,Chief Restructuring Officer,Stephen F. Cooper,yes,manage,301230000,voluntary,2009,2009,,2007,
American Homestar Corp.,,362.233,439,274,362.233,520,92.749,522,363.3,,,,,01-80017,,,Finis F. Teeter,,CEO still in office 12/4/2017,11,0000922812,0000922812,,Galveston,Galveston,,,,,,yes,,,,no,,,,no,,,,177.5,175.1,026652,107,6/30/2000,5/31/1999,5/31/1998,6/30/2000,6/30/2000#http://edgar.sec.gov/Archives/edgar/data/922812/000095012900004975/0000950129-00-004975-index.htm#,,,6/28/2002,6/28/2002#http://edgar.sec.gov/Archives/edgar/data/922812/000101540202003206/0001015402-02-003206-index.htm#,6/27/2003,,10/15/2000,9/9/9999,1/18/2001,,8/14/2001,,2/27/2001,6/18/2001,8/14/2001,10/3/2001,8/14/2001,,1/11/2001,3/21/1985,,,,,,,215,OT,Floyd Isgur,"Floyd, Isgur, Rios & Wahrlich, P.C.",,,,,,,,,yes,confirmed,TX SD,,,,,,1288,yes,yes,no,-4.633,-6.656808704,11.86,2.995,1.799,yes,yes,3934,770,1,1,no,,no,no,97,,yes,89.76,89.422,,91.79,87.409,94.516,83.912,030448,030448,League City,0.000172846,49256,TX Galveston,1317,TX,22,26,-47.591,18.511,TX,,,,TX SD,Letitia Z. Clark,Letitia Z. Clark,268.524,,,268.524,385.8219081,42.936,400.5867184,278.8,8,1,,7.166666667,,American Homestar Corporation,-47.591,157.641,22,free fall,171,4.75,8.5,4,7.75,6.75,9,,4.229,Yes,,emerged no refile 5,yes,,no,no,no,no,521.036,654,514,521.036,748637379.6,92.14,No,,D: Manufacturing,245 Wood Buildings and Mobile Homes,"24 Lumber And Wood Products, Except Furniture",2452,,Not tort,,,no,no,,,no,no,,,,,,284970000,voluntary,2001,2001,2001,2001,
"American Media Operations, Inc.",,,,941,941,1082,637.521,,,no data,,,,10-16140,,,David J. Pecker,,CEO still in office 12/4/2017,11,0000853927,0000880555,,New York,New York,,yes,Kurtzman Carson Consultants LLC,506.498,394.048,no,,,,no,,,,no,,,"American Media, Inc.",219.179,218.803,02744R,990,,,3/31/2008,3/31/2008,3/31/2008#http://edgar.sec.gov/Archives/edgar/data/853927/000119312508143965/0001193125-08-143965-index.htm#,,,3/31/2013,,3/31/2013,,5/7/1999,9/9/9999,,,12/20/2010,,,11/17/2010,12/20/2010,12/22/2010,12/20/2010,,11/17/2010,11/30/2006,,,,,,,33,NY,Akin Gump,"Akin, Gump, Strauss, Hauer & Field LLP",,Moelis & Company LLC,,,,,,no,no,confirmed,NY SD,,0,506.498,225.133,0.571333949,123,yes,yes,yes,99.632,114.5606578,112.22,,,yes,yes,1389,1956,1,1,no,,no,no,36,,,104.423,104.423,,105.716,101.981,107.039,102.064,259837,024317,Boca Raton,0.000272804,84392,FL West Palm Beach,933,FL,1054,27,-61.209,,DE,yes,,subcon for voting and distributions,NY SD,Martin Glenn,Martin Glenn,,,1340.241,1340.241,1541.060007,680.399,,,12,11,,1.1,,American Media Inc.,-61.894,,17,prepackaged,821,3.25,3.25,3.25,4,3.25,3.25,,,,,emerged no refile 5,yes,,no,no,no,no,,,490.774,490.774,564310585.8,397.639,Yes,"Periodicals: Publishing, or Publishing and Printing",D: Manufacturing,272 Periodicals: Publishing Or Publishing And Printing,"27 Printing, Publishing, And Allied Industries",2721,subcon,Not tort,,,no,no,,,no,no,none,no turnfirm,none,no,none,309350000,voluntary,2010,2010,2010,2010,
American Mortgage Acceptance Company,plan contemplates intent to issue stock and riase capital,,,666,666,769,,,,,,,,10-12196,,,"Robert L. Levy, President","End date is the effective date of plan; See ""DateCeoEnd"" doc for details",Replaced,11,0000878774,,,New York,New York,,no,,0,118,no,,,,no,,,,no,,,,218.711,218.009,027568,104,,,12/31/2007,12/31/2007,12/31/2007#http://edgar.sec.gov/Archives/edgar/data/878774/000121581108000026/0001215811-08-000026-index.htm#,,,,,,,4/15/2010,10/15/2010,,,10/4/2010,,,8/3/2010,10/4/2010,10/15/2010,10/4/2010,,4/26/2010,11/30/2006,,,,,,,161,NY,Reid Riege,"Reid & Riege, P.C.",,,,,,,,no,no,confirmed,NY SD,Paid its secured debt before filing,0,0,6.976,0.059118644,53,yes,yes,yes,12.805,14.77729974,12.805,,,yes,no,1,,1,,no,,no,no,36,,,104.423,103.142,,105.716,100.618,107.039,105.447,121833,,New York,0.026426808,8175133,NY New York,106,NY,1,1,-62.113,,MA,,,,NY SD,Martin Glenn,Martin Glenn,,,645.773,645.773,745.2386714,,,,10,4,,5.366666667,,No data,-58.582,,1,prenegotiated,631,3.25,3.25,3.25,5.25,3.25,3.25,,,,,emerged no refile 5,yes,,no,no,no,no,,,60.109,60.109,69367333.88,,No,Real Estate Investment Trusts,"H: Finance, Insurance, And Real Estate",679 Miscellaneous Investing,67 Holding And Other Investment Offices,6798,,Not tort,,,no,no,,,no,no,none,no turnfirm,none,no,none,309350000,voluntary,2010,2010,2010,2010,
American Pad & Paper Company,,472.228,516,638,472.228,704,,,,,,,,00-00066,02-46551,,James W. Swent III,Sale of assets completed in 11/2000,Replaced,11,0000005588,,,Wilmington,Wilmington,Sherman,,,,,yes,Kasowitz Benson,Kasowitz Benson Torres & Friedman LLP,,no,,,,no,,,AP&P,,168.8,028816,106,12/31/1999,,,12/31/1999,12/31/1999#http://edgar.sec.gov/Archives/edgar/data/5588/0000912057-00-018255-index.html#,,,,,,11/2/2000,7/7/1998,11/15/2000,1/31/2000,,,12/21/2001,2/9/2000,,12/21/2001,,11/2/2000,,1/10/2000,3/2/1992,12/20/2002,,,-145,297,778,711,DE,Gibson Dunn,,"Gibson, Dunn & Crutcher LLP / Richards, Layton & Finger PA",,,,,,,,yes,converted,DE,,,,,,,yes,docs after date,no,-7.981,-11.89528334,12.175,,,yes,no,3834,,917,,no,,no,no,80,,,90.074,87.409,91.821,91.821,83.912,95.371,79.972,063192,,Dallas,0.004212433,1188580,TX Dallas,1275,TX,1274,1,-80.738,,DE,,,,DE,Roderick R. McKelvie,Roderick R. McKelvie,533,,,533,794.4099763,,,,12,1,12,23.7,multiple,American Pad & Paper LLC,-81.464,,,free fall,37,4.25,7.75,4,8.5,4.75,8.5,4.25,,,Refiled,emerged refile 5,yes,,yes,yes,no confirmation,no,572.616,662,687,572.616,853455652.9,,Yes,,D: Manufacturing,267 Converted Paper and Paperboard Products,26 Paper and Allied Products,2670,,Not tort,,,no,no,,,no,no,,,,,,282160000,involuntary,,2001,2000,2000,2.131506
American Plumbing & Mechanical Inc.,split to RCR; LDI Mechanical; Christiansen Air Conditioning; Parks Mechanical; Power Plumbing 2006,265.622,,,265.622,361,,384,282.456,US029050AB70,14.5,28.125,-13.625,03-55789,,,Robert A. Christianson,"Dissolving as a corporate entity per plan into 5 independent companies, one of which is headed by Christianson; effective date 10/6/2004",NoReplace,11,0001072258,,,San Antonio,San Antonio,,,,,,yes,,,,no,,,,no,,,,189.4,185,029050,937,12/31/2002,,,12/31/2002,12/31/2002#http://edgar.sec.gov/Archives/edgar/data/1072258/000095012903001736/0000950129-03-001736-index.htm#,,,,,,,4/1/1999,10/6/2004,10/28/2003,,7/30/2004,,11/17/2003,4/16/2004,7/30/2004,10/6/2004,7/30/2004,,10/13/2003,8/3/1987,,,,,,,291,OT,Winstead Sechrest,Winstead Sechrest & Minick P.C.,,,,,,,,,yes,confirmed,TX WD,,,,,,1754,yes,yes,no,7.303,9.931606292,12.553,,,yes,no,5500,,1,,no,,no,no,57,,,97.336,95.371,,100.377,91.821,102.594,90.074,145981,,Round Rock,0.000227431,65980,TX Austin,1412,TX,78,20,-19.092,,DE,,,,TX WD,Leif M. Clark,Leif M. Clark,247.856,,,247.856,337.0680829,,349.0899094,256.696,7,10,,9.7,,American Plumbing and Mechanical,-54.698,,,free fall,45,6.25,4.75,8.25,5.5,4.25,4,,,No. No 10k for any years,,emerged no refile 5,yes,,no,no,no,maybe,574.849,,,574.849,781757352.5,,Yes,,C: Construction,,17 Construction Special Trade Contractors,1700,,Not tort,,,no,no,,,no,no,,,,,,290110000,voluntary,2004,2004,2004,2003,
"American Rice, Inc.",,,298,212,298,459,,308,200,,,,,98-21254,,,Douglas A. Murphy,,Replaced,11,0000824206,,,Corpus Christi,Corpus Christi,,,,,,yes,Cox Smith,Cox & Smith Incorporated,,no,,,,no,,,,166.7,163.4,029318,300,,3/31/1997,3/31/1996,3/31/1997,3/31/1997#http://edgar.sec.gov/Archives/edgar/data/824206/0000824206-97-000009-index.html#,,,,,,,6/15/1993,10/4/1999,8/19/1998,,7/6/1999,,12/3/1998,,7/6/1999,10/7/1999,7/6/1999,,8/11/1998,7/31/1987,,,,,,,329,OT,Pachulski Stang,"Pachulski, Stang, Ziehl & Young",,,,,,,,,yes,confirmed,TX SD,,,,,,917,yes,mixed,no,25.418,39.13625327,30.81,,,yes,no,1500,,,,yes,Ben B. Floyd,yes,no,31,,,85.643,81.756,,89.189,78.62,89.76,75.107,014617,,Houston,0.006301704,1738325,TX Houston,1318,TX,184,1,3.775,,TX,,,,TX SD,Richard S. Schmidt,Richard S. Schmidt,,257,174,257,395.7045043,,,,7,8,,10.96666667,,American Rice,3.775,,,free fall,57,9.5,8.5,6.75,8.25,8,8.5,,,No. No 10k for any years,,emerged no refile 5,yes,Early owned 81% of American Rice when AmRice filed,no,no,no,no,,516,394,516,794488421.1,,Yes,,F: Wholesale Trade,514 Groceries and Related Products,51 Wholesale Trade-non-durable Goods,5140,,Not tort,,,no,no,,,no,no,,,,,,275850000,voluntary,1999,1999,1999,1998,
"American Spectrum Realty, Inc.",,,398.655,,398.655,427,,369,344.55044,,,,,15-10721,,,William J. Carden,CEO since formation in August 2000,NoReplace,11,0001121783,,,Santa Ana,Santa Ana,,,,,,yes,Levene Neale,"Levene, Neale, Bender, Yoo & Brill LLP",,no,,,,no,,,,240.628,234.722,02970Q,203,,12/31/2013,,12/31/2013,12/31/2013#http://www.sec.gov/Archives/edgar/data/1121783/000112178314000004/0001121783-14-000004-index.htm#,,,,,,,8/15/2000,9/9/9999,1/21/2016,,7/8/2016,,,4/18/2016,7/8/2016,12/9/2016,,,2/13/2015,1/20/2011,,,,,,,511,OT,Winthrop Couchot,Winthrop Couchot PC,,,,,,,,no,no,confirmed,CA CD,,,,,,1029,yes,yes,yes,-4.216,-4.51894159,,,,no,pending,165,,1,,,,,pending,25,,,116.363,113.394,,119.039,109.212,,107.202,146119,,Houston,0.006950881,2197374,TX Houston,1318,TX,1346,1,-13.115,,MD,,,,CA CD,Scott C. Clarkson,Scott C. Clarkson,,354.641,,354.641,380.1238056,,372.1777828,347.227664,7,2,,17.03333333,,liquidated,-13.769,,1,free fall,1030,4.25,3.25,,3.25,3.5,3.25,,,,,not emerged 5,no,,no,no,no,no,,42.673,,42.673,45739277.63,,Yes,Real Estate Investment Trusts,"H: Finance, Insurance, And Real Estate",679 Miscellaneous Investing,67 Holding And Other Investment Offices,6798,,Fraud,,,no,,,,,,,,,,,316128839,involuntary,2016,2016,,2015,
"American Tissue, Inc.",Liquidating plan,546.7,,,546.7,771,,,,US030222AB97,20,999999,,01-10370,,,Mehdi Gabayzadeh,,Replaced,11,0001095827,,,Wilmington,Wilmington,,,,,,yes,Thelen Reid,Thelen Reid & Priest LLP,,no,,,,no,,,,,178.3,030222,939,9/30/2000,,,9/30/2000,9/30/2000#http://edgar.sec.gov/Archives/edgar/data/1095827/000089155400002677/0000891554-00-002677-index.htm#,,,,,,,10/15/1998,11/2/2001,9/24/2001,,,4/22/2004,2/27/2002,,3/19/2003,,,,9/10/2001,4/3/2001,,,,,,,555,DE,Pachulski Stang,"Pachulski, Stang, Ziehl & Young",,,,,,,,,yes,converted,DE,,,,,,,yes,yes,no,55.801,78.73730784,71.44,,,no,no,2692,,998,,no,,no,no,97,,,92.204,89.76,,95.999,89.189,99.145,85.643,145980,,Hauppauge,7.08075E-05,20178,NY Hauppauge,143,NY,144,1,24.483,,DE,,,,CA ND,Louis H. Kornreich,Roderick R. McKelvie,424,,,424,598.2799327,,,,3,9,,18.5,,Not applicable,24.483,,26,free fall,36,4,9.5,5.5,8.25,4.25,6.5,,,,,not emerged 5,yes,,no,no,no confirmation,no,493.6,,,493.6,696488148.1,,Yes,Paper Mills,D: Manufacturing,262 Paper Mills,26 Paper and Allied Products,2621,,Fraud,,,no,no,,,yes,Lasalle Bank,,,,,,284970000,voluntary,2003,2003,,2001,
AmericanWest Bancorporation,"Assets purchased by SKBHC Hawks Nest Acquisition, an affiliate SKBHC Holdings LLC",1655.553,,,1655.553,1904,,1767,1536.176,,,,,10-06097,,,Patrick J. Rusnak,Resigned upon sale of bank,NoReplace,11,0000726990,,,Spokane,Spokane,,no,,,,yes,none,none,,no,,,,no,,,,233.877,218.711,03058P,109,12/31/2009,,,12/31/2009,12/31/2009#http://edgar.sec.gov/Archives/edgar/data/726990/000119312510100886/0001193125-10-100886-index.htm#,,,,,,12/9/2010,7/25/2008,12/20/2010,11/19/2010,,8/30/2013,,11/18/2010,6/11/2013,8/30/2013,10/4/2013,,,10/28/2010,7/13/1997,,,,,42,,1037,OT,Foster Pepper,Foster Pepper PLLC,,,SKBHC Hawks Nest Acquisition Corp. as lender,2,,,,yes,yes,confirmed,WA ED,,,,,,486,yes,yes,yes,-28.557,-32.84973557,-21.338,,,no,no,531,,1,,,,,pending,36,liquidation,,108.293,104.423,,111.622,101.981,114.626,102.064,031778,,Spokane,0.000675339,208916,WA Spokane,2140,WA,1,1,-71.124,,WA,,,,WA ED,Patricia C. Williams,Patricia C. Williams,1636,,,1636,1881.926231,,1769.155598,1537.966,8,10,,34.56666667,,liquidated,-71.124,,1,free fall,914,3.25,3.25,3.25,4.5,3.25,3.25,,,,,not emerged 5,no,,yes,yes,,"yes, buyer",77.054,,,77.054,88636884.99,,No,State Commercial Banks,"H: Finance, Insurance, And Real Estate",602 Commercial Banks,60 Depository Institutions,6022,,Not tort,,,no,,,,,,none,no turnfirm,none,no,none,309350000,voluntary,2013,2013,,2010,
Americold Corp.,Acquired by Vornado 7/31/98,544.6,529,490,544.6,900,526.992,,,,,,,95-33058,,,Ronald H. Dykehouse,,NoReplace,11,0000811119,0000811119,,Portland,"Portland, OR",,,,,,no,,,,no,,,,no,,,,152.5,152.2,03060T,107,2/28/1995,2/28/1994,2/28/1993,2/28/1995,2/28/1995#http://edgar.sec.gov/Archives/edgar/data/811119/0000910117-95-000023-index.html#,,,2/29/1996,2/29/1996#http://edgar.sec.gov/Archives/edgar/data/811119/0000910117-96-000046-index.html#,2/28/1997,,6/15/1990,12/18/1997,,,6/19/1995,,,4/14/1995,6/19/1995,6/30/1995,6/19/1995,,5/9/1995,4/1/1984,,,,,,,41,OT,Tonkon Torp,Tonkon Torp LLP,,,,,,,,,no,confirmed,OR,,,,,,80,yes,none,no,47.835,79.07169501,70.51,75.259,52.804,yes,yes,1889,2021,673,663,no,,no,no,20,,no information in 10-K,71.591,71.591,,74.46,70.029,77.646,67.173,020786,020786,Portland,0.001700034,452685,OR Portland,2400,OR,1,1,5.564,-8.08,OR,,,,OR,Elizabeth L. Perris,Elizabeth L. Perris,636.553,,,636.553,1052.227964,628.661,,,6,5,,1.366666667,,Americold Corp.,5.564,-9.874,,prepackaged,405,8.25,6.75,8.5,6,9,9,,8.115,Yes,,emerged no refile 5,yes,,no,no,no,no,215.2,196,201,215.2,355727579.5,311,No,,"E: Transportation, Communications, Electric, Gas",422 Public Warehousing And Storage,42 Motor Freight Transportation And Warehousing,4220,,Not tort,,,no,no,,,no,no,,,,,,266280000,voluntary,1995,1995,1995,1995,
"Ameriserve Food Distribution, Inc.",,,1887,1462,1887,2812,,,,,,,,00-00358,,,John V. Holten,,Replaced,11,0000875612,,,Wilmington,Wilmington,,,,495.097,2249,yes,,"Otterbourg, Steindler, Houston & Rosen, P.C. / Walsh, Monzack & Monaco, PA",,no,,,,no,,,,174.1,168.8,03072J,,,12/26/1998,,12/26/1998,12/26/1998#http://edgar.sec.gov/Archives/edgar/data/875612/0000950134-99-001973-index.html#,,,,,,,1/1/1986,2/16/2000,2/15/2000,neither,11/28/2000,,,10/23/2000,11/28/2000,12/1/2000,,10/26/2000,1/31/2000,10/28/1993,,,,239,,,302,DE,Kirkland Ellis,,"Kirkland & Ellis / Pachulski, Stang, Ziehl, Young & Jones PC",,,,,,,,yes,confirmed,DE,,0,359.897,0,0,2524,yes,docs after date,no,52.837,78.75091917,,,,no,no,8000,,900,,no,,yes,fee auditor,80,,,89.717,87.409,,90.074,83.912,91.821,79.972,999999,,Addison,5.02056E-05,14166,TX Dallas,1275,TX,1270,13,,,DE,,,,DE,Peter J. Walsh,Peter J. Walsh,,1886,,1886,2810.989147,,,,11,1,,10.06666667,,liquidated,,,,free fall,548,5,7.75,4.25,8.5,9.5,8.5,,,No. No 10k for any years,,not emerged 5,yes,,yes,no,yes,no,,7421,3446,7421,11060631209,,Yes,"Groceries, General Line",F: Wholesale Trade,514 Groceries and Related Products,51 Wholesale Trade-non-durable Goods,5141,,Not tort,,,no,no,,,no,no,,,,,,282160000,voluntary,2000,2000,,2000,
AmeriTruck Distribution Corp.,,263.5,193,141,263.5,404,,372,242.6,,,,,98-39559,,,Michael L. Lawrence,End date is the Chapter 7 conversion date,NoReplace,11,0001004153,,,Fort Worth,Fort Worth,,,,,,yes,Munsch Hardt,"Munsch Hardt Kopf & Harr, P.C",,no,,,,no,,,,,164,03071X,,12/31/1997,12/31/1996,12/31/1995,12/31/1997,12/31/1997#http://edgar.sec.gov/Archives/edgar/data/1004153/0000930661-98-000714-index.html#,,,,,,,8/9/1995,11/12/1999,11/17/1998,,,11/12/1999,,,11/12/1999,,,,11/9/1998,9/20/1985,,,,1154,,,368,OT,Neligan Foley,,Neligan Foley LLP,,,,,,,,no,converted,TX ND,,,,,,,yes,docs after date,no,11.299,17.33349276,,,,no,no,3400,,1,,no,,no,no,31,,,87.181,83.171,,89.717,79.223,90.074,75.927,999999,,Fort Worth,0.00172791,476644,TX Fort Worth,1305,TX,1,1,,,DE,,,,TX ND,Harold C. Abramson,Tentative Harold C. Abramson,273,,,273,418.8019756,,379.5297024,247.4,11,11,,12.26666667,,Not applicable,,,,free fall,401,9.5,8.5,5,8.25,8.25,8,,,,,not emerged 5,yes,Freymiller Trucking (bought by AmeriTruck before),no,no,no confirmation,no,291.552,224,103,291.552,447262101.1,,No,"Trucking, Except local","E: Transportation, Communications, Electric, Gas","421 Trucking and Courier Services, Except Air",42 Motor Freight Transportation And Warehousing,4213,,Not tort,,,no,no,,,no,no,,,,,,275850000,voluntary,,1999,,1998,
"Ames Department Stores, Inc. (1990)",,2270.943,2154.235,846.136,2270.943,4432,638.046,3123,1600,,,,,90-11233,01-42217,,Peter B. Hollis,,Replaced,11,,0000006071,no,New York,New York,New York,,,,,yes,Dewey Ballantine,Dewey Ballantine Bushby Palmer & Wood,,no,,,,yes,Official Employees Committee,Official Employees Committee,,141.9,128.9,030789,507,1/27/1990,1/28/1989,1/30/1988,1/27/1990,,,,1/30/1993,,1/29/1994,,9/15/1987,4/29/1990,5/16/1990,,12/18/1992,,,,12/18/1992,12/30/1992,12/18/1992,,4/25/1990,6/6/1983,8/20/2001,,,,,3167,968,NY,Skadden Arps,"Skadden, Arps, Slate, Meagher & Flom",,,,,,,,,,confirmed,NY SD,,,,,,6887,yes,none,no,-109.819,-214.3455591,-15.134,-22.897,-70.374,yes,yes,55000,23000,1,1,no,,no,no,30,,yes,66.623,63.794,89.76,68.418,62.254,71.263,60.1,001594,001594,Rocky Hill,6.63168E-05,16554,CT Hartford,205,CT,93,9,-219.634,-554.268,DE,,,,NY SD,Howard C. Buschman III,James A. Goodman (decided something during case),1914.493,1566.793,433.312,1914.493,3736.721993,591.938,,,12,4,8,32.26666667,,Ames Department Stores,-228.062,694.996,53,free fall,573,6,11.5,8.5,8.5,6,10,6.75,,,Refiled,emerged no refile 5,yes,no,no,no,no,,2154.24,3271,2027,2154.24,4204662010,2228.135,Yes,Department Stores,G: Retail Trade,531 Department Stores,53 General Merchandise Stores,5311,,Not tort,,,no,no,,,no,no,,,,,,249620000,voluntary,1992,1992,1992,1990,8.676712
"Ames Department Stores, Inc. (2001)",,1995.7,,,1995.7,2829,,2695,1901.573,,,,,01-42217,,,Joseph R. Ettore,,NoReplace,11,0000006071,,,New York,New York,,,,,,yes,Dewey Ballantine,Dewey Ballantine,,no,,,,no,,,,233.069,177.5,030789,507,2/3/2001,,,2/3/2001,2/3/2001#http://edgar.sec.gov/Archives/edgar/data/6071/000000607101500003/0000006071-01-500003-index.htm#,2/2/2002,2/2/2002#http://edgar.sec.gov/Archives/edgar/data/6071/000000607102000004/0000006071-02-000004-index.htm#,,,,,6/15/1994,11/15/2002,9/6/2001,,11/13/2013,,9/25/2001,9/10/2013,11/13/2013,11/19/2013,,,8/20/2001,9/5/2000,,,,,,,4468,NY,Weil Gotshal,"Weil, Gotshal & Manges LLP",,,,,,,,,yes,confirmed,NY SD,,,,,,4185,yes,yes,no,-226.859,-321.5493076,-152.17,,,no,no,32700,,1850,,no,,no,pending,97,liquidation,,109.313,89.76,,112.262,89.189,114.765,85.643,001594,,Rocky Hill,6.36558E-05,18140,CT Hartford,205,CT,93,9,-233.624,,DE,,,,NY SD,Robert E. Gerber,Robert E. Gerber,1599,,,1599,2266.418096,,2208.885944,1558.41,11,8,,148.9333333,multiple,liquidated,-240.588,,5,free fall,583,3.25,9.5,3.25,8,3.25,6.75,,,,,not emerged 5,no,,yes,yes,,no,3953.6,,,3953.6,5603821503,,Yes,Variety Stores,G: Retail Trade,533 Variety Stores,53 General Merchandise Stores,5331,,Not tort,,,no,,,,,,,,,,,284970000,voluntary,2013,2013,,2001,
