date,price,change,future_1m_index,Diff_future_1m_index,Ratio_future_1m_index,future_1m_up,future_1m_down,future_1m_up_2pct,future_1m_down_2pct,future_3m_index,Diff_future_3m_index,Ratio_future_3m_index,future_3m_up,future_3m_down,future_3m_up_2pct,future_3m_down_2pct,future_6m_index,Diff_future_6m_index,Ratio_future_6m_index,future_6m_up,future_6m_down,future_6m_up_2pct,future_6m_down_2pct,future_12m_index,Diff_future_12m_index,Ratio_future_12m_index,future_12m_up,future_12m_down,future_12m_up_2pct,future_12m_down_2pct,cnt_up,cnt_down,cnt_up_2pct,cnt_down_2pct
1991/2/3,129.51,-0.46,132.1635484,2.653548387,0.020489139,19,12,0,0,124.4904396,-5.01956044,-0.038758092,26,65,0,1,125.0773481,-4.432651934,-0.03422633,84,97,0,1,176.8047645,47.29476454,0.365182338,245,116,0,1,0,1,0,0
1991/2/4,129.05,-0.46,132.2074194,3.157419355,0.024466636,19,12,0,0,124.2987912,-4.751208791,-0.036816806,26,65,0,1,125.1747514,-3.875248619,-0.030029048,85,96,0,1,177.3149861,48.26498615,0.374002217,246,115,0,1,0,1,0,0
1991/2/5,128.58,-0.47,132.2496774,3.669677419,0.028540033,19,12,0,0,124.1036264,-4.476373626,-0.034813918,26,65,0,1,125.2828729,-3.297127072,-0.025642612,86,95,0,1,177.8265097,49.2465097,0.383002875,247,114,0,1,0,1,0,0
1991/2/6,129.14,0.56,132.273871,3.133870968,0.024267237,18,13,0,0,123.8936264,-5.246373626,-0.040625473,25,66,0,1,125.3960221,-3.743977901,-0.028991621,86,95,0,1,178.336482,49.19648199,0.380954638,247,114,0,1,1,0,0,0
1991/2/7,129.79,0.65,132.2770968,2.487096774,0.019162468,17,14,0,0,123.6683516,-6.121648352,-0.047165794,24,67,0,1,125.5138674,-4.276132597,-0.032946549,86,95,0,1,178.8472576,49.05725762,0.377974094,247,114,0,1,1,0,0,0
1991/2/8,130.38,0.59,132.2425806,1.862580645,0.014285785,16,15,0,0,123.4282418,-6.951758242,-0.053319207,23,68,0,1,125.6366851,-4.743314917,-0.036380694,86,95,0,1,179.3563989,48.97639889,0.375643495,247,114,0,1,1,0,0,0
1991/2/9,130.38,0.59,132.1906452,1.810645161,0.013887446,15,16,0,0,123.1881319,-7.191868132,-0.055160823,22,69,0,1,125.7677348,-4.612265193,-0.035375558,86,95,0,1,179.8655402,49.48554017,0.379548552,247,114,0,1,1,0,0,0
1991/2/10,130.38,0.59,132.0541935,1.674193548,0.012840877,14,17,0,1,122.948022,-7.431978022,-0.057002439,21,70,0,1,125.8987845,-4.48121547,-0.034370421,86,95,0,1,180.3746814,49.99468144,0.383453608,247,114,0,1,1,0,0,0
1991/2/11,130.97,0.59,131.8819355,0.911935484,0.006962934,13,18,0,1,122.6938462,-8.276153846,-0.063191218,20,71,0,1,126.0265746,-4.943425414,-0.037744716,86,95,0,1,180.8836842,49.91368421,0.381107767,247,114,0,1,1,0,0,0
1991/2/12,131.35,0.38,131.6825806,0.332580645,0.002532019,12,19,0,1,122.4283516,-8.921648352,-0.067922713,19,72,0,1,126.160221,-5.189779006,-0.03951107,86,95,0,1,181.3916343,50.04163435,0.380979325,247,114,0,1,1,0,0,0
1991/2/13,131.92,0.57,131.4648387,-0.45516129,-0.003450283,11,20,0,1,122.1497802,-9.77021978,-0.074061702,18,73,0,1,126.2991713,-5.620828729,-0.042607859,86,95,0,1,181.8980055,49.97800554,0.378850861,247,114,0,1,1,0,0,0
1991/2/14,132.53,0.61,131.2274194,-1.302580645,-0.009828572,10,21,0,1,121.8557143,-10.67428571,-0.080542411,17,74,0,1,126.4433702,-6.086629834,-0.045926431,86,95,0,1,182.4050139,49.87501385,0.376329992,247,114,0,1,1,0,0,0
1991/2/15,132.53,0.61,130.9751613,-1.55483871,-0.011731975,9,22,0,1,121.5724176,-10.95758242,-0.082680015,17,74,0,1,126.5962983,-5.933701657,-0.044772517,86,95,0,1,182.9144321,50.38443213,0.380173788,247,114,0,1,1,0,0,0
1991/2/16,132.53,0.61,130.7070968,-1.822903226,-0.013754646,8,23,0,1,121.2891209,-11.24087912,-0.08481762,17,74,0,1,126.7569061,-5.773093923,-0.043560657,86,95,0,1,183.4238781,50.89387812,0.384017793,247,114,0,1,1,0,0,0
1991/2/17,132.53,0.61,130.4209677,-2.109032258,-0.015913622,7,24,0,1,121.0058242,-11.52417582,-0.086955224,17,74,0,1,126.9175138,-5.612486188,-0.042348798,86,95,0,1,183.9349861,51.40498615,0.387874339,247,114,0,1,1,0,0,0
1991/2/18,132.53,0.61,130.1174194,-2.412580645,-0.018204034,6,25,0,1,120.7342857,-11.79571429,-0.089004107,17,74,0,1,127.0781215,-5.451878453,-0.041136938,86,95,0,1,184.4534072,51.9234072,0.391786065,247,114,0,1,1,0,0,0
1991/2/19,133.13,0.6,129.7783871,-3.351612903,-0.025175489,5,26,0,1,120.467033,-12.66296703,-0.095117307,17,74,0,1,127.2443094,-5.885690608,-0.0442101,86,95,0,1,184.9701662,51.8401662,0.389395074,247,114,0,1,1,0,0,0
1991/2/20,133.67,0.54,129.4219355,-4.248064516,-0.031780239,4,27,0,1,120.1876923,-13.48230769,-0.10086263,16,75,0,1,127.4165193,-6.253480663,-0.046782978,86,95,0,1,185.4854294,51.81542936,0.387636937,247,114,0,1,1,0,0,0
1991/2/21,134.28,0.61,129.0458065,-5.234193548,-0.038979696,3,28,0,1,119.9107692,-14.36923077,-0.107009464,16,75,0,1,127.5944751,-6.685524862,-0.049787942,86,95,0,1,185.9992521,51.71925208,0.385159756,247,114,0,1,1,0,0,0
1991/2/22,134.87,0.59,128.6345161,-6.235483871,-0.04623329,2,29,0,1,119.6383516,-15.23164835,-0.112935778,16,75,0,1,127.7783978,-7.09160221,-0.05258102,86,95,0,1,186.5594737,51.68947368,0.38325405,247,114,1,1,1,0,0,0
1991/2/23,134.87,0.59,128.2070968,-6.662903226,-0.049402411,1,30,0,1,119.3659341,-15.50406593,-0.114955631,16,75,0,1,127.9714365,-6.898563536,-0.051149726,86,95,0,1,187.1343767,52.26437673,0.387516696,247,114,1,1,1,0,0,0
1991/2/24,134.87,0.59,127.7635484,-7.106451613,-0.052691122,0,31,0,1,119.0935165,-15.77648352,-0.116975484,16,75,0,1,128.1644751,-6.705524862,-0.049718432,86,95,0,1,187.7247368,52.85473684,0.391893949,247,114,1,1,1,0,0,0
1991/2/25,134.4,-0.47,127.3187097,-7.081290323,-0.052688172,0,31,0,1,118.8326374,-15.56736264,-0.115828591,17,74,0,1,128.3601105,-6.039889503,-0.044939654,87,94,0,1,188.3485319,53.94853186,0.401402767,248,113,2,1,0,1,0,0
1991/2/26,133.93,-0.47,126.8754839,-7.054516129,-0.052673159,0,31,0,1,118.5881319,-15.34186813,-0.114551394,18,73,0,1,128.5677348,-5.362265193,-0.04003782,88,93,0,1,188.9736288,55.04362881,0.410988045,249,112,3,1,0,1,0,0
1991/2/27,133.47,-0.46,126.4470968,-7.022903226,-0.052617841,0,31,0,1,118.3604396,-15.10956044,-0.113205667,19,72,0,1,128.7871823,-4.68281768,-0.03508517,89,92,0,1,189.6,56.13,0.420543942,250,111,4,1,0,1,0,0
1991/2/28,133.01,-0.46,126.0335484,-6.976451613,-0.05245058,0,31,0,1,118.1495604,-14.86043956,-0.111724228,20,71,0,1,129.0187293,-3.991270718,-0.030007298,90,91,0,1,190.2301662,57.2201662,0.430194468,251,110,4,1,0,1,0,0
1991/3/1,132.53,-0.48,125.6529032,-6.877096774,-0.051890868,1,30,0,1,117.9550549,-14.57494505,-0.109974685,21,70,0,1,129.2625414,-3.267458564,-0.024654482,91,90,0,1,190.8613019,58.33130194,0.440136587,251,110,4,1,0,1,0,0
1991/3/2,132.53,-0.48,125.2877419,-7.242258065,-0.054646179,2,29,0,1,117.7605495,-14.76945055,-0.111442319,22,69,0,1,129.5161326,-3.013867403,-0.02274102,92,89,0,1,191.4916898,58.96168975,0.444893154,251,110,4,1,0,1,0,0
1991/3/3,132.53,-0.48,124.9387097,-7.591290323,-0.057279788,3,28,0,1,117.566044,-14.96395604,-0.112909953,23,68,0,1,129.7697238,-2.760276243,-0.020827558,93,88,0,1,192.1285873,59.59858726,0.44969884,252,109,4,1,0,1,0,0
1991/3/4,131.99,-0.54,124.6074194,-7.382580645,-0.055932879,4,27,0,1,117.39,-14.6,-0.11061444,24,67,0,1,130.0262983,-1.963701657,-0.014877655,94,87,0,1,192.7731025,60.78310249,0.460512937,253,108,4,1,0,1,0,0
1991/3/5,131.46,-0.53,124.2874194,-7.172580645,-0.054560936,4,27,0,1,117.2324176,-14.22758242,-0.108227464,25,66,0,1,130.2956906,-1.164309392,-0.008856758,95,86,0,1,193.4190859,61.95908587,0.471315122,254,107,4,1,0,1,0,0
1991/3/6,130.94,-0.52,123.9841935,-6.955806452,-0.05312209,4,27,0,1,117.0920879,-13.84791209,-0.105757691,26,65,0,1,130.5776243,-0.362375691,-0.002767494,96,85,0,1,194.0665097,63.1265097,0.482102564,255,106,4,1,0,1,0,0
1991/3/7,130.41,-0.53,123.6980645,-6.711935484,-0.051467951,4,27,0,1,116.9705495,-13.43945055,-0.103055368,27,64,0,1,130.871989,0.46198895,0.003542588,97,84,0,1,194.7174238,64.30742382,0.493117275,256,105,4,1,0,1,0,0
1991/3/8,129.89,-0.52,123.4141935,-6.475806452,-0.049856082,4,27,0,1,116.867033,-13.02296703,-0.100261506,28,63,0,1,131.1792818,1.289281768,0.009925951,98,83,0,1,195.3742382,65.48423823,0.504151499,257,104,4,1,0,1,0,0
1991/3/9,129.89,-0.52,123.1151613,-6.77483871,-0.052158278,4,27,0,1,116.7635165,-13.12648352,-0.101058461,29,62,0,1,131.4967956,1.60679558,0.012370433,99,82,0,1,196.0347091,66.14470914,0.509236347,258,103,4,1,0,1,0,0
1991/3/10,129.89,-0.52,122.8012903,-7.088709677,-0.054574715,4,27,0,1,116.66,-13.23,-0.101855416,30,61,0,1,131.8143094,1.924309392,0.014814916,100,81,0,1,196.699169,66.80916898,0.514351905,259,102,4,1,0,1,0,0
1991/3/11,129.31,-0.58,122.4893548,-6.820645161,-0.052746463,4,27,0,1,116.576044,-12.73395604,-0.098476189,31,60,0,1,132.1350276,2.825027624,0.021846939,101,80,0,1,197.3707756,68.06077562,0.526338068,260,101,4,1,0,1,0,0
1991/3/12,128.77,-0.54,122.1809677,-6.589032258,-0.051169001,4,27,0,1,116.5114286,-12.25857143,-0.095197417,32,59,0,1,132.469116,3.699116022,0.028726536,102,79,0,1,198.0438781,69.27387812,0.537965971,261,100,4,1,0,1,0,0
1991/3/13,126.15,-2.62,121.9570968,-4.192903226,-0.033237441,4,27,0,0,116.489011,-9.660989011,-0.076583345,33,58,0,0,132.8126519,6.662651934,0.052815315,102,79,0,0,198.7242382,72.57423823,0.575301135,262,99,4,0,0,1,0,1
1991/3/14,125.63,-0.52,121.75,-3.88,-0.030884343,4,27,0,0,116.4858242,-9.144175824,-0.072786562,34,57,0,0,133.1529282,7.522928177,0.059881622,102,79,0,0,199.4109418,73.78094183,0.587287605,263,98,4,0,0,1,0,0
1991/3/15,125.17,-0.46,121.5435484,-3.626451613,-0.028972211,4,27,0,0,116.4787912,-8.691208791,-0.069435238,34,57,0,0,133.490221,8.320220994,0.066471367,102,79,0,0,200.1036288,74.93362881,0.59865486,264,97,4,0,0,1,0,0
1991/3/16,125.17,-0.46,121.3232258,-3.846774194,-0.030732397,4,27,0,0,116.4717582,-8.698241758,-0.069491426,34,57,0,0,133.8361878,8.666187845,0.069235343,103,78,0,0,200.7988366,75.62883657,0.604208968,265,96,4,0,0,1,0,0
1991/3/17,125.17,-0.46,121.0887097,-4.081290323,-0.032605978,4,27,0,0,116.4647253,-8.705274725,-0.069547613,34,57,0,0,134.1821547,9.012154696,0.071999318,104,77,0,0,201.496205,76.32620499,0.609780339,266,95,4,0,0,1,0,0
1991/3/18,124.71,-0.46,120.8545161,-3.855483871,-0.030915595,4,27,0,0,116.4763736,-8.233626374,-0.066022182,35,56,0,0,134.530663,9.820662983,0.078747999,105,76,0,0,202.1933518,77.4833518,0.62130825,266,95,4,0,0,1,0,0
1991/3/19,124.22,-0.49,120.6241935,-3.595806452,-0.028947081,4,27,0,0,116.5072527,-7.712747253,-0.062089416,36,55,0,0,134.8922099,10.67220994,0.085913782,106,75,0,0,202.891856,78.67185596,0.633326807,266,95,4,0,0,1,0,0
1991/3/20,123.66,-0.56,120.4119355,-3.248064516,-0.026266089,4,27,0,0,116.5581319,-7.101868132,-0.057430601,37,54,0,0,135.2512707,11.59127072,0.093735005,106,75,0,0,203.5919114,79.93191136,0.646384533,266,95,4,0,0,1,0,0
1991/3/21,123.12,-0.54,120.2170968,-2.902903226,-0.023577836,4,27,0,0,116.629011,-6.490989011,-0.052720833,38,53,0,0,135.6076796,12.48767956,0.101426897,106,75,0,0,204.2953186,81.17531856,0.659318702,267,94,4,0,0,1,0,0
1991/3/22,122.62,-0.5,120.023871,-2.596129032,-0.02117215,4,27,0,0,116.7195604,-5.90043956,-0.048119716,39,52,0,0,135.9627072,13.34270718,0.108813466,106,75,0,0,205.0013296,82.38132964,0.671842519,268,93,4,0,0,1,0,0
1991/3/23,122.62,-0.5,119.8164516,-2.803548387,-0.022863712,4,27,0,0,116.8101099,-5.80989011,-0.04738126,40,51,0,0,136.3124309,13.69243094,0.11166556,106,75,0,0,205.7078116,83.08781163,0.677604075,269,92,4,0,0,1,0,0
1991/3/24,122.62,-0.5,119.596129,-3.023870968,-0.024660504,4,27,0,0,116.9006593,-5.719340659,-0.046642804,41,50,0,0,136.6621547,14.0421547,0.114517654,106,75,0,0,206.4133241,83.7933241,0.683357724,269,92,4,0,0,1,0,0
1991/3/25,122.12,-0.5,119.3780645,-2.741935484,-0.022452796,4,27,0,0,117.0110989,-5.108901099,-0.041835089,42,49,0,0,137.0146409,14.89464088,0.121967253,106,75,0,0,207.1221053,85.00210526,0.696053925,270,91,4,0,0,1,0,0
1991/3/26,121.62,-0.5,119.1825806,-2.437419355,-0.020041271,5,26,0,0,117.1415385,-4.478461538,-0.036823397,43,48,0,0,137.3648066,15.74480663,0.129459025,106,75,0,0,207.8322715,86.21227147,0.708865906,271,90,4,0,0,1,0,0
1991/3/27,121.12,-0.5,119.0032258,-2.116774194,-0.017476669,6,25,0,0,117.2921978,-3.827802198,-0.031603387,44,47,0,0,137.7126519,16.59265193,0.136993494,106,75,0,0,208.5438227,87.42382271,0.721795102,272,89,4,0,0,1,0,0
1991/3/28,120.61,-0.51,118.8403226,-1.769677419,-0.014672725,7,24,0,0,117.4634066,-3.146593407,-0.026088993,45,46,0,0,138.0583978,17.44839779,0.14466792,106,75,0,0,209.2592798,88.64927978,0.735007709,273,88,4,0,0,1,0,0
1991/3/29,120.19,-0.42,118.6648387,-1.52516129,-0.012689586,7,24,0,0,117.6542857,-2.535714286,-0.021097548,46,45,0,0,138.4017127,18.21171271,0.151524359,106,75,0,0,209.9753463,89.78534626,0.747028424,273,88,4,0,0,1,0,0
1991/3/30,120.19,-0.42,118.4632258,-1.726774194,-0.014367037,7,24,0,0,117.8451648,-2.344835165,-0.019509403,47,44,0,0,138.7422099,18.55220994,0.15435735,106,75,0,0,210.6898338,90.4998338,0.752973074,273,88,4,0,0,1,0,0
