城市,省份,城市等级
常德,湖南,3
张家界,湖南,6
益阳,湖南,4
郴州,湖南,4
永州,湖南,4
怀化,湖南,4
娄底,湖南,4
湘西,湖南,6
其他,湖南,6
湘西土家族苗族自治州,湖南,6
白城,吉林,6
白山,吉林,6
长春,吉林,2
吉林,吉林,3
辽源,吉林,6
四平,吉林,4
松源,吉林,6
通化,吉林,4
延边,吉林,6
其他,吉林,6
吉林市,吉林,6
松原,吉林,4
延边朝鲜族自治州,吉林,6
常州,江苏,3
淮安,江苏,3
连云港,江苏,4
南京,江苏,2
南通,江苏,3
苏州,江苏,2
宿迁,江苏,4
泰州,江苏,3
无锡,江苏,2
徐州,江苏,3
盐城,江苏,3
扬州,江苏,3
镇江,江苏,3
其他,江苏,6
抚州,江西,6
赣州,江西,4
吉安,江西,4
景德镇,江西,6
九江,江西,4
南昌,江西,6
萍乡,江西,6
上饶,江西,4
新余,江西,6
宜春,江西,4
鹰潭,江西,6
其他,江西,6
鞍山,辽宁,3
本溪,辽宁,4
朝阳,辽宁,4
大连,辽宁,2
丹东,辽宁,4
抚顺,辽宁,4
阜新,辽宁,6
葫芦岛,辽宁,6
锦州,辽宁,4
辽阳,辽宁,4
盘锦,辽宁,4
沈阳,辽宁,2
铁岭,辽宁,4
营口,辽宁,4
其他,辽宁,6
阿拉善盟,内蒙古,6
巴彦淖尔,内蒙古,6
包头,内蒙古,3
赤峰,内蒙古,4
鄂尔多斯,内蒙古,3
呼和浩特,内蒙古,3
呼伦贝尔,内蒙古,4
通辽,内蒙古,4
乌海,内蒙古,6
乌兰察布,内蒙古,6
锡林郭勒盟,内蒙古,6
兴安盟,内蒙古,6
其他,内蒙古,6
巴彦淖尔盟,内蒙古,6
巴音郭楞蒙古自治州,内蒙古,6
博尔塔拉蒙古自治州,内蒙古,6
乌兰察布盟,内蒙古,6
固原,宁夏,6
凉山,宁夏,6
石嘴山,宁夏,5
吴忠,宁夏,5
银川,宁夏,3
中卫,宁夏,6
其他,宁夏,6
果洛,青海,6
海北,青海,6
海东,青海,6
海南,青海,6
海西,青海,6
黄南,青海,6
西宁,青海,3
玉树,青海,6
其他,青海,6
果洛藏族自治州,青海,6
海北藏族自治州,青海,6
海南藏族自治州,青海,6
海西蒙古族藏族自治州,青海,6
滨州,山东,3
德州,山东,3
东营,山东,3
菏泽,山东,3
济南,山东,2
济宁,山东,3
莱芜,山东,6
聊城,山东,3
临沂,山东,3
青岛,山东,2
日照,山东,4
泰安,山东,3
威海,山东,3
潍坊,山东,3
烟台,山东,2
枣庄,山东,4
淄博,山东,6
其他,山东,6
长治,山西,4
大同,山西,4
晋城,山西,4
晋中,山西,4
临汾,山西,4
吕梁,山西,4
朔州,山西,4
太原,山西,2
忻州,山西,6
阳泉,山西,6
运城,山西,4
其他,山西,6
安康,陕西,6
宝鸡,陕西,3
汉中,陕西,6
商洛,陕西,6
铜川,陕西,6
渭南,陕西,4
西安,陕西,2
咸阳,陕西,4
延安,陕西,4
榆林,陕西,3
其他,陕西,6
上海,上海,1
阿坝,四川,6
巴中,四川,5
成都,四川,2
达州,四川,4
德阳,四川,4
甘孜,四川,6
广安,四川,5
广元,四川,5
乐山,四川,4
泸州,四川,4
眉山,四川,6
绵阳,四川,3
内江,四川,4
南充,四川,4
攀枝花,四川,4
遂宁,四川,5
雅安,四川,5
宜宾,四川,4
资阳,四川,4
自贡,四川,4
其他,四川,6
阿坝藏族羌族自治州,四川,6
甘孜藏族自治州,四川,6
天津,天津,1
阿里,西藏,6
昌都,西藏,6
拉萨,西藏,5
林芝,西藏,6
那曲,西藏,6
日喀则,西藏,6
山南,西藏,6
其他,西藏,6
阿克苏,新疆,5
阿勒泰,新疆,6
巴州,新疆,6
博州,新疆,6
昌吉州,新疆,6
哈密,新疆,5
和田,新疆,6
喀什,新疆,5
克拉玛依,新疆,5
克州,新疆,6
塔城,新疆,6
吐鲁番,新疆,6
乌鲁木齐,新疆,3
伊犁州直,新疆,6
其他,新疆,6
昌吉回族自治州,新疆,6
克孜勒苏柯尔克孜自治州,新疆,6
石河子,新疆,5
伊犁哈萨克自治州,新疆,6
版纳,云南,6
保山,云南,5
楚雄,云南,6
大理,云南,5
德宏,云南,6
迪庆,云南,6
红河,云南,6
昆明,云南,6
丽江,云南,5
临沧,云南,6
怒江,云南,6
普洱,云南,5
曲靖,云南,4
文山,云南,6
玉溪,云南,4
昭通,云南,5
其他,云南,6
楚雄彝族自治州,云南,6
大理白族自治州,云南,5
德宏傣族景颇族自治州,云南,6
迪庆藏族自治州,云南,6
红河哈尼族彝族自治州,云南,6
文山壮族苗族自治州,云南,6
西双版纳傣族自治州,云南,6
杭州,浙江,2
湖州,浙江,4
嘉兴,浙江,3
金华,浙江,3
丽水,浙江,4
宁波,浙江,3
衢州,浙江,4
绍兴,浙江,3
台州,浙江,3
温州,浙江,3
舟山,浙江,3
其他,浙江,6
重庆,重庆,2
