label,documents,class
banking,Annex 1 Tables PP01-13/S01,banking
banking,Annex 2 Local Banking Capital Adequacy Mangement Assessment Framework,banking
banking,Annex 3 Guidelines for Communicating,banking
banking,Calculation of Maximum Loan-to-Value Ratio Regulations & Guidelines (3/2015),banking
banking,105.2 Regulation on the Reporting of Shares and Real Estate held by credit institutions and their consolidation groups,banking
banking,105.2 Appendix 1 Reporting Instructions,banking
banking,105.2 Appendix 2 Holdings of Shares or Participations in Business Undertakings,banking
banking,105.2 Appendix 3 Holdings of Real Estate and Shares and Participations in Real Estate Corporations,banking
banking,"SEBI (Bankers to an Issue) Regulations, 1994 [Last amended on March 6, 2017]",banking
banking,"SEBI (Merchant Bankers) Regulations, 1992 [Last amended on March 6, 2017]",banking
banking,Banking Regulation Act,banking
banking,Electronic Funds Transfer System,banking
banking,"Government Securities Regulations, 2007.",banking
banking,"Government Securities Act, 2006",banking
banking,Board for Regulation and Supervision of Payment and Settlement Systems Regulations,banking
banking,The Banking Ombudsman Scheme 2006,banking
banking,Principle I according to Sections 10 and 10a of the German Banking Act,banking
banking,Regulation Concerning Reports and the Submission of Documentation under the Banking Act,banking
banking,Banking Act,banking
banking,General Administrative Act on section 10d (3) sentence 2 of the German Banking Act (Kreditwesengesetz – KWG),banking
banking,Ordinance on tied agents and the public register pursuant to § 2 (10) sentence 6 of the German Banking Act,banking
banking,Regulation on information on loans to foreign borrowers under the Banking Act,banking
banking,Regulation on the form of the refinancing register under the Banking Act as well as the way of recording,banking
banking,Regulation on the submission of financial and risk-bearing capacity information under the German Banking Act,banking
banking,Law amending national banking resolution law to the Single Resolution Mechanism and European bank levy requirements,banking
banking,Regulation on the supervisory requirements for remuneration systems of institutions,banking
banking,Regulation supplementing the major credit rules provided for in Regulation (EU),banking
banking,Ordinance on the form and content of cover registers according to the Pfandbrief Act and the record of registrations,banking
banking,Financial Conglomerate Supervisory Law,banking
banking,Financial Market Stabilization Fund Act,banking
banking,Financial Stability Supervision Act,banking
banking,First law amending financial market regulations based on European legal acts,banking
banking,German bank debenture,banking
banking,Law establishing a restructuring fund for credit institutions,banking
banking,Law on the credit system,banking
banking,Law on the reorganization and resolution of institutions and financial groups,banking
banking,Law on the reorganization of credit institutions,banking
banking,"Regulation on the capital adequacy of institutions, groups of institutions, financial holding groups and mixed financial holding groups",banking
banking,Regulation on the accounting of credit institutions and financial services institutions,banking
banking,Regulation on the adequacy of the capital adequacy of financial conglomerates,banking
banking,Act on the Federal Financial Supervisory Authority,banking
banking,Bank Act,banking
banking & islamic banking,Circular on POWER! Programme,banking
banking & islamic banking,Guidelines on Accepted Bill-i (AB-i),banking
banking & islamic banking,Islamic Financial Services (Financial Ombudsman Scheme) Regulations 2015,banking
banking & islamic banking,Istisna',banking
banking & islamic banking,Kafalah **UPDATED 2017/04/14,banking
banking & islamic banking,KLIBOR Rate Setting,banking
banking & islamic banking,Liquidity Coverage Ratio *UPDATED 2016/08/26,banking
banking & islamic banking,Manual Rujukan Institusi Kewangan Islam Kepada Majlis Penasihat Shariah,banking
banking & islamic banking,Mudarabah,banking
banking & islamic banking,Murabahah,banking
banking & islamic banking,Musyarakah,banking
banking & islamic banking,Notification on the Implementation of Basel III,banking
banking & islamic banking,Observation Period Reporting (Capital Adequacy Ratios and Liquidity Coverage Ratio) ** NEW 2015/10/16,banking
banking & islamic banking,Operational Guidelines and Procedures on Special Relief Facility 2015,banking
banking & islamic banking,Operational Risk,banking
banking & islamic banking,Perbankan Islam Logo,banking
banking & islamic banking,Process Improvement to Expedite Issuance of Redemption Statement and Release of Original Title of Property,banking
banking & islamic banking,Prohibited Business Conduct,banking
banking & islamic banking,Prohibited Business Conduct **NEW 2016/07/19,banking
banking & islamic banking,Prohibition on Specific/ Restricted and Loss-Bearing Fund Placement from Islamic Banks to Parent Banking Institutions,banking
banking & islamic banking,Prudential Standards on Securitisation Transactions,banking
banking & islamic banking,Prudential Standards on Securitisation Transactions for Islamic Banks,banking
banking & islamic banking,Qard,banking
banking & islamic banking,Rahn (Shariah Requirements and Optional Practices) - Exposure Draft,banking
banking & islamic banking,Reference Rate Framework,banking
banking & islamic banking,Guide to Consumer on Reference Rate [English],banking
banking & islamic banking,Regulated Short-Selling of Securities in the Wholesale Money Market,banking
banking & islamic banking,Regulatory treatment for IILM Sukuk,banking
banking & islamic banking,Regulatory Treatment of BNM Mudarabah Certificate (BMC) for Licensed Banks and Licensed Islamic Banks,banking
banking & islamic banking,Repurchase Agreement Transactions,banking
banking & islamic banking,Requirements for the Conduct of Money Services Business by Banking Institutions,banking
banking & islamic banking,Resolusi Syariah dalam Kewangan Islam MPS BNM (2010-2012),banking
banking & islamic banking,Resolutions of Shariah Advisory Council of Bank Negara Malaysia 2010 - 2011,banking
banking & islamic banking,Restricted Committed Liquidity Facility,banking
banking & islamic banking,Revised BNM/APP and BNM/DIR Application Forms and Statutory Declaration Form,banking
banking & islamic banking,Risk Governance * Same guideline applies to Insurance & Takaful and Development Financial Institutions,banking
banking & islamic banking,Risk Weighted Capital Adequacy Framework (Basel II) - Disclosure Requirements,banking
banking & islamic banking,Risk-Informed Pricing,banking
banking & islamic banking,Risk-Weighted Capital Adequacy Framework (Basel 1 - Risk-Weighted Assets Computation),banking
banking & islamic banking,Risk-Weighted Capital Adequacy Framework (Basel II) - Internal Capital Adequacy Assessment Process (Pillar 2),banking
banking & islamic banking,Schedule of Shariah Advisory Council Meetings for 2013,banking
banking & islamic banking,Shareholder Suitability,banking
banking & islamic banking,Shariah Governance Framework for Islamic Financial Institutions,banking
banking & islamic banking,Shariah Leaders Education Programme,banking
banking & islamic banking,Shariah Resolutions in Islamic Finance,banking
banking & islamic banking,Shariah Standard on Mudarabah,banking
banking & islamic banking,Single Counterparty Exposure Limit,banking
banking & islamic banking,Single Counterparty Exposure Limit for Islamic Banking Institutions,banking
banking & islamic banking,Staff Training Expenditure (STE),banking
banking & islamic banking,Standing Facilities **NEW2016/08/09,banking
banking & islamic banking,Statutory Reserve Requirement,banking
banking & islamic banking,Strategy Paper on Value-based Intermediation (VBI),banking
banking & islamic banking,Stress Testing,banking
banking & islamic banking,Tawarruq,banking
banking & islamic banking,Transfers of business,banking
banking & islamic banking,Wa'd,banking
banking & islamic banking,Wadiah,banking
banking & islamic banking,Wakalah,banking
banking and lending,Regarding notification of certain acquisitions,banking
banking and lending,"Regarding recovery plans, group recovery plans and intra-group financial support agreements",banking
banking and lending,Regarding information concerning interest rates on housing loans,banking
banking and lending,Certain Consumer Credit-related Operations,banking
banking and lending,Governing the reporting of interim and annual report data,banking
banking and lending,Guidelines regarding consumer credit,banking
banking and lending,"Regarding governance, risk management and control at credit institutions regulation",banking
banking and lending,"Regarding information security, IT operations and deposit systems",banking
banking and lending,Regarding reporting internal capital adequacy assessments,banking
banking and lending,Regarding the management of operational risks,banking
banking and lending,Regulations regarding prudential requirements and capital buffers,banking
banking and lending,Regarding covered bonds,banking
banking and lending,Institutions for electronic money and registered issuers,banking
banking and lending,Regarding application for authorisation to conduct banking or financing business,banking
banking and lending,Regarding special supervision of financial conglomerates,banking
banking and lending,Regarding the continued application of transitional rules pertaining to own funds requirements and the disclosure of information,banking
banking and lending,Governing payment institutions and registered payment service providers,banking
banking and lending,Regarding management of liquidity risks in credit institutions and investment firms,banking
banking and lending,Regarding securities business,banking
banking and lending,Regarding reporting of interest rate risks in non-trading activities,banking
banking and lending,Regarding governance and control of financial undertakings,banking
banking and lending,Regarding credit risk management in credit institutions and investment firms,banking
banking and lending,Complaints management concerning financial services for consumers,banking
banking and lending,Concerning the obligation to submit information on trading in certain financial instruments by electronic means,banking
banking and lending,Governing management of market and liquidity risks in credit institutions and investment firms,banking
banking and lending/electronic money,Regarding ownership and management assessment,banking
banking and lending/electronic money,Regarding ownership and management assessment,banking
banking and lending/electronic money/funds,Regarding reporting of events of material significance,funds
banking and lending/electronic money/funds,Governing measures against money laundering and terrorist financing,funds
banking and lending/funds,Regarding amortisation of loans collateralised by residential property,funds
banking and lending/funds,Regarding the countercyclical buffer rate,funds
banking and lending/funds,Regarding issuers' obligation to provide information on an annual basis,funds
banking and lending/funds,"Regarding remuneration structures in credit institutions, investment firms and fund management companies licensed to conduct discretionary portfolio management",funds
banking and lending/funds,Regarding reporting of owners' qualifying holdings and participating interests,funds
banking and lending/funds,Regarding financial advice to consumers,funds
banking and lending/funds,Regarding guidelines for handling ethical issues at institutions under the supervision of the supervisory authority,funds
banking supervision,Application forms,banking
banking supervision,Reporting Templates,banking
banking supervision,Licensing requirements for banks ,banking
banking supervision,List of licensed banks ,banking
banks and financial institutions,Bank of Thailand Act B.E.2485,banking
banks and financial institutions,Financial Institution Business Act B.E. 2551,banking
banks and financial institutions,Law on the Organization and Conduct of the National Bank of Cambodia,banking
banks and financial institutions,Law on the Amendment of Article 14 and 57 of the Law on the Organization and Conduct of National Bank of Cambodia,banking
banks and financial institutions,Law on Banking and Financial Institutions,banking
banks and financial institutions,Prakas on Conditions for Banks and Financial Institutions,banking
banks and financial institutions,Prakas on New Capital Requirement and Criteria for Licensing Approval of Banks,banking
banks and financial institutions,Prakas on Money Changer License or Authorization,banking
banks and financial institutions,Prakas on Licensing to Conduct the Business of Precious Metals and Stones Import/Export,banking
banks and financial institutions,Prakas on Licensing of Commercial Banks,banking
banks and financial institutions,Prakas on Licensing of Rural Credit Specialized Banks,banking
banks and financial institutions,Prakas on the Licensing of Microfinance Institutions,banking
banks and financial institutions,Prakas on Registration and Licensing of Microfinance Institutions,banking
banks and financial institutions,Prakas on Amendment to Prakas on Licensing of Microfinance Institutions,banking
banks and financial institutions,Prakas on Bank's Capital Guarantee,banking
banks and financial institutions,Prakas on License Fees for Banks and Financial Institutions,banking
banks and financial institutions,Prakas on License Fees for Microfinance Deposit Taking Institutions,banking
banks and financial institutions,Prakas on Transfer of Shares of Banks,banking
banks and financial institutions,Prakas on Third-Party Processors,banking
banks and financial institutions,Prakas on Licensing of Microfinance Deposit Taking Institutions,banking
banks and financial institutions,Circular on Investment Grade,banking
banks and financial institutions,Prakas on Bank's Solvency Ratio,banking
banks and financial institutions,Prakas on Loans to Related Parties,banking
banks and financial institutions,Prakas on Controlling Banks and Financial Institutions' Large Exposures,banking
banks and financial institutions,Prakas on Reporting the Biggest Exposures and Surveillance of Credit Risk Concentration,banking
banks and financial institutions,Prakas on Fixed Assets of Banks,banking
banks and financial institutions,Prakas on Liquidity for Banks and Financial Institutions,banking
banks and financial institutions,Prakas on the Source of Fund from Deposits for Locally Use of Banks and Financial Institutions,banking
banks and financial institutions,Prakas on Asset Classification and Provisioning in Banking and Financial Institutions,banking
banks and financial institutions,Prakas on the Maintenance of Reserve Requirement Against Commercial Banks' Deposits and Borrowings,banking
banks and financial institutions,Prakas on the Maintenance of Minimum Reserve Requirement in Banks and Financial Institutions,banking
banks and financial institutions,Prakas on the Calculation of Banks' Net Worth,banking
banks and financial institutions,Circular on the Implementation of Prakas on the Calcualtion of Banks' Net Worth,banking
banks and financial institutions,Prakas on Adoption and Implementation of Chart of Accounts for Banking and Financial Institutions,banking
banks and financial institutions,Circular on Daily Accruals and Amortizations for Commercial and Specialized Banks,banking
banks and financial institutions,Prakas on Annual Audit of Financial Statement of Banks and Financial Institutions,banking
banks and financial institutions,Circular on Multi-Currency Accounting Following Implementation of Uniform Chart of Accounts,banking
banks and financial institutions,Prakas on International Transactions Reporting System,banking
banks and financial institutions,Prakas on Reporting Date for Commercial Banks and Specialized Banks,banking
banks and financial institutions,Prakas on Determination of Refinancing Base Interest Rate,banking
banks and financial institutions,Circular on the Communication and Copies of Documents During On-Site Inspection,banking
banks and financial institutions,Prakas on Prepayment on Rental and Leases,banking
banks and financial institutions,Prakas on Payments of Dividends in Advance,banking
banks and financial institutions,Prakas on Overdraft Facilitites Made Available By the NBC and Financial Institutions Facing Temporary Liquidity Shortages,banking
banks and financial institutions,Prakas on the Calculation of Interest Rate on Microfinance Loans,banking
banks and financial institutions,Prakas on Loan Classification and Provisioning Applicable to Specialized Banks for Rural Credits and Licensed Microfinance Institutions,banking
banks and financial institutions,Prakas on Liquidity Ration Applicable to Licensed Microfinance Institutions,banking
banks and financial institutions,Prakas on the Maintenance of Reserve Requirement for Microfinance Institutions,banking
banks and financial institutions,Prakas on Microfinance Institutions' Solvency Ratio,banking
banks and financial institutions,Prakas on the Calculation of Microfinance Institutions' Net Worth,banking
banks and financial institutions,Prakas on Adoption and Implementation of Chart of Accounts for Microfinance Institutions,banking
banks and financial institutions,Prakas on Reporting Requirement for Registered NGOs and Licensed Microfinance Institutions,banking
banks and financial institutions,Prakas on Reporting Date for Microfinance Institutions,banking
banks and financial institutions,Prakas on Standardized Procedure for Prompt Corrective Actions for Banking and Financial Institutions,banking
banks and financial institutions,Prakas on the Monitoring of Banks' and Financial Institutions' Net Open Postition in Foreign Currency,banking
banks and financial institutions,Prakas on Transparency in Granting Credit Facilities of Banks and Financial Institutions,banking
banks and financial institutions,Prakas on Requirements in Compliance With Facts and Substance,banking
banks and financial institutions,"Prakas on Loan Policies, Procedures and Lending Authority",banking
banks and financial institutions,Circular on Requirements for Banks and Financial Institutions to Have a System of Checks and Balances,banking
banks and financial institutions,Prakas on Governance in Banks and Financial Institutions,banking
banks and financial institutions,Prakas on Fit and Proper Regulatory Requirements for Applying Entities and Licensed Banks and Financial Institutions,banking
banks and financial institutions,Prakas on Internal Control of Banks and Financial Institutions,banking
banks and financial institutions,Circular on the Selection of Independent Auditors for Annual Audit of Banks and Financial Institutions,banking
banks and financial institutions,Prakas on Anti-Money Laundering and Combating the Financing of Terrorism,banking
banks and financial institutions,Prakas on the Accounting Process for Foreign Currency Transactions,banking
banks and financial institutions,"Prakas on Using Language, Currency Unit and Exchange Rate for Accounting Records and Reports",banking
banks and financial institutions,Prakas on Credit Reporting,banking
banks and financial institutions,Prakas on Security Transaction of Banks Licensed in Cambodia,banking
banks and financial institutions,Prakas on the Implementation of Risk-Based and Forward Looking Supervision,banking
banks and financial institutions,Prakas on the Implementation of the Repo Master Agreement for Secured Interbank Transactions in Money Market,banking
banks and financial institutions,Prakas on the Issuance of Tradable Securities by the National Bank of Cambodia,banking
banks and financial institutions,Prakas on Term Deposit Interest Rate Determination,banking
banks and financial institutions,"Prakas on the Determination of Interest Rate on Fixed Deposit, Reserve Requirement and Capital Guarantee in USD",banking
banks and financial institutions,Prakas on the Liberalization of Interest Rate Settings,banking
banks and financial institutions,Prakas on Financial Leasing Business,banking
banks and financial institutions,Prakas on Licensing on Financial Lease Companies,banking
business bank lending,Commencement of Commercial Banking Business of China Construction Bank (Malaysia) Berhad,banking
capital funds,Capital Funds,funds
capital funds,Capital Funds for Islamic Banks,funds
central bank,Central Bank of Malaysia Act 2009,banking
central bank,Central Bank of Malaysia Act 1958,banking
central bank,Act on the Bank of Finland (214/1998),banking
central bank,Bank of Finland Legal Provisions 2017,banking
central bank,Operational Guidelines for Primary Dealers,banking
central bank,Reserve Bank of India Act ,banking
central bank act,"BOU Act, 2000",banking
central bank act,"BOU Act, 1969",banking
central bank act,Central Bank of Kenya Act 2015,banking
central bank act,BANKING ACT OCT 2015,banking
central bank act,BOT Act 2006 ,banking
central bank act,"Banking and Financial Institutions Act, 2006",banking
central bank act,Monetary Authority of Singapore Act (CHAPTER 186),banking
central bank act ,Central Bank of Nigeria Guidance Notes on Regulatory Capital,banking
close-end funds,Guidelines for Public Offerings of Securities of Closed-End Funds (pdf),funds
commercial bank ,"CBN SCOPE, CONDITIONS & MINIMUM STANDARDS FOR COMMERCIAL BANKS REGULATIONS NO. 01, 2010",banking
commercial banking,"Know Your Customer (KYC) Direction, 2016",banking
commercial banking,"Issue and Pricing of shares by Private Sector Banks, Directions, 2016",banking
commercial banking,"Ownership in Private Sector Banks, Directions, 2016",banking
commercial banking,"Reserve Bank of India (Financial Services provided by Banks) Directions, 2016",banking
commercial banking,"Reserve Bank of India (Financial Statements of All India Financial Institutions - Presentation, Disclosure and Reporting) Directions, 2016",banking
commercial banking,Classification and Reporting by commercial banks and select FIs,banking
commercial banks,Banking Act (CHAPTER 19),banking
commercial banks,SRD TR 01/2016 - MAS Circular (Cancellation) 2016,banking
commercial banks,SRD TR 02/2014 IT Security Risks Posed By Personal Mobile Devices,banking
commercial banks,Borrowers Who are Individuals and Who Own Residential Property Gazetted for Acquisition (August 2014),banking
commercial banks,SRD TR 01/2014 System Vulnerability Assessments and Penetration Testing,banking
commercial banks,FSG Circular No. BD 08/2013: Conduct of Renminbi Business in Singapore,banking
commercial banks,Borrowers Who are Individuals and Who Own Residential Property Gazetted for Acquisition (Amended from Circular dated 22 July 2013),banking
commercial banks,SRD TR 02/2013: MAS Circular (Cancellation) 2013,banking
commercial banks,SRD Cir 01/2006 : Further Guidance on Business Continuity Management,banking
commercial banks,BD Cir 04/2005 : Central Provident Fund Board's Measures to Address Cashback Transactions for Resale HDB Flats,banking
commercial banks,BD Cir 14/2004: Cash Rebates Offered for Housing Loans,banking
commercial banks,RMD Cir 25/2004 MAS Notice 757 - Lending of Singapore Dollar to Non - Resident Financial Institutions,banking
commercial banks,BD Cir 17/03 : MAS Notice 610 - Submission of Statistics and Returns,banking
commercial banks,RMD Cir 33/03: MAS Notice 755 - Weekly Report on S$ Transactions,banking
commercial banks,Setting Up of Additional Outlets to Provide Remittance and Money-Changing Services,banking
commercial banks,Lifting of Limits on Car Loans,banking
commercial banks,Outsourcing of Cash and Cheque-related Transactional Services to Another Bank,banking
commercial banks,FSG 19/2002 : New Risk Measures for MAS MEPS Front-end,banking
commercial banks,FSG 20/2001: MAS Notice 629 - Approved Transactions under Section 29(2)(E) - Corporate Credit Card Facilities,banking
commercial banks,Internationalisation of the Singapore Dollar,banking
commercial banks,FSG 43/2000: MAS Notice 628 - Asset Securitisation by Banks,banking
commercial banks,FSG 42/2000: MAS Notice 627 - Capital Treatment for Credit Derivatives,banking
commercial banks,FSG 32/99: MAS Notice 622 and MAS Notice 622A [Cancelled with effect from 8 Sep 2005],banking
commercial banks,ID 39/95: Appointment of Key Treasury Personnel and Register of Dealers,banking
commercial banks,Banking (Credit Card and Charge Card) (Amendment) Regulations 2017,banking
commercial banks,Banking (Credit Card and Charge Card)(Amendment No. 2) Regulations 2015,banking
commercial banks,Banking (Credit Card and Charge Card) Regulations 2013,banking
commercial banks,Banking (Exemption from section 29(4) and (5)) Regulations 2009,banking
commercial banks,Banking (Reserve Fund)(Transitional Provision) Regulations 2007,banking
commercial banks,Banking (Financial Penalties under sections 38 and 39) Order 2007,banking
commercial banks,Banking (Clearing House) Regulations,banking
commercial banks,Banking (Corporate Governance) Regulations 2005,banking
commercial banks,Banking (Inducement to Use Credit Card or Charge Card for Purchase of Residential Property) Regulations,banking
commercial banks,Banking Regulations,banking
commercial banks,Banking (Qualifying Subsidiary) (Transitional Provision) Order 2001,banking
commercial banks,Banking (Publication of Accounts) Regulations,banking
commercial banks,"Guidelines on the Application of Total Debt Servicing Ratio for Property Loans under MAS Notices 645, 1115, 831 and 128",banking
commercial banks,Guidelines on Standards of Conduct for Marketing and Distribution Activities,banking
commercial banks,Guidelines to MAS Notice 626A on Prevention of Money Laundering and Countering the Financing of Terrorism - Credit Card or Charge Card Licensees,banking
commercial banks,Guidelines to MAS Notice 626 on Prevention of Money Laundering and Countering the Financing of Terrorism - Banks,banking
commercial banks,Guide to Conduct and Market Practice in Foreign Exchange and Currency Deposit Transactions,banking
commercial banks,Guidelines on Corporate Governance,banking
commercial banks,Guidelines on Fit and Proper Criteria [Guideline No. FSG-G01],banking
commercial banks,Guidelines for Financial Institutions to Safeguard the Integrity of Singapore Financial System,banking
commercial banks,"Guidelines on Banking Regulations 23G and 7A, Feb 2011",banking
commercial banks,Guidelines on the Application of Banking Regulations to Islamic Banking,banking
commercial banks,Guidelines to MAS Notice 626,banking
commercial banks,Guidelines for Operation of Wholesale Banks,banking
commercial banks,Asian Currency Unit Terms and Conditions of Operation,banking
commercial banks,Guidelines for Operation of Offshore Banks,banking
commercial banks,Guidelines for Banks whose Business includes Dealing in Government Securities,banking
commercial banks,Guidelines on Definition of a Deposit,banking
commercial banks,Guidelines on IRB Adoption,banking
commercial banks,Guidelines on Investment and Voting Policies,banking
commercial banks,MAS Notice 637 (Amendment) 2017,banking
commercial banks,MAS Notice 652 Net Stable Funding Ratio,banking
commercial banks,Notice 635 Unsecured Credit Facilities to Individuals,banking
commercial banks,Notice 632 Residential Property Loans,banking
commercial banks,Notice 645 Computation of Total Debt Servicing Ratio for Property Loans,banking
commercial banks,MAS Notice 610 (Amendment) 2016,banking
commercial banks,MAS Notice 639A (Amendment) 2016,banking
commercial banks,MAS Notice 632A (Amendment) 2016,banking
commercial banks,Notice 609 Auditors Reports and Additional Information to be Submitted with Annual Accounts,banking
commercial banks,MAS Notice 642 (Amendment) 2016,banking
commercial banks,MAS Notice 651 Liquidity Coverage Ratio Disclosure,banking
commercial banks,MAS Notice 626A (Amendment) 2015,banking
commercial banks,MAS Notice 626 (Amendment) 2015,banking
commercial banks,MAS Notice 626 on Prevention of Money Laundering and Countering the Financing of Terrorism - Banks,banking
commercial banks,MAS&nbsp;Notice 626A on Prevention of Money Laundering and Countering the Financing of Terrorism - Credit Card or Charge Card Licensees,banking
commercial banks,MASNotice650onCollectionofStatisticalReturnsforRenminbiBusinessActivities,banking
commercial banks,MAS Notice 649 Minimum Liquid Assets and Liquidity Coverage Ratio,banking
commercial banks,Notice 646 Foreign Exchange Conversion in China via the Renminbi Clearing Bank for the Settlement of Eligible Cross-Border Trade,banking
commercial banks,Notice 626 Prevention of Money Laundering and Countering the Financing of Terrorism,banking
commercial banks,Notice 639 (Amendment) 2014,banking
commercial banks,Notice 648 Issuance of Covered Bonds by Banks Incorporated in Singapore,banking
commercial banks,Notice 760 Collection of Statistical Returns for Unsecured Credit Facilities,banking
commercial banks,Notice 759 Collection of Statistical Returns for Credit Cards,banking
commercial banks,Notice 647 Places of Business of Credit Card and Charge Card LicenseesQ,banking
commercial banks,Notice 603 (Amendment) 2013,banking
commercial banks,"Notice 603 Branches, Places of Business and Automated Teller Machines",banking
commercial banks,Notice 633 Bridging Loans for the Purchase of Immovable Properties,banking
commercial banks,Notice 752 Withholding Tax on US$NCDs [Cancelled with&nbsp;effect from 22 Jul 2013],banking
commercial banks,Notice 644 Technology Risk Management,banking
commercial banks,Notice 610 Submission of Statistics and Returns,banking
commercial banks,Notice 642 Motor Vehicle Loans,banking
commercial banks,Notice 643 Transactions with Related Parties,banking
commercial banks,Notice 641 Reporting of Suspicious Activities&nbsp;&amp; Incidents of Fraud,banking
commercial banks,Notice 637 on Risk Based Capital Adequacy Requirements for Banks Incorporated in Singapore,banking
commercial banks,Notice&nbsp;632A - Residential Property Loans - Fact Sheet,banking
commercial banks,Notice 613 Minimum Liquid Assets,banking
commercial banks,Notice 630 Private Equity and Venture Capital Investments,banking
commercial banks,Notice 758 Minimum Cash Balance,banking
commercial banks,Notice 628 Securitisation,banking
commercial banks,Notice 753 Appointment of Head of Treasury and Register of Dealers,banking
commercial banks,Notice 629 Approved Transactions under Section 29(2)(e) [Cancelled with effect from 11 Jun 2007],banking
commercial banks,Notice 623 Credit Facilities to a Single Borrower or Group of Borrowers [Cancelled with effect from 11 Jun 2007],banking
commercial banks,Notice 622A Appointment of Chief Executives of Branches of Banks Incorporated Outside Singapore,banking
commercial banks,Notice 639 Exposures to Single Counterparty Groups,banking
commercial banks,Notice 625 Compliance with Sections 31 and 33 on a Consolidated Basis,banking
commercial banks,Notice 639A Exposures and Credit Facilities to Related Concerns,banking
commercial banks,Notice 640 Minimum Asset Maintenance Requirements,banking
commercial banks,"Notice 601 Capital Funds, Net Head Office Funds and Head Office Capital Funds",banking
commercial banks,Notice 715 Withholding Tax Form [Cancelled with effect from 1 Feb 2007],banking
commercial banks,Notice 705 Mandate for Clearing Settlement [Cancelled with effect from 1 Feb 2007],banking
commercial banks,Notice 713 Government Securities Book Entry System - Letter of Undertaking for Disclosure of Interest and Discount Earned,banking
commercial banks,Notice 714 Tender for the Book-Entry Government Securities,banking
commercial banks,Notice 638 Notice on Recognition of Bilateral Netting for Capital Adequacy Purposes for Banks Incorporated in Singapore [Cancelled with effect from 1 Jan 2008],banking
commercial banks,Notice 608 Disclosure in Financial Statements,banking
commercial banks,"Notice 612 Credit Files, Grading and Provisioning",banking
commercial banks,Notice 605 Revaluation of Assets [Cancelled with effect from 1 Jan 2005],banking
commercial banks,Notice 606 Provision for and Writing Off of Bad Debts,banking
commercial banks,Notice 757 Lending of Singapore Dollar to Non-Resident Financial Institutions,banking
