 ,FEDFUNDS,TB3MS,TB6MS,GS1,GS3,GS5,GS7,GS10
1999-05-01,4.74,4.5,4.56,4.85,5.33,5.44,5.64,5.54
1999-06-01,4.76,4.57,4.82,5.1,5.7,5.81,6.05,5.9
1999-07-01,4.99,4.55,4.58,5.03,5.62,5.68,5.94,5.79
1999-08-01,5.07,4.72,4.87,5.2,5.77,5.84,6.15,5.94
1999-09-01,5.22,4.68,4.88,5.25,5.75,5.8,6.12,5.92
1999-10-01,5.2,4.86,4.98,5.43,5.94,6.03,6.33,6.11
1999-11-01,5.42,5.07,5.2,5.55,5.92,5.97,6.17,6.03
1999-12-01,5.3,5.2,5.44,5.84,6.14,6.19,6.38,6.28
2000-01-01,5.45,5.32,5.5,6.12,6.49,6.58,6.7,6.66
2000-02-01,5.73,5.55,5.72,6.22,6.65,6.68,6.72,6.52
2000-03-01,5.85,5.69,5.85,6.22,6.53,6.5,6.51,6.26
2000-04-01,6.02,5.66,5.81,6.15,6.36,6.26,6.27,5.99
2000-05-01,6.27,5.79,6.1,6.33,6.77,6.69,6.69,6.44
2000-06-01,6.53,5.69,5.97,6.17,6.43,6.3,6.33,6.1
2000-07-01,6.54,5.96,6,6.08,6.28,6.18,6.22,6.05
2000-08-01,6.5,6.09,6.07,6.18,6.17,6.06,6.05,5.83
2000-09-01,6.52,6,5.98,6.13,6.02,5.93,5.98,5.8
2000-10-01,6.51,6.11,6.04,6.01,5.85,5.78,5.84,5.74
2000-11-01,6.51,6.17,6.06,6.09,5.79,5.7,5.78,5.72
2000-12-01,6.4,5.77,5.68,5.6,5.26,5.17,5.28,5.24
2001-01-01,5.98,5.15,4.95,4.81,4.77,4.86,5.13,5.16
2001-02-01,5.49,4.88,4.71,4.68,4.71,4.89,5.1,5.1
2001-03-01,5.31,4.42,4.28,4.3,4.43,4.64,4.88,4.89
2001-04-01,4.8,3.87,3.85,3.98,4.42,4.76,5.03,5.14
2001-05-01,4.21,3.62,3.62,3.78,4.51,4.93,5.24,5.39
2001-06-01,3.97,3.49,3.45,3.58,4.35,4.81,5.14,5.28
2001-07-01,3.77,3.51,3.45,3.62,4.31,4.76,5.06,5.24
2001-08-01,3.65,3.36,3.29,3.47,4.04,4.57,4.84,4.97
2001-09-01,3.07,2.64,2.63,2.82,3.45,4.12,4.51,4.73
2001-10-01,2.49,2.16,2.12,2.33,3.14,3.91,4.31,4.57
2001-11-01,2.09,1.87,1.88,2.18,3.22,3.97,4.42,4.65
2001-12-01,1.82,1.69,1.78,2.22,3.62,4.39,4.86,5.09
2002-01-01,1.73,1.65,1.73,2.16,3.56,4.34,4.79,5.04
2002-02-01,1.74,1.73,1.82,2.23,3.55,4.3,4.71,4.91
2002-03-01,1.73,1.79,2.01,2.57,4.14,4.74,5.14,5.28
2002-04-01,1.75,1.72,1.93,2.48,4.01,4.65,5.02,5.21
2002-05-01,1.75,1.73,1.86,2.35,3.8,4.49,4.9,5.16
2002-06-01,1.75,1.7,1.79,2.2,3.49,4.19,4.6,4.93
2002-07-01,1.73,1.68,1.7,1.96,3.01,3.81,4.3,4.65
2002-08-01,1.74,1.62,1.6,1.76,2.52,3.29,3.88,4.26
2002-09-01,1.75,1.63,1.6,1.72,2.32,2.94,3.5,3.87
2002-10-01,1.75,1.58,1.56,1.65,2.25,2.95,3.54,3.94
2002-11-01,1.34,1.23,1.27,1.49,2.32,3.05,3.64,4.05
2002-12-01,1.24,1.19,1.24,1.45,2.23,3.03,3.63,4.03
2003-01-01,1.24,1.17,1.2,1.36,2.18,3.05,3.6,4.05
2003-02-01,1.26,1.17,1.18,1.3,2.05,2.9,3.45,3.9
2003-03-01,1.25,1.13,1.13,1.24,1.98,2.78,3.34,3.81
2003-04-01,1.26,1.13,1.14,1.27,2.06,2.93,3.47,3.96
2003-05-01,1.26,1.07,1.08,1.18,1.75,2.52,3.07,3.57
2003-06-01,1.22,0.92,0.92,1.01,1.51,2.27,2.84,3.33
2003-07-01,1.01,0.9,0.95,1.12,1.93,2.87,3.45,3.98
2003-08-01,1.03,0.95,1.03,1.31,2.44,3.37,3.96,4.45
2003-09-01,1.01,0.94,1.01,1.24,2.23,3.18,3.74,4.27
2003-10-01,1.01,0.92,1,1.25,2.26,3.19,3.75,4.29
2003-11-01,1,0.93,1.02,1.34,2.45,3.29,3.81,4.3
2003-12-01,0.98,0.9,0.99,1.31,2.44,3.27,3.79,4.27
2004-01-01,1,0.88,0.97,1.24,2.27,3.12,3.65,4.15
2004-02-01,1.01,0.93,0.99,1.24,2.25,3.07,3.59,4.08
2004-03-01,1,0.94,0.99,1.19,2,2.79,3.31,3.83
2004-04-01,1,0.94,1.09,1.43,2.57,3.39,3.89,4.35
2004-05-01,1,1.02,1.31,1.78,3.1,3.85,4.31,4.72
2004-06-01,1.03,1.27,1.6,2.12,3.26,3.93,4.35,4.73
2004-07-01,1.26,1.33,1.66,2.1,3.05,3.69,4.11,4.5
2004-08-01,1.43,1.48,1.72,2.02,2.88,3.47,3.9,4.28
2004-09-01,1.61,1.65,1.87,2.12,2.83,3.36,3.75,4.13
2004-10-01,1.76,1.76,2,2.23,2.85,3.35,3.75,4.1
2004-11-01,1.93,2.07,2.27,2.5,3.09,3.53,3.88,4.19
2004-12-01,2.16,2.19,2.43,2.67,3.21,3.6,3.93,4.23
2005-01-01,2.28,2.33,2.61,2.86,3.39,3.71,3.97,4.22
2005-02-01,2.5,2.54,2.77,3.03,3.54,3.77,3.97,4.17
2005-03-01,2.63,2.74,3,3.3,3.91,4.17,4.33,4.5
2005-04-01,2.79,2.78,3.05,3.32,3.79,4,4.16,4.34
2005-05-01,3,2.84,3.08,3.33,3.72,3.85,3.94,4.14
2005-06-01,3.04,2.97,3.13,3.36,3.69,3.77,3.86,4
2005-07-01,3.26,3.22,3.42,3.64,3.91,3.98,4.06,4.18
2005-08-01,3.5,3.44,3.66,3.87,4.08,4.12,4.18,4.26
2005-09-01,3.62,3.42,3.67,3.85,3.96,4.01,4.08,4.2
2005-10-01,3.78,3.71,3.99,4.18,4.29,4.33,4.38,4.46
2005-11-01,4,3.88,4.15,4.33,4.43,4.45,4.48,4.54
2005-12-01,4.16,3.89,4.18,4.35,4.39,4.39,4.41,4.47
2006-01-01,4.29,4.24,4.31,4.45,4.35,4.35,4.37,4.42
2006-02-01,4.49,4.43,4.52,4.68,4.64,4.57,4.56,4.57
2006-03-01,4.59,4.51,4.62,4.77,4.74,4.72,4.71,4.72
2006-04-01,4.79,4.6,4.72,4.9,4.89,4.9,4.94,4.99
2006-05-01,4.94,4.72,4.82,5,4.97,5,5.03,5.11
2006-06-01,4.99,4.79,4.97,5.16,5.09,5.07,5.08,5.11
2006-07-01,5.24,4.95,5.06,5.22,5.07,5.04,5.05,5.09
2006-08-01,5.25,4.96,4.97,5.08,4.85,4.82,4.83,4.88
2006-09-01,5.25,4.81,4.89,4.97,4.69,4.67,4.68,4.72
2006-10-01,5.25,4.92,4.92,5.01,4.72,4.69,4.69,4.73
2006-11-01,5.25,4.94,4.95,5.01,4.64,4.58,4.58,4.6
2006-12-01,5.24,4.85,4.88,4.94,4.58,4.53,4.54,4.56
2007-01-01,5.25,4.98,4.95,5.06,4.79,4.75,4.75,4.76
2007-02-01,5.26,5.03,4.96,5.05,4.75,4.71,4.71,4.72
2007-03-01,5.26,4.94,4.89,4.92,4.51,4.48,4.5,4.56
2007-04-01,5.25,4.87,4.86,4.93,4.6,4.59,4.62,4.69
2007-05-01,5.25,4.73,4.78,4.91,4.69,4.67,4.69,4.75
2007-06-01,5.25,4.61,4.76,4.96,5,5.03,5.05,5.1
2007-07-01,5.26,4.82,4.83,4.96,4.82,4.88,4.93,5
2007-08-01,5.02,4.2,4.38,4.47,4.34,4.43,4.53,4.67
2007-09-01,4.94,3.89,4.05,4.14,4.06,4.2,4.33,4.52
2007-10-01,4.76,3.9,4.01,4.1,4.01,4.2,4.33,4.53
2007-11-01,4.49,3.27,3.46,3.5,3.35,3.67,3.87,4.15
2007-12-01,4.24,3,3.23,3.26,3.13,3.49,3.74,4.1
2008-01-01,3.94,2.75,2.75,2.71,2.51,2.98,3.31,3.74
2008-02-01,2.98,2.12,2.04,2.05,2.19,2.78,3.21,3.74
2008-03-01,2.61,1.26,1.48,1.54,1.8,2.48,2.93,3.51
2008-04-01,2.28,1.29,1.55,1.74,2.23,2.84,3.19,3.68
2008-05-01,1.98,1.73,1.82,2.06,2.69,3.15,3.46,3.88
2008-06-01,2,1.86,2.13,2.42,3.08,3.49,3.73,4.1
2008-07-01,2.01,1.63,1.93,2.28,2.87,3.3,3.6,4.01
2008-08-01,2,1.72,1.92,2.18,2.7,3.14,3.46,3.89
2008-09-01,1.81,1.13,1.61,1.91,2.32,2.88,3.25,3.69
2008-10-01,0.97,0.67,1.2,1.42,1.86,2.73,3.19,3.81
2008-11-01,0.39,0.19,0.73,1.07,1.51,2.29,2.82,3.53
2008-12-01,0.16,0.03,0.26,0.49,1.07,1.52,1.89,2.42
2009-01-01,0.15,0.13,0.3,0.44,1.13,1.6,1.98,2.52
2009-02-01,0.22,0.3,0.45,0.62,1.37,1.87,2.3,2.87
2009-03-01,0.18,0.21,0.42,0.64,1.31,1.82,2.42,2.82
2009-04-01,0.15,0.16,0.35,0.55,1.32,1.86,2.47,2.93
2009-05-01,0.18,0.18,0.3,0.5,1.39,2.13,2.81,3.29
2009-06-01,0.21,0.18,0.31,0.51,1.76,2.71,3.37,3.72
2009-07-01,0.16,0.18,0.27,0.48,1.55,2.46,3.14,3.56
2009-08-01,0.16,0.17,0.26,0.46,1.65,2.57,3.21,3.59
2009-09-01,0.15,0.12,0.21,0.4,1.48,2.37,3.02,3.4
2009-10-01,0.12,0.07,0.16,0.37,1.46,2.33,2.96,3.39
2009-11-01,0.12,0.05,0.15,0.31,1.32,2.23,2.92,3.4
2009-12-01,0.12,0.05,0.17,0.37,1.38,2.34,3.07,3.59
2010-01-01,0.11,0.06,0.15,0.35,1.49,2.48,3.21,3.73
2010-02-01,0.13,0.11,0.18,0.35,1.4,2.36,3.12,3.69
2010-03-01,0.16,0.15,0.22,0.4,1.51,2.43,3.16,3.73
2010-04-01,0.2,0.16,0.24,0.45,1.64,2.58,3.28,3.85
2010-05-01,0.2,0.16,0.22,0.37,1.32,2.18,2.86,3.42
2010-06-01,0.18,0.12,0.19,0.32,1.17,2,2.66,3.2
2010-07-01,0.18,0.16,0.2,0.29,0.98,1.76,2.43,3.01
2010-08-01,0.19,0.16,0.19,0.26,0.78,1.47,2.1,2.7
2010-09-01,0.19,0.15,0.19,0.26,0.74,1.41,2.05,2.65
2010-10-01,0.19,0.13,0.18,0.23,0.57,1.18,1.85,2.54
2010-11-01,0.19,0.14,0.18,0.25,0.67,1.35,2.02,2.76
2010-12-01,0.18,0.14,0.19,0.29,0.99,1.93,2.66,3.29
2011-01-01,0.17,0.15,0.18,0.27,1.03,1.99,2.72,3.39
2011-02-01,0.16,0.13,0.17,0.29,1.28,2.26,2.96,3.58
2011-03-01,0.14,0.1,0.16,0.26,1.17,2.11,2.8,3.41
2011-04-01,0.1,0.06,0.12,0.25,1.21,2.17,2.84,3.46
2011-05-01,0.09,0.04,0.09,0.19,0.94,1.84,2.51,3.17
2011-06-01,0.09,0.04,0.1,0.18,0.71,1.58,2.29,3
2011-07-01,0.07,0.04,0.08,0.19,0.68,1.54,2.28,3
2011-08-01,0.1,0.02,0.06,0.11,0.38,1.02,1.63,2.3
2011-09-01,0.08,0.01,0.04,0.1,0.35,0.9,1.42,1.98
2011-10-01,0.07,0.02,0.05,0.11,0.47,1.06,1.62,2.15
2011-11-01,0.08,0.01,0.05,0.11,0.39,0.91,1.45,2.01
2011-12-01,0.07,0.01,0.05,0.12,0.39,0.89,1.43,1.98
2012-01-01,0.08,0.03,0.07,0.12,0.36,0.84,1.38,1.97
2012-02-01,0.1,0.09,0.12,0.16,0.38,0.83,1.37,1.97
2012-03-01,0.13,0.08,0.14,0.19,0.51,1.02,1.56,2.17
2012-04-01,0.14,0.08,0.14,0.18,0.43,0.89,1.43,2.05
2012-05-01,0.16,0.09,0.15,0.19,0.39,0.76,1.21,1.8
2012-06-01,0.16,0.09,0.15,0.19,0.39,0.71,1.08,1.62
2012-07-01,0.16,0.1,0.15,0.19,0.33,0.62,0.98,1.53
2012-08-01,0.13,0.1,0.14,0.18,0.37,0.71,1.14,1.68
2012-09-01,0.14,0.11,0.14,0.18,0.34,0.67,1.12,1.72
2012-10-01,0.16,0.1,0.15,0.18,0.37,0.71,1.15,1.75
2012-11-01,0.16,0.09,0.14,0.18,0.36,0.67,1.08,1.65
2012-12-01,0.16,0.07,0.12,0.16,0.35,0.7,1.13,1.72
2013-01-01,0.14,0.07,0.11,0.15,0.39,0.81,1.3,1.91
2013-02-01,0.15,0.1,0.12,0.16,0.4,0.85,1.35,1.98
2013-03-01,0.14,0.09,0.11,0.15,0.39,0.82,1.32,1.96
2013-04-01,0.15,0.06,0.09,0.12,0.34,0.71,1.15,1.76
2013-05-01,0.11,0.04,0.08,0.12,0.4,0.84,1.31,1.93
2013-06-01,0.09,0.05,0.09,0.14,0.58,1.2,1.71,2.3
2013-07-01,0.09,0.04,0.07,0.12,0.64,1.4,1.99,2.58
2013-08-01,0.08,0.04,0.07,0.13,0.7,1.52,2.15,2.74
2013-09-01,0.08,0.02,0.04,0.12,0.78,1.6,2.22,2.81
2013-10-01,0.09,0.05,0.08,0.12,0.63,1.37,1.99,2.62
2013-11-01,0.08,0.07,0.1,0.12,0.58,1.37,2.07,2.72
2013-12-01,0.09,0.07,0.1,0.13,0.69,1.58,2.29,2.9
2014-01-01,0.07,0.04,0.07,0.12,0.78,1.65,2.29,2.86
2014-02-01,0.07,0.05,0.08,0.12,0.69,1.52,2.15,2.71
2014-03-01,0.08,0.05,0.08,0.13,0.82,1.64,2.23,2.72
2014-04-01,0.09,0.03,0.05,0.11,0.88,1.7,2.27,2.71
2014-05-01,0.09,0.03,0.05,0.1,0.83,1.59,2.12,2.56
2014-06-01,0.1,0.04,0.06,0.1,0.9,1.68,2.19,2.6
2014-07-01,0.09,0.03,0.06,0.11,0.97,1.7,2.17,2.54
2014-08-01,0.09,0.03,0.05,0.11,0.93,1.63,2.08,2.42
2014-09-01,0.09,0.02,0.04,0.11,1.05,1.77,2.22,2.53
2014-10-01,0.09,0.02,0.05,0.1,0.88,1.55,1.98,2.3
2014-11-01,0.09,0.02,0.07,0.13,0.96,1.62,2.03,2.33
2014-12-01,0.12,0.03,0.11,0.21,1.06,1.64,1.98,2.21
2015-01-01,0.11,0.03,0.08,0.2,0.9,1.37,1.67,1.88
2015-02-01,0.11,0.02,0.07,0.22,0.99,1.47,1.79,1.98
2015-03-01,0.11,0.03,0.11,0.25,1.02,1.52,1.84,2.04
2015-04-01,0.12,0.02,0.09,0.23,0.87,1.35,1.69,1.94
2015-05-01,0.12,0.02,0.08,0.24,0.98,1.54,1.93,2.2
2015-06-01,0.13,0.02,0.09,0.28,1.07,1.68,2.1,2.36
2015-07-01,0.13,0.03,0.12,0.3,1.03,1.63,2.04,2.32
2015-08-01,0.14,0.07,0.22,0.38,1.03,1.54,1.91,2.17
2015-09-01,0.14,0.02,0.18,0.37,1.01,1.49,1.88,2.17
2015-10-01,0.12,0.02,0.11,0.26,0.93,1.39,1.76,2.07
2015-11-01,0.12,0.12,0.32,0.48,1.2,1.67,2.02,2.26
2015-12-01,0.24,0.23,0.49,0.65,1.28,1.7,2.04,2.24
2016-01-01,0.34,0.26,0.43,0.54,1.14,1.52,1.85,2.09
2016-02-01,0.38,0.31,0.44,0.53,0.9,1.22,1.53,1.78
2016-03-01,0.36,0.29,0.46,0.66,1.04,1.38,1.68,1.89
2016-04-01,0.37,0.23,0.37,0.56,0.92,1.26,1.57,1.81
2016-05-01,0.37,0.27,0.41,0.59,0.97,1.3,1.6,1.81
2016-06-01,0.38,0.27,0.4,0.55,0.86,1.17,1.44,1.64
2016-07-01,0.39,0.3,0.39,0.51,0.79,1.07,1.33,1.5
2016-08-01,0.4,0.3,0.44,0.57,0.85,1.13,1.4,1.56
2016-09-01,0.4,0.29,0.46,0.59,0.9,1.18,1.46,1.63
2016-10-01,0.4,0.33,0.47,0.66,0.99,1.27,1.56,1.76
2016-11-01,0.41,0.45,0.57,0.74,1.22,1.6,1.93,2.14
2016-12-01,0.54,0.51,0.63,0.87,1.49,1.96,2.29,2.49
